,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,gitlab_id,gitlab_url
49,charts,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2022-02-20 10:02:14,2022-02-20 09:59:48,47.0,4.0,1.0,3.0,,3.0,8.0,14.0,2022-02-20 10:01:38,0.0.8,8.0,Mkdocs plugin to add charts to your pages.,5.0,5.0,,https://pypi.org/project/mkdocs-charts-plugin,1583.0,1583.0,13,False,2.0,,,,
50,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2022-03-12 14:39:33,2022-02-21 14:54:52,27.0,5.0,5.0,2.0,5.0,3.0,2.0,14.0,2022-02-21 14:56:48,0.3.0,4.0,MkDocs plugin for Kroki-Diagrams.,3.0,3.0,4.0,https://pypi.org/project/mkdocs-kroki-plugin,1585.0,1585.0,13,False,2.0,,,,
51,mkdocs-gallery,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2022-04-13 20:40:30,2022-03-30 19:20:05,100.0,42.0,1.0,3.0,10.0,15.0,23.0,7.0,2022-03-30 20:02:44,0.7.5,7.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,3.0,https://pypi.org/project/mkdocs-gallery,246.0,246.0,13,False,2.0,,,,
52,mkdocs-mdpo,mondeja/mkdocs-mdpo-plugin,mkdocs-mdpo-plugin,['plugin'],i18n-l10n,https://github.com/mondeja/mkdocs-mdpo-plugin,https://github.com/mondeja/mkdocs-mdpo-plugin,BSD-3-Clause,2021-04-26 14:53:13,2022-03-21 07:28:58,2022-03-21 07:28:23,105.0,35.0,2.0,2.0,24.0,8.0,23.0,3.0,2022-03-03 23:46:27,0.0.26,26.0,Mkdocs translation plugin using PO files.,,,3.0,https://pypi.org/project/mkdocs-mdpo-plugin,268.0,272.0,13,False,3.0,,49.0,,
53,mkdocs-pandoc,jgrassler/mkdocs-pandoc,mkdocs-pandoc,['plugin'],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,8.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,41.0,41.0,4.0,https://pypi.org/project/mkdocs-pandoc,118.0,118.0,12,True,3.0,,,,
54,exclude,apenwarr/mkdocs-exclude,,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2022-02-23 16:27:45,2019-02-20 23:33:03,3.0,,8.0,5.0,3.0,6.0,3.0,45.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,543.0,543.0,,,,,12,True,2.0,,,,
55,Mdx Truly Sane Lists,radude/mdx_truly_sane_lists,mdx_truly_sane_lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2018-10-01 20:14:52,2018-10-01 20:07:36,41.0,,4.0,3.0,1.0,2.0,3.0,40.0,2018-10-01 20:14:52,1.2,3.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,2.0,https://pypi.org/project/mdx_truly_sane_lists,59416.0,59416.0,12,True,1.0,True,,,
56,markdownmermaid,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,15.0,3.0,6.0,3.0,3.0,24.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,38.0,38.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,15673.0,15673.0,12,True,3.0,,,,
57,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2022-03-25 12:46:24,2021-12-18 10:11:17,82.0,,5.0,2.0,1.0,5.0,5.0,19.0,2021-05-24 20:00:00,0.4.0,1.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,,,,https://pypi.org/project/mkdocs-literate-nav,16721.0,16721.0,12,False,2.0,,,,
58,mktheapidocs,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-02-02 20:04:21,2022-02-02 20:04:21,86.0,9.0,3.0,1.0,64.0,11.0,5.0,10.0,2020-02-26 14:37:21,0.2.0,1.0,Numpydocs - mkdocs friendly markdown.,12.0,12.0,5.0,https://pypi.org/project/mktheapidocs,802.0,802.0,12,False,3.0,,,,
59,autorefs,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2022-03-07 16:43:55,2022-03-07 16:43:40,28.0,9.0,2.0,3.0,15.0,1.0,3.0,7.0,,,,Automatically link across pages in MkDocs.,,,4.0,https://pypi.org/project/mkdocs-autorefs,125654.0,125654.0,12,False,2.0,,,,
60,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2022-04-11 20:43:52,2022-04-11 20:41:02,135.0,18.0,1.0,1.0,148.0,,5.0,5.0,2021-09-12 09:32:50,1.0.2,7.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,16.0,16.0,2.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,263.0,263.0,12,False,2.0,,,,
61,Math extension,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,,2015-01-12 13:25:03,2020-11-03 17:30:33,2020-11-03 17:12:28,66.0,,23.0,5.0,8.0,1.0,20.0,97.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,18606.0,18606.0,11,True,2.0,True,,,
62,pheasant,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,5.0,5.0,17.0,,,,Documentation tool for Markdown conversion by Jupyter client.,10.0,10.0,4.0,https://pypi.org/project/pheasant,102.0,102.0,11,False,2.0,,,,
63,docutools,axiros/docutools,docutools,['plugin'],charts,https://github.com/axiros/docutools,https://github.com/axiros/docutools,BSD-2-Clause,2021-10-04 21:36:07,2022-04-11 15:09:39,2022-04-11 14:53:41,430.0,90.0,,6.0,,1.0,1.0,13.0,,,,Dev Centric Tools for Mkdocs Based Documentation.,,,3.0,https://pypi.org/project/docutools,640.0,640.0,11,False,3.0,,,,
64,ezlinks,orbikm/mkdocs-ezlinks-plugin,,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2022-03-28 19:55:11,2022-01-24 19:59:04,40.0,2.0,5.0,3.0,23.0,2.0,12.0,12.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,13.0,13.0,,,,4.0,11,False,2.0,,59.0,,
65,CustomMill,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],theming,https://github.com/Siphalor/mkdocs-custommill,https://github.com/Siphalor/mkdocs-custommill,,2021-03-31 11:40:50,2022-03-10 22:29:19,2022-03-10 22:04:06,184.0,30.0,3.0,2.0,,,1.0,6.0,2022-03-10 22:29:19,1.3.0,1.0,"Outstanding mkdocs theme with a focus on navigation, customization and usability.",5.0,5.0,8.0,https://pypi.org/project/mkdocs-custommill,312.0,312.0,11,False,2.0,,,,
66,tags,jldiaz/mkdocs-plugin-tags,mkdocs-plugin-tags,['plugin'],search-toc,https://github.com/jldiaz/mkdocs-plugin-tags,https://github.com/jldiaz/mkdocs-plugin-tags,MIT,2019-10-21 15:51:50,2021-09-02 19:03:31,2021-09-02 19:03:31,7.0,,15.0,4.0,4.0,7.0,7.0,38.0,,,,Processes tags in yaml metadata.,,,3.0,https://pypi.org/project/mkdocs-plugin-tags,2701.0,2701.0,10,True,3.0,,,,
67,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2022-02-23 18:16:36,2022-01-21 18:39:10,49.0,2.0,2.0,2.0,3.0,3.0,6.0,19.0,2021-06-01 23:28:16,0.3.3,3.0,MkDocs plugin to programmatically generate documentation pages during the build.,,,2.0,https://pypi.org/project/mkdocs-gen-files,17631.0,17631.0,10,False,3.0,,,,
68,mkdocs-markmap,neatc0der/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/neatc0der/mkdocs-markmap,https://github.com/neatc0der/mkdocs-markmap,MIT,2021-01-22 15:52:32,2022-01-28 21:59:05,2022-01-28 21:58:52,142.0,8.0,1.0,4.0,24.0,3.0,11.0,14.0,2022-01-28 21:53:26,2.2.1,14.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,2.0,https://pypi.org/project/mkdocs-markmap,236.0,241.0,10,False,3.0,,85.0,,
69,newsletter,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2022-04-18 08:36:52,2022-04-18 08:36:51,200.0,43.0,1.0,1.0,82.0,1.0,4.0,12.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,,,3.0,https://pypi.org/project/mkdocs-newsletter,571.0,571.0,10,False,2.0,,,,
70,MkDocs Img2Fig Plugin,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8.0,,5.0,2.0,3.0,2.0,1.0,12.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,52.0,52.0,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,1741.0,1741.0,10,False,3.0,,,,
71,Ivory,daizutabi/mkdocs-ivory,mkdocs-ivory,['theme'],theming,https://github.com/daizutabi/mkdocs-ivory,https://github.com/daizutabi/mkdocs-ivory,MIT,2019-04-14 14:07:26,2020-06-16 07:35:02,2020-06-16 07:34:55,58.0,,4.0,1.0,1.0,2.0,3.0,8.0,,,,Ivory theme for MkDocs.,44.0,44.0,2.0,https://pypi.org/project/mkdocs-ivory,873.0,873.0,10,False,2.0,,,,
72,user-defined-values,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2021-06-02 00:57:51,2020-04-26 10:46:29,35.0,,2.0,3.0,9.0,1.0,,2.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,7.0,7.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,407.0,407.0,10,False,3.0,,10.0,,
73,MkRefs,DerwenAI/mkrefs,mkrefs,['plugin'],nav-pages,https://github.com/DerwenAI/mkrefs,https://github.com/DerwenAI/mkrefs,MIT,2021-05-10 15:58:53,2022-01-02 23:29:39,2021-06-29 20:34:58,49.0,,1.0,3.0,8.0,,,15.0,2021-06-27 17:55:28,0.2.0,2.0,MkDocs plugin to generate semantic reference Markdown pages from a knowledge graph.,1.0,1.0,,https://pypi.org/project/mkrefs,36.0,36.0,9,False,2.0,,,,
74,roamlinks,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],links-refs,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2022-01-22 11:08:54,2020-09-06 10:45:54,12.0,,7.0,,2.0,,,14.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,3.0,https://pypi.org/project/mkdocs-roamlinks-plugin,2113.0,2113.0,9,False,2.0,,,,
75,multirepo,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,['plugin'],site-management,https://github.com/wilhelmer/mkdocs-multirepo,https://github.com/wilhelmer/mkdocs-multirepo,MIT,2020-07-08 12:11:47,2022-01-11 15:38:49,2022-01-11 15:34:30,42.0,,1.0,4.0,1.0,,2.0,11.0,2022-01-11 15:38:50,0.5.1,2.0,"A bit like monorepo, but keeps MkDocs projects separate.",,,2.0,https://pypi.org/project/mkdocs-multirepo,168.0,168.0,9,False,3.0,,,,
76,markdown-callouts,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2022-01-20 23:22:28,2022-01-20 23:21:54,17.0,1.0,3.0,3.0,2.0,3.0,4.0,6.0,2021-11-15 23:23:49,0.2.0,1.0,Markdown extension: a classier syntax for admonitions.,,,,https://pypi.org/project/markdown-callouts,609.0,609.0,9,False,2.0,True,,,
77,KPN for MkDocs,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],theming,https://github.com/kpn/mkdocs-kpn-theme,https://github.com/kpn/mkdocs-kpn-theme,MIT,2020-04-02 12:00:18,2022-01-14 15:39:10,2022-01-14 15:38:35,115.0,,,8.0,,,3.0,6.0,,,,KPN theme for MkDocs | owner=flow.,,,3.0,https://pypi.org/project/mkdocs-kpn,1489.0,1489.0,9,False,2.0,,,,
78,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2021-10-06 21:28:42,2021-10-06 21:27:31,20.0,,1.0,2.0,1.0,,2.0,6.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,45.0,45.0,2.0,https://pypi.org/project/mkdocs-same-dir,8616.0,8616.0,9,False,2.0,,,,
79,pdf-with-js,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13.0,,1.0,5.0,3.0,,,5.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,4.0,4.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,95.0,95.0,9,False,3.0,,,,
80,Bootstrap 4,LukeCarrier/mkdocs-theme-bootstrap4,mkdocs-theme-bootstrap4,['theme'],theming,https://github.com/LukeCarrier/mkdocs-theme-bootstrap4,https://github.com/LukeCarrier/mkdocs-theme-bootstrap4,MIT,2019-10-02 20:24:05,2022-02-12 21:17:06,2020-03-16 20:01:29,48.0,,,1.0,19.0,1.0,4.0,3.0,2020-04-18 18:52:05,0.4.0,3.0,A vanilla Bootstrap 4 theme for MkDocs.,,,3.0,https://pypi.org/project/mkdocs-theme-bootstrap4,54.0,54.0,9,False,2.0,,,,
81,mkdocs_safe_text,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],html-css,https://github.com/raimon49/mkdocs-safe-text-plugin,https://github.com/raimon49/mkdocs-safe-text-plugin,BSD-2-Clause,2018-01-20 11:15:30,2022-03-02 10:44:03,2022-03-02 10:43:19,175.0,6.0,,1.0,13.0,,,1.0,2022-03-02 10:44:26,-1.4.0,13.0,Plugin for safe text editing with MKDocs.,,,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,387.0,387.0,9,False,2.0,,,,
82,octadocs-adr,octadocs/octadocs,octadocs-adr,['plugin'],site-management,https://github.com/octadocs/octadocs,https://github.com/octadocs/octadocs,MIT,2020-11-22 09:51:22,2022-04-18 19:18:18,2022-04-18 17:53:54,427.0,98.0,,2.0,53.0,15.0,26.0,1.0,,,,Make your MkDocs documentation think for you.,,,,https://pypi.org/project/octadocs-adr,13.0,13.0,9,False,3.0,,,,
83,Unidata,mjames-upc/mkdocs-unidata,mkdocs-unidata,['theme'],theming,https://github.com/mjames-upc/mkdocs-unidata,https://github.com/mjames-upc/mkdocs-unidata,MIT,2017-04-13 14:51:01,2017-09-27 18:46:20,2017-09-27 18:46:04,760.0,,1.0,1.0,,,,,2017-04-14 16:21:33,1.5.6,1.0,Custom MkDocs Material Design Theme.,,,16.0,https://pypi.org/project/mkdocs-unidata,154.0,154.0,9,True,2.0,,,,
84,Windmill Dark,noraj/mkdocs-windmill-dark,mkdocs-windmill-dark,['theme'],theming,https://github.com/noraj/mkdocs-windmill-dark,https://github.com/noraj/mkdocs-windmill-dark,,2017-10-08 14:17:25,2019-08-22 20:08:53,2019-08-22 20:08:45,63.0,,9.0,3.0,,,3.0,24.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,,,4.0,https://pypi.org/project/mkdocs-windmill-dark,333.0,333.0,8,True,2.0,,,,
85,Jinks,anetwork/mkdocs-jinks-theme,mkdocs-jinks,['theme'],theming,https://github.com/anetwork/mkdocs-jinks-theme,https://github.com/anetwork/mkdocs-jinks-theme,BSD-2-Clause,2016-02-17 16:35:05,2019-11-08 08:36:17,2019-11-08 08:36:15,24.0,,4.0,9.0,3.0,,,13.0,2016-04-12 06:37:18,.0.1.0,1.0,Mkdocs jinks theme.,4.0,4.0,7.0,https://pypi.org/project/mkdocs-jinks,12.0,12.0,8,False,2.0,,,,
86,mkdocs-diagrams,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,https://github.com/zoni/mkdocs-diagrams,https://github.com/zoni/mkdocs-diagrams,MIT,2020-05-16 10:44:25,2020-09-04 08:33:06,2020-09-04 08:27:56,12.0,,,2.0,1.0,1.0,1.0,12.0,,,,MkDocs plugin to render Diagrams files.,25.0,25.0,,https://pypi.org/project/mkdocs-diagrams,1970.0,1970.0,8,False,3.0,,,,
87,snippet,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,https://github.com/mprivat/mkdocs-snippet-plugin,https://github.com/mprivat/mkdocs-snippet-plugin,MIT,2019-02-27 18:43:14,2021-10-21 22:55:54,2021-10-21 22:55:54,10.0,,3.0,3.0,2.0,2.0,4.0,11.0,,,,An mkdocs plugin that injects snippets from a file in a git repository.,6.0,6.0,3.0,https://pypi.org/project/mkdocs-snippet-plugin,123.0,123.0,8,False,3.0,,,,
88,Blogs for MkDocs,fmaida/mkdocs-blog-plugin,,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21.0,,4.0,3.0,,1.0,1.0,9.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,38.0,38.0,,,,,8,False,3.0,,,,
89,tooltipster-links,midnightprioriem/mkdocs-tooltipster-links-plugin,mkdocs-tooltipster-links-plugin,['plugin'],links-refs,https://github.com/midnightprioriem/mkdocs-tooltipster-links-plugin,https://github.com/midnightprioriem/mkdocs-tooltipster-links-plugin,MIT,2020-01-11 16:20:03,2022-03-30 21:03:11,2020-07-29 11:54:06,7.0,,1.0,2.0,1.0,1.0,,6.0,2020-01-11 17:58:07,_010,1.0,An MkDocs plugin that adds tooltips to preview the content of page links using tooltipster.,13.0,13.0,,https://pypi.org/project/mkdocs-tooltipster-links-plugin,116.0,116.0,8,False,3.0,,,,
90,mkdocs-coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2021-12-16 22:41:29,2021-12-16 22:41:06,31.0,,,1.0,,3.0,3.0,4.0,,,,MkDocs plugin to integrate your coverage HTML report into your site.,,,,https://pypi.org/project/mkdocs-coverage,6420.0,6420.0,8,False,1.0,,,,
91,Semantic,cryocaustik/mkdocs-semantic,mkdocs-semantic,['theme'],theming,https://github.com/cryocaustik/mkdocs-semantic,https://github.com/cryocaustik/mkdocs-semantic,MIT,2018-09-20 06:14:30,2021-03-30 05:27:30,2021-03-30 03:30:35,19.0,,2.0,1.0,1.0,,7.0,4.0,2021-03-30 05:27:30,1.0.0,3.0,Semantic-UI Theme for MkDocs.,4.0,4.0,6.0,https://pypi.org/project/mkdocs-semantic,35.0,35.0,8,False,2.0,,,,
92,git-committers-2,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2020-04-20 17:07:57,2020-04-20 17:07:51,14.0,,4.0,1.0,2.0,1.0,,3.0,,,,An MkDocs plugin to create a list of contributors on the page.,6.0,6.0,2.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,2422.0,2422.0,8,False,3.0,,,,
93,MkDocs Backend for Foliant,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,['plugin'],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2020-07-22 15:34:18,2020-07-22 15:33:50,82.0,,2.0,3.0,6.0,,,3.0,,,,MkDocs backend for Foliant.,,,3.0,https://pypi.org/project/foliantcontrib.mkdocs,159.0,159.0,8,False,1.0,,,,
94,mkdocs-spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2022-04-11 16:54:07,2022-04-11 16:53:53,29.0,29.0,,1.0,,8.0,4.0,3.0,,,,A spell checker plugin for MkDocs.,,,,https://pypi.org/project/mkdocs-spellcheck,249.0,249.0,8,False,1.0,,,,
95,vim-md-tags,midnightprioriem/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],other,https://github.com/midnightprioriem/mkdocs-vim-md-tags-plugin,https://github.com/midnightprioriem/mkdocs-vim-md-tags-plugin,MIT,2020-01-11 18:58:18,2020-05-08 18:43:26,2020-05-08 18:42:07,13.0,,1.0,3.0,1.0,,,3.0,2020-05-08 18:43:26,_020,2.0,An MkDocs plugin that creates a vim tag file of all markdown files.,9.0,9.0,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,104.0,104.0,8,False,3.0,,,,
96,mkdocs-nav-enhancements,Rylon/mkdocs-nav-enhancements,mkdocs-nav-enhancements,['plugin'],nav-pages,https://github.com/Rylon/mkdocs-nav-enhancements,https://github.com/Rylon/mkdocs-nav-enhancements,MIT,2019-07-15 23:39:57,2019-07-24 10:09:41,2019-07-24 10:08:04,16.0,,,1.0,,1.0,,1.0,,,,WIP plugin for working with titles of pages in MkDocs.,17.0,17.0,,https://pypi.org/project/mkdocs-nav-enhancements,2991.0,2991.0,8,False,3.0,,,,
97,Mdx Include,neurobin/mdx_include,mdx_include,['markdown'],markdown,https://github.com/neurobin/mdx_include,https://github.com/neurobin/mdx_include,,2018-09-19 21:01:21,2020-10-12 15:10:35,2020-10-12 15:10:11,66.0,,2.0,3.0,1.0,1.0,4.0,38.0,,,,Python Markdown extension to include local or remote files.,,,2.0,https://pypi.org/project/mdx_include,4734.0,4734.0,7,True,2.0,True,,,
98,Alabaster,notpushkin/mkdocs-alabaster,mkdocs-alabaster,['theme'],theming,https://github.com/notpushkin/mkdocs-alabaster,https://github.com/notpushkin/mkdocs-alabaster,,2016-01-29 22:40:46,2020-06-16 08:22:24,2020-06-16 08:22:23,49.0,,8.0,2.0,12.0,3.0,14.0,35.0,,,,Alabaster port for MkDocs.,,,9.0,https://pypi.org/project/mkdocs-alabaster,376.0,376.0,7,True,3.0,,,,
99,automacdoc,AlexandreKempf/automacdoc,,['plugin'],api-docs,https://github.com/AlexandreKempf/automacdoc,https://github.com/AlexandreKempf/automacdoc,MIT,2019-06-14 11:47:18,2020-12-29 08:32:21,2020-12-29 08:32:20,13.0,,10.0,4.0,3.0,4.0,1.0,29.0,,,,Automatic generation of documentation for mkdocs.,3.0,3.0,6.0,,,,7,True,3.0,,,,
100,GitBook,,mkdocs-gitbook,['theme'],theming,,https://gitlab.com/lramage/mkdocs-gitbook-theme,,2018-12-17 18:29:14,2018-12-17 18:29:14,,,,12.0,,,7.0,10.0,26.0,,,0.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,,,,https://pypi.org/project/mkdocs-gitbook,7225.0,7225.0,7,True,3.0,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme
101,MkDocs Merge,ovasquez/mkdocs-merge,mkdocs-merge,['plugin'],site-management,https://github.com/ovasquez/mkdocs-merge,https://github.com/ovasquez/mkdocs-merge,MIT,2017-06-06 21:33:22,2019-08-14 06:46:14,2019-08-14 06:46:03,20.0,,3.0,1.0,9.0,2.0,2.0,16.0,2018-09-27 18:13:49,0.6.0,4.0,Merge the source of multiple MkDocs sites into a single one.,1.0,1.0,2.0,https://pypi.org/project/mkdocs-merge,886.0,886.0,7,False,3.0,,,,
102,img2fig,stuebersystems/mkdocs-img2fig-plugin,,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8.0,,5.0,2.0,3.0,2.0,1.0,12.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,52.0,52.0,2.0,,,,7,False,3.0,,,,
103,add-number,ignorantshr/mkdocs-add-number-plugin,,['plugin'],html-css,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31.0,,3.0,1.0,4.0,2.0,9.0,9.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,8.0,8.0,3.0,,,,7,False,3.0,,,,
