,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
43,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-10-26 18:43:46,2024-07-28 20:33:58,154.0,,25.0,4.0,40.0,6.0,34.0,51.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,55.0,55.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,58461.0,58461.0,20,True,1.0,,,,,,,,,,,,
44,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00,2024-09-23 14:53:56,120.0,,16.0,4.0,53.0,3.0,33.0,44.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,421.0,421.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,35508.0,35508.0,20,True,1.0,,,,,,,,,,,,
45,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2025-02-13 15:41:19,2025-01-10 23:25:41,706.0,12.0,10.0,3.0,803.0,1.0,18.0,42.0,2024-07-14 19:18:29,3.2.0,42.0,Build documentation files inside your code into a MkDocs site.,55.0,55.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,39734.0,39734.0,20,True,2.0,,,,,,,,,,,,
46,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2024-09-04 16:28:01,2024-09-04 16:27:57,43.0,,8.0,1.0,26.0,17.0,25.0,132.0,2024-08-10 14:46:23,1.1.0,19.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,336.0,336.0,10.0,https://pypi.org/project/neoteroi-mkdocs,174446.0,174592.0,19,True,2.0,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",4988.0,,,,,,,,,
47,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,GPL-3.0,2023-01-13 15:02:34,2025-02-07 10:35:52,2025-02-04 01:45:10,209.0,35.0,5.0,3.0,19.0,10.0,14.0,92.0,2025-02-04 01:51:49,0.1.0,11.0,Blog Template for Mkdocs.,82.0,82.0,3.0,https://pypi.org/project/mkdocs-simple-blog,1390.0,1390.0,19,True,2.0,,,,,,,,,,,,
48,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,5.0,36.0,86.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,278.0,278.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,8141.0,8141.0,19,True,2.0,,,22.0,,,,,,,,,
49,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39,2024-04-16 19:14:48,121.0,,9.0,4.0,10.0,4.0,28.0,42.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,295.0,295.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,24462.0,24462.0,19,True,1.0,,,,,,,,,,,,
50,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-09-13 14:07:05,2024-09-08 17:28:40,167.0,,21.0,4.0,26.0,1.0,52.0,136.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,98417.0,98417.0,18,True,2.0,,,,,,,,,,,,
51,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2024-02-24 11:51:04,2024-02-11 18:36:37,73.0,,17.0,12.0,50.0,16.0,15.0,117.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,718.0,718.0,13.0,https://pypi.org/project/mkdocs-click,56185.0,56185.0,18,True,2.0,,mkdocs-click,,,,,,,,,,
52,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2024-10-22 13:38:52,2024-10-22 13:38:11,71.0,,6.0,4.0,5.0,3.0,17.0,84.0,2024-10-22 13:44:12,0.0.12,12.0,Mkdocs plugin to add plots from data using vegalite.,84.0,84.0,4.0,https://pypi.org/project/mkdocs-charts-plugin,9522.0,9522.0,18,True,2.0,,,,,,,,,,,,
53,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2024-10-27 10:27:10,2024-10-27 10:25:42,83.0,,10.0,1.0,6.0,6.0,17.0,83.0,2024-10-27 10:27:52,0.6.11,25.0,A MkDocs plugin supports adding Swagger UI to the page.,239.0,239.0,4.0,https://pypi.org/project/mkdocs-swagger-ui-tag,47625.0,47626.0,18,True,1.0,,,47.0,,,,,,,,,
54,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,"Blogging engine with support for categories, tags and archive.",72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,2.0,,,73.0,,,,,,,,,
55,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,Social media sharing helper.,72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,2.0,,,73.0,,,,,,,,,
56,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,2.0,,,73.0,,,,,,,,,
57,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,1.0,,,73.0,,,,,,,,,
58,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,Automatic navigation based on files metadata with URL name and publication status control.,72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,2.0,,,73.0,,,,,,,,,
59,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-02-07 11:36:01,2025-02-07 10:27:51,58.0,5.0,4.0,3.0,74.0,6.0,20.0,81.0,2025-02-07 11:36:01,1.4.6,18.0,Advanced console and file logger from build and serve process.,72.0,72.0,3.0,https://pypi.org/project/mkdocs-publisher,3113.0,3116.0,18,True,2.0,,,73.0,,,,,,,,,
60,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,,72.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,893.0,893.0,5.0,https://pypi.org/project/mkdocs-video,80722.0,80723.0,18,True,2.0,,,70.0,,,,,,,,,
61,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24,2023-11-14 05:07:17,58.0,,5.0,2.0,32.0,,6.0,60.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1984.0,1984.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,46527.0,46528.0,18,True,2.0,,,60.0,,,,,,,,,
62,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2025-01-15 12:46:48,2025-01-15 12:45:59,118.0,4.0,2.0,2.0,13.0,,13.0,37.0,2025-01-15 12:46:48,1.16.0,26.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1284.0,1284.0,2.0,https://pypi.org/project/mkdocs-callouts,17932.0,17932.0,18,True,1.0,-1.0,,,,,,,,,,,
63,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2024-12-07 18:22:42,2024-12-07 18:20:02,53.0,2.0,14.0,4.0,8.0,4.0,8.0,32.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,372.0,372.0,2.0,https://pypi.org/project/markdown-callouts,60316.0,60316.0,18,True,1.0,,"['callouts', 'github-callouts']",,,,,,,,,,
64,mkdocstrings-crystal,,,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,https://github.com/mkdocstrings/crystal,https://github.com/mkdocstrings/crystal,MIT,2020-10-13 20:07:35,2024-02-11 18:52:45,2024-02-03 21:50:40,156.0,,3.0,5.0,5.0,3.0,1.0,29.0,2022-05-02 23:04:11,0.3.5,3.0,Crystal language doc generator for https://github.com/mkdocstrings/mkdocstrings.,823.0,823.0,3.0,https://pypi.org/project/mkdocstrings-crystal,17606.0,17606.0,18,True,2.0,,,,,,,,,,,,
65,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2025-02-11 09:54:01,2025-02-11 09:54:00,585.0,125.0,,1.0,481.0,,2.0,10.0,2025-02-02 00:02:00,0.2.4,6.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",58.0,58.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,23173.0,23173.0,18,True,2.0,,,,,,,,,,,,
66,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2024-10-24 12:47:35,2024-10-24 12:47:33,71.0,,9.0,3.0,12.0,2.0,5.0,112.0,2024-09-30 15:17:22,0.2.3,4.0,Run pytest against markdown files/docstrings.,70.0,70.0,5.0,https://pypi.org/project/mktestdocs,4255.0,4255.0,17,True,1.0,,,,,,,,,,,,
67,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,30.0,10.0,23.0,12.0,27.0,102.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",63.0,63.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,4582.0,4582.0,17,True,2.0,,,41.0,,,,,,,,,
68,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-10-29 08:28:27,2024-10-29 08:23:09,131.0,,10.0,6.0,10.0,31.0,28.0,90.0,2024-10-29 08:28:27,6.2.0,31.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages and/or entire..",15.0,15.0,4.0,https://pypi.org/project/mkdocs-exporter,4534.0,4534.0,17,True,2.0,,,,,,,,,,,,
69,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45,2023-12-29 21:15:45,37.0,,34.0,7.0,19.0,1.0,15.0,89.0,,,,MkDocs Bootstrap Theme.,488.0,488.0,6.0,https://pypi.org/project/mkdocs-bootstrap,13077.0,13077.0,17,True,2.0,,,,,,,,,,,,
70,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,10.0,7.0,4.0,9.0,3.0,89.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2371.0,2371.0,,https://pypi.org/project/mkdocs-exclude,161349.0,161349.0,17,True,2.0,,,,,,,,,,,,
71,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44,2024-01-17 03:02:46,202.0,,12.0,3.0,12.0,1.0,13.0,87.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,123.0,123.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,2480.0,2480.0,17,True,2.0,,,,,,,,,,,,
72,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28,2023-08-04 14:41:05,27.0,,16.0,4.0,21.0,9.0,9.0,80.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,561.0,561.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,41556.0,41556.0,17,True,2.0,,,,,,,,,,,,
73,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs_markmap,https://github.com/markmap/mkdocs_markmap,MIT,2021-01-22 15:52:32,2025-02-11 20:33:32,2025-02-11 20:32:59,185.0,3.0,5.0,6.0,41.0,1.0,30.0,59.0,2025-02-11 20:33:33,2.5.2,23.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,2878.0,2885.0,17,True,2.0,,,386.0,,,,,,,,,
74,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,115.0,115.0,5.0,https://pypi.org/project/mkdocs-versioning,5039.0,5039.0,17,True,2.0,,,,,,,,,,,,
75,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,https://github.com/MikhailKravets/mkdocs_puml,https://github.com/MikhailKravets/mkdocs_puml,MIT,2022-09-11 16:37:25,2024-10-25 11:23:21,2024-10-25 11:23:18,414.0,,10.0,5.0,65.0,4.0,23.0,39.0,2024-10-25 11:13:12,2.3.0,20.0,Inline PlantUML diagrams in your MkDocs documentation.,,,6.0,https://pypi.org/project/mkdocs-puml,19681.0,19681.0,17,True,2.0,,,,,,,,,,,,
76,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44,2023-11-22 10:27:30,54.0,,10.0,23.0,12.0,3.0,3.0,28.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,114.0,114.0,5.0,https://pypi.org/project/markdown-blockdiag,3993.0,3993.0,17,True,2.0,,markdown_blockdiag,,,,,,,,,,
77,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-12-04 02:34:50,2023-12-04 02:34:50,136.0,,2.0,3.0,30.0,,17.0,27.0,2023-11-20 18:24:40,0.6.6,18.0,A mkdocs plugin that excludes selected chapters from the docs search index.,465.0,465.0,6.0,https://pypi.org/project/mkdocs-exclude-search,29748.0,29748.0,17,True,1.0,,,16.0,,,,,,,,,
78,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2025-01-29 04:55:38,2024-07-03 23:00:01,101.0,,4.0,4.0,31.0,3.0,7.0,25.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,90.0,90.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1817.0,1817.0,17,True,2.0,,full_yaml_metadata,,,,,,,,,,
79,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-06-11 18:47:29,2024-06-11 18:47:04,52.0,,1.0,3.0,,4.0,6.0,24.0,2024-06-11 18:47:46,1.1.0,2.0,MkDocs plugin to integrate your coverage HTML report into your site.,239.0,239.0,,https://pypi.org/project/mkdocs-coverage,29665.0,29665.0,17,True,2.0,,,,,,,,,,,,
80,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,18.0,9.0,20.0,7.0,11.0,226.0,,,,Auto documentation for MkDocs.,869.0,869.0,7.0,https://pypi.org/project/mkautodoc,7000.0,7000.0,16,True,2.0,,mkautodoc,,,,,,,,,,
81,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,MIT,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,47.0,4.0,34.0,15.0,16.0,112.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,329.0,329.0,8.0,https://pypi.org/project/mkdocs-windmill,3233.0,3233.0,16,True,2.0,,,,,,,,,,,,
82,Termynal,,termynal,,termynal/termynal.py,termynal,['plugin'],code-exec-templating,https://github.com/termynal/termynal.py,https://github.com/termynal/termynal.py,MIT,2020-11-12 19:59:40,2025-01-14 19:00:35,2025-01-14 19:00:29,89.0,8.0,8.0,1.0,9.0,8.0,10.0,103.0,,,,Python markdown terminal. Built for mkdocs.,275.0,275.0,6.0,https://pypi.org/project/termynal,10564.0,10564.0,16,True,2.0,-1.0,,,,,,,,,,,
83,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2024-07-20 06:36:51,2024-03-25 13:35:19,54.0,,16.0,3.0,17.0,2.0,21.0,64.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,127.0,127.0,11.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,47435.0,47435.0,16,True,2.0,,,,,,,,,,,,
84,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-09-30 08:32:38,2024-09-30 08:22:57,296.0,,16.0,4.0,33.0,29.0,44.0,44.0,2024-09-30 08:31:02,0.10.4,19.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,10.0,https://pypi.org/project/mkdocs-gallery,5579.0,5579.0,16,True,2.0,,,,,,,,,,,,
85,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,33.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,91.0,91.0,6.0,https://pypi.org/project/mkdocs-localsearch,4688.0,4688.0,16,True,2.0,,,,,,,,,,,,
86,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2024-11-18 13:15:30,2024-11-18 13:14:53,24.0,1.0,4.0,2.0,4.0,2.0,5.0,31.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,404.0,404.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,60666.0,60666.0,16,True,2.0,,,,,,,,,,,,
87,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,https://github.com/landmaj/mkdocs-d2-plugin,https://github.com/landmaj/mkdocs-d2-plugin,MIT,2023-09-22 20:56:00,2024-12-16 11:41:09,2024-12-16 11:40:44,64.0,1.0,6.0,1.0,7.0,3.0,13.0,25.0,2024-12-16 18:31:14,1.6.0,3.0,A plugin for embedding D2 diagrams in MkDocs.,13.0,13.0,3.0,https://pypi.org/project/mkdocs-d2-plugin,51627.0,51627.0,16,True,2.0,-1.0,,,,,,,,,,,
88,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,https://github.com/PLAYG0N/mkdocs-panzoom,https://github.com/PLAYG0N/mkdocs-panzoom,MIT,2024-08-21 18:53:29,2024-12-29 12:44:39,2024-10-16 17:33:03,53.0,,,3.0,2.0,4.0,10.0,23.0,2024-10-16 17:34:48,0.1.3-beta,12.0,MkDocs Plugin to enable pan & zoom on images and mermaid/d2 diagrams.,11.0,11.0,2.0,https://pypi.org/project/mkdocs-panzoom-plugin,9098.0,9102.0,16,True,2.0,2.0,,28.0,,,,,,,,,
89,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2025-02-10 08:49:37,2025-02-03 09:26:42,439.0,9.0,5.0,2.0,243.0,,27.0,22.0,,,52.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,83.0,83.0,4.0,,,692.0,16,True,2.0,-1.0,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2025-02-03 09:28:54.854982,31167.0,,,,,
