,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
59,newsletter,lyz-code/mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2022-04-16 08:34:58,2022-04-16 08:34:58,199,42.0,1.0,1.0,82.0,1.0,4.0,12.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,,,3.0,7,False,3.0,,,,
60,img2fig,stuebersystems/mkdocs-img2fig-plugin,['plugin'],images-tables-charts--graphs,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8,,5.0,2.0,3.0,2.0,1.0,12.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,52.0,52.0,2.0,7,False,3.0,,,,
61,multirepo,wilhelmer/mkdocs-multirepo,['plugin'],site-management,https://github.com/wilhelmer/mkdocs-multirepo,https://github.com/wilhelmer/mkdocs-multirepo,MIT,2020-07-08 12:11:47,2022-01-11 15:38:49,2022-01-11 15:34:30,42,,1.0,4.0,1.0,,2.0,11.0,2022-01-11 15:38:50,0.5.1,2.0,"A bit like monorepo, but keeps MkDocs projects separate.",,,2.0,7,False,3.0,,,,
62,snippet,mprivat/mkdocs-snippet-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/mprivat/mkdocs-snippet-plugin,https://github.com/mprivat/mkdocs-snippet-plugin,MIT,2019-02-27 18:43:14,2021-10-21 22:55:54,2021-10-21 22:55:54,10,,3.0,3.0,2.0,2.0,4.0,11.0,,,,An mkdocs plugin that injects snippets from a file in a git repository.,6.0,6.0,3.0,7,False,3.0,,,,
63,add-number,ignorantshr/mkdocs-add-number-plugin,['plugin'],html-processing--css-styling,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31,,3.0,1.0,4.0,2.0,9.0,9.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,8.0,8.0,3.0,7,False,2.0,,,,
64,autorefs,mkdocstrings/autorefs,['plugin'],links--references,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2022-03-07 16:43:55,2022-03-07 16:43:40,28,9.0,2.0,3.0,15.0,1.0,3.0,7.0,,,,Automatically link across pages in MkDocs.,,,4.0,7,False,2.0,,,,
65,tooltipster-links,midnightprioriem/mkdocs-tooltipster-links-plugin,['plugin'],links--references,https://github.com/midnightprioriem/mkdocs-tooltipster-links-plugin,https://github.com/midnightprioriem/mkdocs-tooltipster-links-plugin,MIT,2020-01-11 16:20:03,2022-03-30 21:03:11,2020-07-29 11:54:06,7,,1.0,2.0,1.0,1.0,,6.0,2020-01-11 17:58:07,_010,1.0,An MkDocs plugin that adds tooltips to preview the content of page links using tooltipster.,13.0,13.0,,7,False,2.0,,,,
66,vim-md-tags,midnightprioriem/mkdocs-vim-md-tags-plugin,['plugin'],authoring,https://github.com/midnightprioriem/mkdocs-vim-md-tags-plugin,https://github.com/midnightprioriem/mkdocs-vim-md-tags-plugin,MIT,2020-01-11 18:58:18,2020-05-08 18:43:26,2020-05-08 18:42:07,13,,1.0,3.0,1.0,,,3.0,2020-05-08 18:43:26,_020,2.0,An MkDocs plugin that creates a vim tag file of all markdown files.,9.0,9.0,4.0,7,False,3.0,,,,
67,mkdocs_safe_text,raimon49/mkdocs-safe-text-plugin,['plugin'],html-processing--css-styling,https://github.com/raimon49/mkdocs-safe-text-plugin,https://github.com/raimon49/mkdocs-safe-text-plugin,BSD-2-Clause,2018-01-20 11:15:30,2022-03-02 10:44:03,2022-03-02 10:43:19,175,6.0,,1.0,13.0,,,1.0,2022-03-02 10:44:26,-1.4.0,13.0,Plugin for safe text editing with MKDocs.,,,2.0,7,False,2.0,,,,
68,tags,jldiaz/mkdocs-plugin-tags,['plugin'],search--tables-of-content,https://github.com/jldiaz/mkdocs-plugin-tags,https://github.com/jldiaz/mkdocs-plugin-tags,MIT,2019-10-21 15:51:50,2021-09-02 19:03:31,2021-09-02 19:03:31,7,,15.0,4.0,4.0,6.0,7.0,38.0,,,,,,,3.0,6,False,3.0,,,,
69,swagger,allevo/mkdocs-swagger-plugin,['plugin'],web-services,https://github.com/allevo/mkdocs-swagger-plugin,https://github.com/allevo/mkdocs-swagger-plugin,MIT,2019-05-18 13:36:54,2019-10-06 19:53:01,2019-10-06 19:52:58,7,,6.0,3.0,1.0,3.0,2.0,27.0,,,,MkDocs plugin for render swagger into docs.,,,,6,False,1.0,,,,
70,gen-files,oprypin/mkdocs-gen-files,['plugin'],code-execution-variables--templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2022-02-23 18:16:36,2022-01-21 18:39:10,49,2.0,2.0,2.0,3.0,4.0,5.0,18.0,2021-06-01 23:28:16,0.3.3,3.0,MkDocs plugin to programmatically generate documentation pages during the build.,,,2.0,6,False,3.0,,,,
71,roamlinks,Jackiexiao/mkdocs-roamlinks-plugin,['plugin'],links--references,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2022-01-22 11:08:54,2020-09-06 10:45:54,12,,7.0,,2.0,,,14.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,3.0,6,False,3.0,,,,
72,progress,rdilweb/mkdocs-plugin-progress,['plugin'],site-management,https://github.com/rdilweb/mkdocs-plugin-progress,https://github.com/rdilweb/mkdocs-plugin-progress,Apache-2.0,2020-02-20 22:44:17,2020-06-20 02:28:12,2020-06-20 02:28:06,15,,1.0,2.0,2.0,,1.0,3.0,2020-02-21 11:28:11,1.1.4-FINAL,1.0,A plugin for MkDocs that lets you know exactly what is happening during the build.,11.0,11.0,3.0,6,False,3.0,,,,
73,mkdocs-spellcheck,pawamoy/mkdocs-spellcheck,['plugin'],other,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2022-04-11 16:54:07,2022-04-11 16:53:53,29,29.0,,1.0,,8.0,4.0,3.0,,,,A spell checker plugin for MkDocs.,,,,6,False,2.0,,,,
74,subsite,inuits/mkdocs-subsite,['plugin'],site-management,https://github.com/inuits/mkdocs-subsite,https://github.com/inuits/mkdocs-subsite,MIT,2018-08-01 13:00:03,2022-02-09 10:47:51,2022-02-09 10:47:51,11,2.0,3.0,22.0,1.0,,,1.0,,,,MkDocs plugin for integrating standalone MkDocs git submodules into a main repo.,,,4.0,6,False,3.0,,,,
75,mkdocs-categories-plugin,eddyluten/mkdocs-categories-plugin,['plugin'],navigation--page-building,https://github.com/EddyLuten/mkdocs-categories-plugin,https://github.com/EddyLuten/mkdocs-categories-plugin,MIT,2022-02-24 02:42:22,2022-02-25 02:23:16,2022-02-25 02:19:22,3,3.0,,1.0,,,,1.0,2022-02-25 02:23:16,0.2.0,3.0,An MkDocs plugin allowing for categorization of wiki pages.,,,,6,False,3.0,,,,
76,mkdocs-alias-plugin,eddyluten/mkdocs-alias-plugin,['plugin'],links--references,https://github.com/EddyLuten/mkdocs-alias-plugin,https://github.com/EddyLuten/mkdocs-alias-plugin,MIT,2022-02-13 01:23:30,2022-02-25 02:26:10,2022-02-25 02:26:10,9,9.0,,1.0,,,,1.0,2022-02-24 01:22:14,0.2.0,3.0,An MkDocs plugin allowing links to your pages using a custom alias.,,,,6,False,3.0,,,,
77,bootstrap-tables,byrnereese/mkdocs-bootstrap-tables-plugin,['plugin'],html-processing--css-styling,https://github.com/byrnereese/mkdocs-bootstrap-tables-plugin,https://github.com/byrnereese/mkdocs-bootstrap-tables-plugin,MIT,2018-12-19 20:55:24,2020-03-27 04:57:49,2020-03-27 04:57:31,2,,2.0,1.0,,,,8.0,,,,A MkDocs plugin to add bootstrap classes to plan markdown generated tables.,40.0,40.0,,5,False,3.0,,,,
78,doxygen,pieterdavid/mkdocs-doxygen-plugin,['plugin'],api-documentation-building,https://github.com/pieterdavid/mkdocs-doxygen-plugin,https://github.com/pieterdavid/mkdocs-doxygen-plugin,MIT,2018-08-06 19:41:31,2020-12-04 15:20:33,2020-12-04 15:20:32,9,,3.0,2.0,2.0,1.0,,8.0,,,,A Doxygen plugin for MkDocs.,,,3.0,5,False,3.0,,,,
79,same-dir,oprypin/mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2021-10-06 21:28:42,2021-10-06 21:27:31,20,,1.0,2.0,1.0,,2.0,6.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,45.0,45.0,2.0,5,False,2.0,,,,
80,mk2pdf-export,HaoLiuHust/mkdocs-mk2pdf-plugin,['plugin'],pdf--site-conversion,https://github.com/HaoLiuHust/mkdocs-mk2pdf-plugin,https://github.com/HaoLiuHust/mkdocs-mk2pdf-plugin,MIT,2020-01-13 11:09:42,2021-06-29 13:46:26,2020-09-11 05:52:58,21,,4.0,1.0,7.0,,1.0,5.0,,,,"The plugin is based on https://github.com/zhaoterryy/mkdocs-pdf-export-plugin/ ,the main change is use pandoc to..",1.0,1.0,4.0,5,False,3.0,,,,
81,awesome-list,carlosperate/mkdocs-awesome-list-plugin,['plugin'],navigation--page-building,https://github.com/carlosperate/mkdocs-awesome-list-plugin,https://github.com/carlosperate/mkdocs-awesome-list-plugin,MIT,2019-07-25 19:23:15,2019-07-26 00:31:07,2019-07-26 00:30:58,4,,,,,,,4.0,,,,MkDocs Plugin to inject social media cards for each entry in an awesome-list.,,,,5,False,3.0,,,,
82,mkdocs-coverage,pawamoy/mkdocs-coverage,['plugin'],other,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2021-12-16 22:41:29,2021-12-16 22:41:06,31,,,1.0,,3.0,3.0,4.0,,,,MkDocs plugin to integrate your coverage HTML report into your site.,,,,5,False,2.0,,,,
83,markdown-filter,byrnereese/mkdocs-markdown-filter,['plugin'],code-execution-variables--templating,https://github.com/byrnereese/mkdocs-markdown-filter,https://github.com/byrnereese/mkdocs-markdown-filter,MIT,2019-02-06 17:40:11,2019-02-06 17:56:45,2019-02-06 17:56:44,4,,,1.0,,1.0,,2.0,,,,Adds a markdown template filter to the jinja templating environment in mkdocs.,10.0,10.0,,5,False,3.0,,,,
84,user-defined-values,rahult/mkdocs-user-defined-values,['plugin'],code-execution-variables--templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,,2020-01-05 09:26:06,2021-06-02 00:57:51,2020-04-26 10:46:29,35,,2.0,3.0,9.0,,,2.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,7.0,7.0,3.0,5,False,3.0,10.0,0.0,,
85,mkdocs-nav-enhancements,Rylon/mkdocs-nav-enhancements,['plugin'],navigation--page-building,https://github.com/Rylon/mkdocs-nav-enhancements,https://github.com/Rylon/mkdocs-nav-enhancements,MIT,2019-07-15 23:39:57,2019-07-24 10:09:41,2019-07-24 10:08:04,16,,,1.0,,1.0,,1.0,,,,WIP plugin for working with titles of pages in MkDocs.,17.0,17.0,,5,False,3.0,,,,
86,webcontext,Darrelk/mkdocs-webcontext-plugin,['plugin'],links--references,https://github.com/Darrelk/mkdocs-webcontext-plugin,https://github.com/Darrelk/mkdocs-webcontext-plugin,MIT,2021-04-14 11:55:59,2021-04-14 14:19:33,2021-04-14 14:18:28,3,,,1.0,,,,,2021-04-14 14:19:33,0.1.0,1.0,Mkdocs plugin for converting absolute paths to webcontext aware paths using the configured webcontext context.,3.0,3.0,,5,False,3.0,2.0,0.0,,
87,inari,tkamenoko/inari,['plugin'],api-documentation-building,https://github.com/tkamenoko/inari,https://github.com/tkamenoko/inari,MIT,2019-08-22 04:40:26,2021-07-10 04:26:16,2021-07-10 04:26:08,101,,,2.0,,1.0,1.0,6.0,,,,Write docstrings in markdown!.,,,,4,False,3.0,,,,
88,markdownwavedrom,kuri65536/mkdocs-wavedrom-plugin,['plugin'],images-tables-charts--graphs,https://github.com/kuri65536/mkdocs-wavedrom-plugin,https://github.com/kuri65536/mkdocs-wavedrom-plugin,MPL-2.0,2019-06-27 22:32:34,2021-08-02 16:08:15,2021-06-26 00:35:03,13,,1.0,,1.0,1.0,2.0,6.0,,,,A MkDocs plugin for support wavedrom charts in markdown file.,2.0,2.0,,4,False,3.0,,,,
89,git snippet,SamazoOo/mkdocs-gitsnippet-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/SamazoOo/mkdocs-gitsnippet-plugin,https://github.com/SamazoOo/mkdocs-gitsnippet-plugin,MIT,2020-05-06 08:47:46,2020-11-15 20:10:15,2020-11-15 20:10:06,14,,2.0,2.0,1.0,,,5.0,,,,Mkdocs plugin that allow to inject snippet or all markdown content from a given remote git repository.,1.0,1.0,3.0,4,False,3.0,,,,
90,jinja2sandbox,rkoe/mkdocs-jinja2sandbox,['plugin'],code-execution-variables--templating,https://github.com/rkoe/mkdocs-jinja2sandbox,https://github.com/rkoe/mkdocs-jinja2sandbox,MIT,2019-03-20 22:53:53,2019-03-20 23:06:19,2019-03-20 23:06:18,3,,,2.0,,,,3.0,,,,A MkDocs plugin that enables the Jinja2-sandbox.,,,,4,False,3.0,,,,
91,git-committers-2,ojacques/mkdocs-git-committers-plugin-2,['plugin'],git-repos--info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2020-04-20 17:07:57,2020-04-20 17:07:51,14,,4.0,1.0,2.0,,,3.0,,,,,6.0,6.0,2.0,4,False,3.0,,,,True
92,abs-to-rel,sander76/mkdocs-abs-rel-plugin,['plugin'],links--references,https://github.com/sander76/mkdocs-abs-rel-plugin,https://github.com/sander76/mkdocs-abs-rel-plugin,MIT,2018-12-17 10:36:19,2020-03-03 19:34:26,2020-03-03 19:34:24,12,,3.0,1.0,1.0,1.0,,2.0,,,,MkDocs plugin for converting absolute links to relative ones.,4.0,4.0,2.0,4,False,3.0,,,,
93,factsheet,inuits/mkdocs-factsheet,['plugin'],web-services,https://github.com/inuits/mkdocs-factsheet,https://github.com/inuits/mkdocs-factsheet,MIT,2018-07-31 10:32:59,2019-12-05 10:10:40,2019-12-05 10:10:37,8,,1.0,21.0,1.0,,1.0,2.0,,,,"Generate overviews from YAML descriptions, intended for micro-services and their deployments.",,,3.0,4,False,3.0,,,,
94,toc-sidebar,midnightprioriem/mkdocs-toc-sidebar-plugin,['plugin'],navigation--page-building,https://github.com/midnightprioriem/mkdocs-toc-sidebar-plugin,https://github.com/midnightprioriem/mkdocs-toc-sidebar-plugin,MIT,2020-01-11 06:11:10,2021-05-30 09:12:08,2020-01-11 13:04:15,9,,3.0,2.0,3.0,3.0,,1.0,2020-01-11 07:19:38,_010,1.0,An MkDocs plugin that allows users to add additional content to the ToC sidebar using the Material theme.,5.0,5.0,2.0,4,False,3.0,,,,
95,mkdocs-add-teaser,wilhelmer/mkdocs-add-teaser,['plugin'],html-processing--css-styling,https://github.com/wilhelmer/mkdocs-add-teaser,https://github.com/wilhelmer/mkdocs-add-teaser,MIT,2019-04-02 09:24:11,2020-06-12 13:42:03,2020-06-12 13:35:50,20,,1.0,2.0,,,1.0,1.0,2020-02-24 15:13:18,0.5.0,3.0,An MkDocs plugin to add a CSS class to the first paragraph after the first heading 1 in all pages of your project.,1.0,1.0,,4,False,3.0,,,,
96,select-files,supcik/mkdocs-select-files,['plugin'],navigation--page-building,https://github.com/supcik/mkdocs-select-files,https://github.com/supcik/mkdocs-select-files,Apache-2.0,2019-09-04 22:26:31,2019-09-05 06:59:51,2019-09-05 06:58:14,8,,,1.0,,,,,,,,,7.0,7.0,,4,False,3.0,,,,
97,linkpatcher-plugin,sekikawattt/mkdocs-linkpatcher-plugin,['plugin'],links--references,https://github.com/sekikawattt/mkdocs-linkpatcher-plugin,https://github.com/sekikawattt/mkdocs-linkpatcher-plugin,MIT,2018-03-13 14:45:50,2018-03-14 15:47:27,2018-03-14 15:31:29,7,,,,,,,,,,,a mkdocs plugin sets links semiautomatically.,,,2.0,4,False,3.0,,,,
98,pico-8,fmaida/pico8-mkdocs-plugin,['plugin'],other,https://github.com/fmaida/pico8-mkdocs-plugin,https://github.com/fmaida/pico8-mkdocs-plugin,MIT,2019-03-16 17:43:48,2019-03-17 11:49:29,2019-03-17 11:49:24,5,,,2.0,,,,,,,,A MKDocs plugin that allows to embed a Pico-8 web player in a page.,,,,4,False,3.0,,,,
99,blog,andyoakley/mkdocs-blog,['plugin'],blogging,https://github.com/andyoakley/mkdocs-blog,https://github.com/andyoakley/mkdocs-blog,,2018-02-09 06:12:17,2022-01-21 04:42:09,2020-11-02 21:52:20,17,,7.0,1.0,3.0,3.0,,15.0,,,,Blogging in mkdocs.,,,,3,False,3.0,,,,
100,nbconvert,tanbro/mkdocs-nbconvert,['plugin'],code-execution-variables--templating,https://github.com/tanbro/mkdocs-nbconvert,https://github.com/tanbro/mkdocs-nbconvert,,2019-08-05 11:11:23,2021-12-03 07:58:12,2021-12-03 07:02:22,48,,1.0,2.0,1.0,,,5.0,,,,A MkDocs plug-in provides a source parser for *.ipynb files.,2.0,2.0,4.0,3,False,3.0,,,,
101,autoreflinks,pauloue/mkdocs-autoreflinks-plugin,['plugin'],links--references,https://github.com/pauloue/mkdocs-autoreflinks-plugin,https://github.com/pauloue/mkdocs-autoreflinks-plugin,0BSD,2019-08-25 18:43:10,2021-02-13 22:17:31,2021-02-13 22:14:37,3,,,1.0,,,3.0,4.0,,,,An MkDocs plugin that auto-links heading references.,,,,3,False,3.0,,,,
102,alternate-link,cmitu/mkdocs-altlink-plugin,['plugin'],links--references,https://github.com/cmitu/mkdocs-altlink-plugin,https://github.com/cmitu/mkdocs-altlink-plugin,MIT,2020-01-08 21:31:28,2021-02-14 13:54:59,2021-02-14 13:54:59,14,,1.0,2.0,2.0,,1.0,4.0,,,,An MkDocs plugin that simplifies internal links creation.,,,3.0,3,False,3.0,,,,
103,thumbnails,normanlorrain/mkdocs-thumbnails,['plugin'],other,https://github.com/normanlorrain/mkdocs-thumbnails,https://github.com/normanlorrain/mkdocs-thumbnails,MIT,2021-04-19 16:01:11,2021-06-01 20:41:03,2021-06-01 20:40:56,35,,,1.0,,1.0,1.0,2.0,,,,MkDocs plugin for thumbnail images generated automatically.,,,,3,False,3.0,,,,
104,docstyler,hfagerlund/mkdocs-docstyler-plugin,['plugin'],html-processing--css-styling,https://github.com/hfagerlund/mkdocs-docstyler-plugin,https://github.com/hfagerlund/mkdocs-docstyler-plugin,BSD-3-Clause,2019-02-10 21:05:18,2019-02-17 04:17:30,2019-02-16 01:29:25,2,,,1.0,,,,,,,,Plugin to add alternative stylesheets to MkDocs custom themes.,,,,3,False,3.0,,,,
105,codeyaml,textileio/mkdocs-codeyaml-plugin,['plugin'],code-execution-variables--templating,https://github.com/textileio/mkdocs-codeyaml-plugin,https://github.com/textileio/mkdocs-codeyaml-plugin,,2019-04-30 19:39:34,2019-04-30 22:11:50,2019-04-30 22:11:44,3,,1.0,4.0,,,,,,,,Allows for more than one yaml config in mkdocs.,,,,3,False,3.0,,,,
106,mkdocs-embed-external-markdown,fire1ce/mkdocs-embed-external-markdown,['plugin'],reusing-content-snippets--includes,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,,2022-02-24 10:21:12,2022-03-23 09:58:37,2022-03-23 09:56:40,35,35.0,1.0,1.0,2.0,,,,,,,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,1.0,1.0,2.0,3,False,3.0,,,,
107,git-latest-tag,agarthetiger/mkdocs_latest_release_plugin,['plugin'],git-repos--info,https://github.com/agarthetiger/mkdocs_latest_release_plugin,https://github.com/agarthetiger/mkdocs_latest_release_plugin,GPL-3.0,2019-03-18 22:07:47,2021-06-01 23:29:29,2019-12-29 08:46:29,5,,,1.0,8.0,,,,,,,Plugin for MKDocs to inject the latest release tag from git into markdown.,,,3.0,3,False,3.0,,,,
108,dodoc,plasmatech8/Python-Mkdocs-Autodoc-Plugin,['plugin'],api-documentation-building,https://github.com/plasmatech8/python-mkdocs-autodoc-plugin,https://github.com/plasmatech8/python-mkdocs-autodoc-plugin,,2019-03-17 08:16:00,2020-06-18 08:30:09,2020-06-18 08:30:08,4,,,,,,,,,,,"INACTIVE, INCOMPLETE.",,,,3,False,3.0,,,,
109,Autolink References,theskumar/autolink-references-mkdocs-plugin,['plugin'],links--references,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2022-01-26 12:19:00,2022-01-26 12:18:57,9,3.0,2.0,2.0,1.0,1.0,1.0,7.0,,,,Provides GitHub like autolink references in Mkdocs.,2.0,2.0,2.0,2,False,3.0,,,,
110,sequence-js,fcannizzaro/mkdocs-sequence-js-plugin,['plugin'],images-tables-charts--graphs,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,MIT,2019-11-06 22:44:12,2020-02-28 16:45:04,2020-02-28 16:43:34,11,,1.0,2.0,,1.0,2.0,4.0,,,,MkDocs plugin to render sequence.js blocks.,,,2.0,2,False,3.0,,,,
111,mdoctag,srymh/MkdocsTagPlugin,['plugin'],search--tables-of-content,https://github.com/srymh/MkdocsTagPlugin,https://github.com/srymh/MkdocsTagPlugin,MIT,2019-06-02 07:18:19,2021-03-29 19:59:06,2020-06-24 14:45:47,9,,3.0,2.0,5.0,1.0,1.0,3.0,,,,,,,2.0,2,False,3.0,,,,
112,mkdocs-new-features-notifier,kevin-411/mkdocs-new-features-notifier,['plugin'],site-management,https://github.com/kevin-411/mkdocs-new-features-notifier,https://github.com/kevin-411/mkdocs-new-features-notifier,MIT,2019-11-27 07:15:17,2020-01-15 10:40:10,2020-01-15 10:13:44,17,,1.0,2.0,,,,2.0,,,,This plugin enables you to notify users of new features in your product. It does this by identifying new documentation..,,,2.0,2,False,3.0,,,,
113,branchcustomization,effigies/mkdocs-branchcustomization-plugin,['plugin'],git-repos--info,https://github.com/effigies/mkdocs-branchcustomization-plugin,https://github.com/effigies/mkdocs-branchcustomization-plugin,,2019-12-13 14:59:00,2019-12-13 18:40:22,2019-12-13 18:14:06,7,,,2.0,,,,2.0,,,,Customize MkDocs options on a per-branch basis.,7.0,7.0,,2,False,3.0,,,,
114,multiple,experimaestro/mkdocs-multiple,['plugin'],site-management,https://github.com/experimaestro/mkdocs-multiple,https://github.com/experimaestro/mkdocs-multiple,GPL-3.0,2019-02-27 10:51:22,2019-11-22 09:07:18,2019-11-22 09:06:06,5,,,2.0,,1.0,,1.0,,,,Allows to merge mkdocs documentations dynamically.,,,,2,False,3.0,,,,
115,emailprotect,rkoe/mkdocs-emailprotect,['plugin'],links--references,https://github.com/rkoe/mkdocs-emailprotect,https://github.com/rkoe/mkdocs-emailprotect,MIT,2020-01-07 21:52:50,2020-01-21 00:13:01,2020-01-21 00:13:00,4,,,2.0,,,1.0,1.0,,,,A MkDocs plugin that tries to obscure email-addresses from address-harvesting spam-bots.,,,,2,False,3.0,,,,
116,helm,M00nF1sh/mkdocs-helm,['plugin'],pdf--site-conversion,https://github.com/M00nF1sh/mkdocs-helm,https://github.com/M00nF1sh/mkdocs-helm,Apache-2.0,2018-11-19 23:21:08,2021-08-11 10:10:01,2018-11-21 02:32:03,2,,1.0,1.0,3.0,,,1.0,,,,An mkdocs plugin that turns docs website into helm repository.,,,,2,False,3.0,,,,
117,theme-jinja2-filters,burnedikt/mkdocs-jinja2-filters-plugin,['plugin'],code-execution-variables--templating,https://github.com/burnedikt/mkdocs-jinja2-filters-plugin,https://github.com/burnedikt/mkdocs-jinja2-filters-plugin,,2019-06-28 12:51:02,2019-06-28 12:53:02,2019-06-28 12:52:57,2,,,,,,,2.0,,,,Allow registering custom Jinja2 template filters for a mkdocs template.,,,,1,False,3.0,,,,
118,webmsx,fmaida/webmsx-mkdocs-plugin,['plugin'],other,https://github.com/fmaida/webmsx-mkdocs-plugin,https://github.com/fmaida/webmsx-mkdocs-plugin,,2018-04-24 06:14:50,2019-11-20 13:56:58,2019-11-20 13:56:53,19,,,2.0,,,,1.0,,,,WebMSX plugin for mkdocs -- static site generator.,,,,1,False,3.0,,,,
119,jinja2,andyoakley/mkdocs-jinja2,['plugin'],code-execution-variables--templating,https://github.com/andyoakley/mkdocs-jinja2,https://github.com/andyoakley/mkdocs-jinja2,,2018-01-25 07:04:05,2021-02-19 16:00:19,2019-08-22 03:01:34,4,,1.0,2.0,1.0,2.0,,8.0,,,,,,,2.0,0,False,,,,,
120,replace,SivagiriVisakan/mkdocs-replace-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/SivagiriVisakan/mkdocs-replace-plugin,https://github.com/SivagiriVisakan/mkdocs-replace-plugin,,2018-05-06 12:28:57,2018-08-11 16:02:33,2018-08-11 16:02:32,3,,2.0,1.0,,,1.0,3.0,,,,,,,,0,False,,,,,
121,schema-reader,magicaljellybeans/mkdocs_schema_reader,['plugin'],navigation--page-building,https://github.com/magicaljellybeans/mkdocs_schema_reader,https://github.com/magicaljellybeans/mkdocs_schema_reader,,2020-12-07 16:39:34,2022-03-01 16:16:19,2021-06-23 16:04:58,16,,1.0,1.0,1.0,2.0,1.0,2.0,,,1.0,"A mkdocs plugin that scans specified directories and files for JSON Schema files, converts them to markdown and builds..",,,2.0,0,False,,,,,
122,mkdocs_protobuf,rymurr/mkdocs-protobuf,['plugin'],code-execution-variables--templating,https://github.com/rymurr/mkdocs-protobuf,https://github.com/rymurr/mkdocs-protobuf,,2021-09-11 10:16:54,2022-03-30 11:31:47,2022-03-30 11:31:58,19,3.0,1.0,1.0,,,,2.0,,,,,,,2.0,0,False,,,,,
123,pagenav-generator,Andre601/mkdocs-pagenav-generator,['plugin'],navigation--page-building,https://github.com/Andre601/mkdocs-pagenav-generator,https://github.com/Andre601/mkdocs-pagenav-generator,,2021-02-22 23:26:06,2021-09-09 14:10:20,2021-09-09 14:10:20,15,,1.0,2.0,1.0,,,1.0,,,,Little something to automatically generate a Navigation within a page itself. Depends on Awesome-pages.,,,2.0,0,False,,,,,
124,navtitles,andyoakley/mkdocs-navtitles,['plugin'],navigation--page-building,https://github.com/andyoakley/mkdocs-navtitles,https://github.com/andyoakley/mkdocs-navtitles,,2018-01-25 07:03:05,2018-09-20 05:43:06,2018-09-20 05:43:00,2,,,1.0,,1.0,,,,,,,,,,0,False,,,,,
125,fastsearch,andyoakley/mkdocs-fastsearch,['plugin'],search--tables-of-content,https://github.com/andyoakley/mkdocs-fastsearch,https://github.com/andyoakley/mkdocs-fastsearch,,2018-09-21 04:33:18,2018-09-21 04:33:38,2018-09-21 04:32:43,1,,,1.0,,1.0,,2.0,,,,,,,,-1,False,3.0,,,,
