,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
44,autolinks,,autolinks,,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-10-10 15:31:51,2023-08-04 14:41:05,27.0,,15.0,4.0,20.0,7.0,9.0,73.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,348.0,348.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,26963.0,26963.0,18,True,1.0,,,,zachhannum/mkdocs-autolinks-plugin,,,,,
45,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-11-24 09:24:32,2023-05-27 08:38:28,113.0,,6.0,4.0,9.0,2.0,28.0,36.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,174.0,174.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,6428.0,6428.0,18,True,2.0,,,,,,,,,
46,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-01-15 22:50:48,2024-01-07 07:04:26,57.0,5.0,24.0,2.0,28.0,6.0,15.0,33.0,2024-01-07 07:12:32,0.7.0,11.0,MkDocs plugin for Kroki-Diagrams.,30.0,30.0,13.0,https://pypi.org/project/mkdocs-kroki-plugin,18332.0,18332.0,18,True,2.0,,,,,,,,,
47,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-01-16 14:43:06,2024-01-16 13:21:46,252.0,106.0,12.0,4.0,29.0,25.0,38.0,27.0,2024-01-16 14:16:42,0.10.0,15.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,9.0,https://pypi.org/project/mkdocs-gallery,975.0,975.0,18,True,2.0,,,,,,,,,
48,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44,2023-11-22 10:27:30,54.0,2.0,9.0,24.0,12.0,3.0,3.0,25.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,100.0,100.0,5.0,https://pypi.org/project/markdown-blockdiag,2235.0,2235.0,18,True,2.0,markdown_blockdiag,,,,,,,,
49,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2023-12-24 16:32:38,2023-12-24 16:32:34,37.0,2.0,7.0,1.0,21.0,12.0,21.0,98.0,2023-07-28 10:46:04,1.0.4,17.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,95.0,95.0,8.0,https://pypi.org/project/neoteroi-mkdocs,56957.0,56998.0,17,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",862.0,,,,,,,
50,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2024-01-18 13:33:30,2023-12-13 10:17:50,246.0,2.0,17.0,2.0,9.0,28.0,22.0,84.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,165.0,165.0,5.0,https://pypi.org/project/mkapi,3374.0,3374.0,17,True,2.0,,,,,,,,,
51,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,,15.0,3.0,18.0,4.0,36.0,82.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,152.0,152.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,3501.0,3501.0,17,True,2.0,,11.0,,,,,,,
52,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,7.0,4.0,9.0,3.0,82.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1695.0,1695.0,,https://pypi.org/project/mkdocs-exclude,96469.0,96469.0,17,True,2.0,,,,,,,,,
53,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45,2023-12-29 21:15:45,37.0,3.0,37.0,7.0,19.0,1.0,15.0,74.0,,,,MkDocs Bootstrap Theme.,445.0,445.0,6.0,https://pypi.org/project/mkdocs-bootstrap,2543.0,2543.0,17,True,2.0,,,,,,,,,
54,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2023-09-25 17:42:01,2023-09-25 17:41:37,60.0,,5.0,4.0,3.0,3.0,16.0,65.0,2023-08-28 07:57:05,0.0.10,10.0,Mkdocs plugin to add vegalite charts to your pages.,50.0,50.0,3.0,https://pypi.org/project/mkdocs-charts-plugin,4038.0,4038.0,17,True,2.0,,,,,,,,,
55,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2024-01-11 18:54:03,2023-06-07 22:10:53,60.0,,3.0,4.0,18.0,6.0,19.0,64.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,63.0,63.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,6764.0,6764.0,17,True,2.0,,,1.0,,,,,,
56,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2023-11-18 15:54:08,2023-11-18 15:52:52,66.0,6.0,5.0,1.0,2.0,6.0,11.0,52.0,2023-11-18 15:54:28,0.6.7,21.0,A MkDocs plugin supports for add Swagger UI in page.,86.0,86.0,2.0,https://pypi.org/project/mkdocs-swagger-ui-tag,12825.0,12826.0,17,True,1.0,,26.0,,,,,,,
57,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,66.0,66.0,5.0,https://pypi.org/project/mkdocs-versioning,2669.0,2669.0,17,True,2.0,,,,,,,,,
58,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2023-12-28 13:42:33,2023-11-09 12:22:07,154.0,3.0,12.0,4.0,28.0,4.0,37.0,38.0,2023-07-21 14:25:37,1.1.6,11.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,8.0,8.0,9.0,https://pypi.org/project/mkdoxy,1488.0,1488.0,17,True,2.0,,,,,,,,,
59,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2024-01-14 13:53:25,2023-08-02 19:40:39,38.0,,4.0,4.0,22.0,7.0,7.0,30.0,2023-08-02 19:41:11,0.5.0,1.0,Automatically link across pages in MkDocs.,,,6.0,https://pypi.org/project/mkdocs-autorefs,601794.0,601794.0,17,True,2.0,,,,,,,,,
60,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,30.0,10.0,23.0,12.0,27.0,100.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",51.0,51.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,607.0,607.0,16,True,2.0,,34.0,,,,,,,
61,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41,2024-01-04 21:17:41,20.0,1.0,11.0,1.0,7.0,,,65.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,560.0,560.0,5.0,https://pypi.org/project/mkdocs-video,29080.0,29081.0,16,True,2.0,,41.0,,,,,,,
62,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2023-11-19 11:34:48,2023-11-19 11:34:47,41.0,4.0,14.0,3.0,14.0,1.0,19.0,49.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,96.0,96.0,10.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,33388.0,33388.0,16,True,2.0,,,,,,,,,
63,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2024-01-14 02:59:52,2024-01-14 03:00:15,163.0,8.0,4.0,2.0,14.0,7.0,10.0,43.0,2023-08-20 23:11:16,0.0.9,9.0,Blog Template for Mkdocs.,35.0,35.0,3.0,https://pypi.org/project/mkdocs-simple-blog,305.0,305.0,16,True,2.0,,,,,,,,,
64,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-10-05 16:20:06,2023-10-05 16:19:24,182.0,,5.0,4.0,34.0,2.0,23.0,37.0,2023-10-05 16:20:06,2.4.3,20.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,1843.0,1847.0,16,True,2.0,,165.0,,,,,,,
65,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,31.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,64.0,64.0,4.0,https://pypi.org/project/mkdocs-localsearch,1839.0,1839.0,16,True,2.0,,,,,,,,,
66,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2023-12-19 18:25:05,2023-11-24 15:02:14,42.0,5.0,12.0,3.0,7.0,3.0,8.0,19.0,2022-09-18 20:48:07,0.3.0,2.0,Markdown extension: a classier syntax for admonitions.,150.0,150.0,,https://pypi.org/project/markdown-callouts,6279.0,6279.0,16,False,1.0,callouts,,,,,,,,
67,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,14.0,8.0,17.0,7.0,11.0,203.0,,,,Auto documentation for MkDocs.,774.0,774.0,7.0,https://pypi.org/project/mkautodoc,6318.0,6318.0,15,False,3.0,mkautodoc,,,,,,,,
68,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2023-04-27 15:55:01,2023-04-27 06:02:12,50.0,,6.0,3.0,8.0,2.0,1.0,99.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,46.0,46.0,3.0,https://pypi.org/project/mktestdocs,2719.0,2719.0,15,True,1.0,,,,,,,,,
69,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2023-10-07 05:23:19,2023-10-07 05:23:19,82.0,,9.0,3.0,14.0,3.0,12.0,61.0,2023-10-07 05:11:09,0.1.1,5.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,7.0,https://pypi.org/project/mkdocs-render-swagger-plugin,35138.0,35138.0,15,True,2.0,,,,,,,,,
70,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2024-01-05 18:52:40,2023-11-06 17:12:40,42.0,3.0,8.0,5.0,10.0,8.0,,29.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,163.0,163.0,6.0,https://pypi.org/project/mkdocs-git-committers-plugin,5217.0,5217.0,15,True,3.0,,,,,['mkdocs_plugin'],,,,
71,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2024-01-17 21:45:40,2024-01-17 21:45:38,98.0,3.0,4.0,4.0,24.0,3.0,7.0,20.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,73.0,73.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,623.0,623.0,15,True,1.0,full_yaml_metadata,,,,,,,,
72,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2023-10-23 14:46:00,2023-10-23 14:44:33,82.0,3.0,1.0,2.0,3.0,,3.0,16.0,2023-10-23 14:46:01,1.10.0,16.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,996.0,996.0,2.0,https://pypi.org/project/mkdocs-callouts,6712.0,6712.0,15,False,1.0,,,,,,,,,
73,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,5.0,3.0,22.0,4.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,108.0,108.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,2555.0,2555.0,15,False,2.0,,,,,,,,,
74,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2023-08-02 17:26:47,2023-08-02 17:26:28,46.0,,1.0,3.0,,4.0,4.0,12.0,2023-08-02 17:26:54,1.0.0,1.0,MkDocs plugin to integrate your coverage HTML report into your site.,183.0,183.0,,https://pypi.org/project/mkdocs-coverage,10853.0,10853.0,15,False,2.0,,,,,,,,,
75,file-filter,,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2024-01-18 15:11:39,2024-01-12 04:05:40,74.0,20.0,3.0,2.0,159.0,3.0,7.0,7.0,2024-01-12 04:10:34,0.2.0,10.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",3.0,3.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,2082.0,2085.0,15,False,2.0,,33.0,2.0,,,,,,
76,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2023-11-27 09:14:25,2023-06-27 17:52:12,94.0,,7.0,2.0,5.0,2.0,9.0,6.0,2023-06-21 00:01:59,3.0.1,3.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,104.0,104.0,4.0,https://pypi.org/project/mkdocs-embed-external-markdown,5805.0,5805.0,15,False,2.0,,,,,,,,,
77,Markdown Inline Graphviz,,,,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2024-01-16 17:52:15,2024-01-16 17:52:15,39.0,3.0,8.0,2.0,5.0,,7.0,4.0,2024-01-16 17:52:46,1.1.3,3.0,Render inline graphs with Markdown and Graphviz.,,,9.0,https://pypi.org/project/markdown-inline-graphviz-extension,106068.0,106068.0,15,False,1.0,markdown_inline_graphviz,,,,,,,,
78,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2024-01-18 04:11:11,2024-01-18 04:11:10,175.0,81.0,,1.0,155.0,,,1.0,2023-12-26 18:49:39,0.2.0,2.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",10.0,10.0,2.0,https://pypi.org/project/mkdocs-minify-html-plugin,4386.0,4386.0,15,False,2.0,,,,,,,,,
79,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,115.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,35323.0,35323.0,14,True,2.0,mdx_math,,,,,,,,
80,mkdocs-pandoc,,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,49.0,49.0,4.0,https://pypi.org/project/mkdocs-pandoc,164.0,164.0,14,True,2.0,,,,,,,,,
81,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,45.0,4.0,34.0,14.0,16.0,98.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,280.0,280.0,8.0,https://pypi.org/project/mkdocs-windmill,2308.0,2308.0,14,True,2.0,,,,,,,,,
82,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,9.0,4.0,6.0,7.0,8.0,68.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx-truly-sane-lists,157949.0,157949.0,14,True,2.0,mdx_truly_sane_lists,,,,,,,,
83,Termynal,,termynal,,mkdocs-plugins/termynal,termynal,['plugin'],code-exec-templating,https://github.com/mkdocs-plugins/termynal,https://github.com/mkdocs-plugins/termynal,MIT,2020-11-12 19:59:40,2023-11-25 20:41:27,2023-11-25 20:40:46,73.0,3.0,8.0,1.0,7.0,6.0,7.0,63.0,,,,Python markdown terminal. Built for mkdocs.,118.0,118.0,5.0,https://pypi.org/project/termynal,2147.0,2147.0,14,True,3.0,,,,,,,,,
84,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2023-12-14 06:30:18,2023-04-15 19:03:27,91.0,,1.0,2.0,83.0,25.0,30.0,55.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,40.0,40.0,,https://pypi.org/project/mkdocs-terminal,729.0,729.0,14,True,2.0,,,,,,,,,
85,mkdocs-exporter,,"['exporter', 'exporter-pdf', 'exporter-extras']",,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2023-12-04 20:19:50,2023-12-04 20:19:47,99.0,12.0,,3.0,2.0,3.0,12.0,43.0,2023-12-04 20:17:01,5.2.1,25.0,A plugin for MkDocs that exports your pages as PDF documents.,,,2.0,https://pypi.org/project/mkdocs-exporter,1225.0,1225.0,14,True,2.0,,,,,,,,,
86,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2023-10-20 11:07:06,2022-01-24 19:59:04,40.0,,12.0,2.0,24.0,10.0,14.0,30.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,90.0,90.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,1753.0,1756.0,14,True,2.0,,128.0,,,,,,,
87,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2023-12-03 13:47:52,2023-11-24 15:02:26,40.0,5.0,2.0,2.0,2.0,,6.0,29.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,242.0,242.0,2.0,https://pypi.org/project/mkdocs-same-dir,12828.0,12828.0,14,True,2.0,,,,,,,,,
88,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2023-10-07 06:38:59,2023-10-07 06:38:59,23.0,,4.0,3.0,5.0,6.0,5.0,25.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,89.0,89.0,6.0,https://pypi.org/project/lightgallery,1686.0,1686.0,14,True,2.0,lightgallery,,,,,,,,
89,newsletter,,mkdocs-newsletter,,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2024-01-12 16:16:59,2024-01-12 16:15:24,289.0,10.0,2.0,4.0,97.0,3.0,7.0,21.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,30.0,30.0,3.0,https://pypi.org/project/mkdocs-newsletter,1072.0,1072.0,13,True,2.0,,,,,,,,,
90,pheasant,,pheasant,,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,6.0,5.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,43.0,43.0,4.0,https://pypi.org/project/pheasant,322.0,322.0,13,False,3.0,,,,,,,,,
91,Autolink References,,autolink_references,,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2023-12-28 18:41:30,2023-12-28 18:41:22,14.0,5.0,4.0,4.0,4.0,1.0,3.0,14.0,2023-12-28 18:21:54,0.2.2,1.0,mkdocs plugin to provides GitHub like autolink references in Mkdocs.,7.0,7.0,3.0,https://pypi.org/project/autolink-references-mkdocs-plugin,4230.0,4230.0,13,False,2.0,,,,,,,,,
