,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
43,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51.000000,2024-08-22 08:33:30,76.0,,17.0,2.0,17.0,6.0,30.0,88.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1466.0,1466.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,147586.0,147586.0,20,True,2.0,,,,,,,,,,,,,
44,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,10.0,4.0,9.0,5.0,9.0,60.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2880.0,2880.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,71785.0,71785.0,20,True,2.0,,,,,,,,,,,,,
45,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-10-26 18:43:46.000000,2024-07-28 20:33:58,154.0,,27.0,3.0,41.0,8.0,34.0,55.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,64.0,64.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,45703.0,45703.0,20,True,2.0,,,,,,,,,,,,,
46,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,"Blogging engine with support for categories, tags and archive.",90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,2.0,,98.0,,,,,,,,,,,
47,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,Social media sharing helper.,90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,1.0,,98.0,,,,,,,,,,,
48,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,1.0,,98.0,,,,,,,,,,,
49,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,1.0,,98.0,,,,,,,,,,,
50,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,Automatic navigation based on files metadata with URL name and publication status control.,90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,2.0,,98.0,,,,,,,,,,,
51,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-07-13 10:40:16.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,105.0,2025-07-12 12:43:24,1.4.8,20.0,Advanced console and file logger from build and serve process.,90.0,90.0,3.0,https://pypi.org/project/mkdocs-publisher,3539.0,3542.0,19,True,2.0,,98.0,,,,,,,,,,,
52,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31.000000,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,5.0,36.0,88.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,314.0,314.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,9894.0,9894.0,19,True,2.0,,22.0,,,,,,,,,,,
53,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2025-05-20 13:09:43.000000,2025-05-20 13:07:56,118.0,3.0,11.0,2.0,36.0,1.0,30.0,69.0,2025-05-20 13:08:13,1.4.2,10.0,Automatically link across pages in MkDocs.,,,9.0,https://pypi.org/project/mkdocs-autorefs,3516701.0,3516701.0,19,True,1.0,,,,,,,,,,,,,
54,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24.000000,2023-11-14 05:07:17,58.0,,5.0,1.0,32.0,,6.0,64.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",2148.0,2148.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,89030.0,89030.0,19,True,2.0,,60.0,,,,,,,,,,,
55,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,https://github.com/MikhailKravets/mkdocs_puml,https://github.com/MikhailKravets/mkdocs_puml,MIT,2022-09-11 16:37:25,2025-07-07 06:47:22.000000,2025-07-07 06:47:22,418.0,2.0,14.0,4.0,68.0,9.0,23.0,54.0,2024-10-25 11:13:12,2.3.0,20.0,Inline PlantUML diagrams in your MkDocs documentation.,72.0,72.0,8.0,https://pypi.org/project/mkdocs-puml,36602.0,36602.0,19,True,2.0,,,2.0,,,,,,,,,,
56,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2025-07-04 15:23:04.000000,2025-06-20 03:21:30,741.0,9.0,10.0,2.0,856.0,,19.0,49.0,2025-06-20 15:43:32,3.2.4,46.0,Build documentation files inside your code into a MkDocs site.,58.0,58.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,16669.0,16669.0,19,True,2.0,,,-1.0,,,,,,,,,,
57,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39.000000,2024-04-16 19:14:48,121.0,,12.0,3.0,10.0,5.0,28.0,45.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,328.0,328.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,32397.0,32397.0,19,True,1.0,,,,,,,,,,,,,
58,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00.000000,2024-09-23 14:53:56,120.0,,16.0,3.0,53.0,3.0,33.0,45.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,528.0,528.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,37771.0,37771.0,19,True,1.0,,,,,,,,,,,,,
59,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,https://github.com/PLAYG0N/mkdocs-panzoom,https://github.com/PLAYG0N/mkdocs-panzoom,MIT,2024-08-21 18:53:29,2025-07-11 10:46:16.000000,2025-06-15 12:06:19,90.0,15.0,1.0,5.0,6.0,3.0,19.0,40.0,2025-05-16 17:19:45,0.2.2,20.0,MkDocs Plugin to enable pan & zoom on images and mermaid/d2 diagrams.,23.0,23.0,4.0,https://pypi.org/project/mkdocs-panzoom-plugin,432256.0,432259.0,19,True,2.0,,35.0,-1.0,,,,,,,,,,
60,mkdocstrings-crystal,,,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,https://github.com/mkdocstrings/crystal,https://github.com/mkdocstrings/crystal,MIT,2020-10-13 20:07:35,2025-02-15 16:34:01.000000,2025-02-15 16:23:38,160.0,,3.0,4.0,5.0,4.0,2.0,30.0,2022-05-02 23:04:11,0.3.5,3.0,Crystal language doc generator for https://github.com/mkdocstrings/mkdocstrings.,967.0,967.0,3.0,https://pypi.org/project/mkdocstrings-crystal,16352.0,16352.0,19,True,2.0,,,,,,,,,,,,,
61,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2024-10-24 12:47:35.000000,2024-10-24 12:47:33,71.0,,9.0,3.0,12.0,3.0,5.0,121.0,2024-09-30 15:17:22,0.2.3,4.0,Run pytest against markdown files/docstrings.,74.0,74.0,5.0,https://pypi.org/project/mktestdocs,76181.0,76181.0,18,True,1.0,,,,,,,,,,,,,
62,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41.000000,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,,76.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,1031.0,1031.0,5.0,https://pypi.org/project/mkdocs-video,93176.0,93177.0,18,True,2.0,,74.0,,,,,,,,,,,
63,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,https://github.com/pawamoy/mkdocs-llmstxt,https://github.com/pawamoy/mkdocs-llmstxt,ISC,2025-01-14 18:14:38,2025-07-14 20:14:53.000000,2025-07-14 20:14:36,22.0,7.0,5.0,3.0,3.0,5.0,5.0,57.0,2025-07-14 20:14:49,0.3.0,3.0,MkDocs plugin to generate an /llms.txt file (https://llmstxt.org/).,41.0,41.0,3.0,https://pypi.org/project/mkdocs-llmstxt,27326.0,27326.0,18,True,2.0,,,,,,,,,,,,,
64,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2025-02-15 16:34:28.000000,2025-02-15 16:22:44,55.0,,14.0,3.0,8.0,5.0,8.0,34.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,477.0,477.0,2.0,https://pypi.org/project/markdown-callouts,134037.0,134037.0,18,True,1.0,"['callouts', 'github-callouts']",,,,,,,,,,,,
65,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-06-11 18:47:29.000000,2024-06-11 18:47:04,52.0,,1.0,3.0,,4.0,6.0,28.0,2024-06-11 18:47:46,1.1.0,2.0,MkDocs plugin to integrate your coverage HTML report into your site.,259.0,259.0,,https://pypi.org/project/mkdocs-coverage,73103.0,73103.0,18,True,2.0,,,,,,,,,,,,,
66,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2025-07-17 18:12:58.000000,2025-07-17 18:12:57,774.0,97.0,,1.0,643.0,,2.0,11.0,2025-03-23 17:26:11,0.3.1,9.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",72.0,72.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,13414.0,13414.0,18,True,2.0,,,,,,,,,,,,,
67,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2025-03-01 15:50:08.000000,2025-03-01 15:48:45,130.0,,16.0,2.0,125.0,28.0,39.0,267.0,2024-12-17 05:18:16,4.7.0,66.0,monospace theme for MkDocs.,132.0,132.0,3.0,https://pypi.org/project/mkdocs-terminal,7262.0,7262.0,17,True,1.0,,,-1.0,,,,,,,,,,
68,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12.000000,2022-09-26 12:32:12,27.0,,18.0,8.0,20.0,7.0,11.0,227.0,,,,Auto documentation for MkDocs.,896.0,896.0,7.0,https://pypi.org/project/mkautodoc,20686.0,20686.0,17,True,2.0,mkautodoc,,,,,,,,,,,,
69,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2025-04-19 10:25:08.000000,2025-04-19 10:25:08,172.0,2.0,24.0,3.0,28.0,4.0,53.0,147.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,105744.0,105744.0,17,True,2.0,,,,,,,,,,,,,
70,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-10-29 08:28:27.000000,2024-10-29 08:23:09,131.0,,12.0,6.0,11.0,34.0,31.0,115.0,2024-10-29 08:28:27,6.2.0,31.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages and/or entire..",36.0,36.0,4.0,https://pypi.org/project/mkdocs-exporter,8271.0,8271.0,17,True,2.0,,,,,,,,,,,,,
71,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2025-06-04 20:24:31.000000,2025-03-23 02:50:45,228.0,,10.0,2.0,21.0,8.0,18.0,109.0,2025-03-23 02:38:37,0.2.0,15.0,Blog Template for Mkdocs.,94.0,94.0,3.0,https://pypi.org/project/mkdocs-simple-blog,860.0,860.0,17,True,1.0,,,,,,,,,,,,,
72,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44.000000,2024-01-17 03:02:46,202.0,,15.0,3.0,12.0,1.0,13.0,101.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,142.0,142.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,3030.0,3030.0,17,True,1.0,,,,,,,,,,,,,
73,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32.000000,2019-02-20 23:33:03,3.0,,10.0,5.0,4.0,9.0,3.0,97.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2669.0,2669.0,,https://pypi.org/project/mkdocs-exclude,199051.0,199051.0,17,True,2.0,,,,,,,,,,,,,
74,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45.000000,2023-12-29 21:15:45,37.0,,34.0,6.0,19.0,1.0,15.0,91.0,,,,MkDocs Bootstrap Theme.,509.0,509.0,6.0,https://pypi.org/project/mkdocs-bootstrap,18036.0,18036.0,17,True,1.0,,,,,,,,,,,,,
75,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2024-10-22 13:38:52.000000,2024-10-22 13:38:11,71.0,,6.0,3.0,5.0,3.0,17.0,88.0,2024-10-22 13:44:12,0.0.12,12.0,Mkdocs plugin to add plots from data using vegalite.,99.0,99.0,4.0,https://pypi.org/project/mkdocs-charts-plugin,8698.0,8698.0,17,True,2.0,,,,,,,,,,,,,
76,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28.000000,2023-08-04 14:41:05,27.0,,16.0,3.0,21.0,9.0,9.0,85.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,607.0,607.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,42006.0,42006.0,17,True,2.0,,,,,,,,,,,,,
77,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2025-01-15 12:46:48.000000,2025-01-15 12:45:59,118.0,,3.0,2.0,13.0,,13.0,43.0,2025-01-15 12:46:48,1.16.0,26.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1358.0,1358.0,2.0,https://pypi.org/project/mkdocs-callouts,24654.0,24654.0,17,True,2.0,,,,,,,,,,,,,
78,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2024-11-18 13:15:30.000000,2024-11-18 13:14:53,24.0,,4.0,1.0,4.0,3.0,5.0,34.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,544.0,544.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,85702.0,85702.0,17,True,2.0,,,,,,,,,,,,,
79,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44.000000,2023-11-22 10:27:30,54.0,,10.0,21.0,12.0,3.0,3.0,29.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,123.0,123.0,5.0,https://pypi.org/project/markdown-blockdiag,2861.0,2861.0,17,True,2.0,markdown_blockdiag,,,,,,,,,,,,
80,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2025-07-07 13:58:18.993770,2025-07-07 13:56:20,468.0,14.0,6.0,1.0,268.0,,27.0,24.0,,,52.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,107.0,107.0,6.0,,,799.0,17,True,2.0,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2025-07-07 13:58:18.993770,39994.0,,,,,,
81,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2025-03-26 13:46:34.000000,2025-03-26 13:46:13,70.0,,4.0,3.0,5.0,8.0,15.0,19.0,2025-03-26 13:46:33,1.1.1,5.0,A spell checker plugin for MkDocs.,72.0,72.0,4.0,https://pypi.org/project/mkdocs-spellcheck,23650.0,23650.0,17,True,2.0,,,,,,,,,,,,,
82,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,MIT,2017-05-15 03:51:22,2022-12-09 08:16:24.000000,2022-03-11 19:50:40,79.0,,49.0,3.0,34.0,15.0,16.0,117.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,344.0,344.0,8.0,https://pypi.org/project/mkdocs-windmill,4492.0,4492.0,16,True,2.0,,,,,,,,,,,,,
83,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15.000000,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,12.0,27.0,103.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",64.0,64.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,989.0,989.0,16,True,2.0,,42.0,,,,,,,,,,,
84,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/christo-ph/mkdocs_build_plantuml,https://github.com/christo-ph/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2025-05-31 21:06:40.000000,2025-05-31 21:06:40,55.0,1.0,16.0,3.0,17.0,4.0,21.0,68.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,132.0,132.0,12.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,37305.0,37305.0,16,True,2.0,,,,,,,,christo-ph/mkdocs_build_plantuml,,,,,
85,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs_markmap,https://github.com/markmap/mkdocs_markmap,MIT,2021-01-22 15:52:32,2025-02-11 20:33:32.000000,2025-02-11 20:32:59,185.0,,6.0,6.0,41.0,1.0,30.0,65.0,2025-02-11 20:33:33,2.5.2,23.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,2713.0,2720.0,16,True,2.0,,425.0,,,,,,,,,,,
86,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-09-30 08:32:38.000000,2024-09-30 08:22:57,296.0,,16.0,4.0,33.0,30.0,44.0,49.0,2024-09-30 08:31:02,0.10.4,19.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,10.0,https://pypi.org/project/mkdocs-gallery,8248.0,8248.0,16,True,2.0,,,,,,,,,,,,,
87,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,,6.0,2.0,39.0,3.0,22.0,41.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,124.0,124.0,5.0,https://pypi.org/project/mkdocs-versioning,4181.0,4181.0,16,True,2.0,,,,,,,,,,,,,
88,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59.000000,2023-01-02 11:03:59,60.0,,7.0,3.0,6.0,,14.0,33.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,99.0,99.0,6.0,https://pypi.org/project/mkdocs-localsearch,5121.0,5121.0,16,True,1.0,,,,,,,,,,,,,
