,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
43,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51.000000,2024-08-22 08:33:30,76.0,,17.0,2.0,17.0,6.0,30.0,89.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1503.0,1503.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,84606.0,84606.0,20,True,2.0,,,,,,,,,,,,,
44,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,https://github.com/pawamoy/mkdocs-llmstxt,https://github.com/pawamoy/mkdocs-llmstxt,ISC,2025-01-14 18:14:38,2025-09-19 10:49:28.000000,2025-09-19 10:49:12,26.0,7.0,7.0,3.0,5.0,6.0,13.0,77.0,2025-09-19 10:49:28,0.3.2,5.0,MkDocs plugin to generate an /llms.txt file (https://llmstxt.org/).,76.0,76.0,3.0,https://pypi.org/project/mkdocs-llmstxt,70772.0,70772.0,20,True,1.0,,,,,,,,,,,,,
45,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,10.0,4.0,9.0,5.0,9.0,61.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2904.0,2904.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,83111.0,83111.0,20,True,2.0,,,,,,,,,,,,,
46,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00.000000,2024-09-23 14:53:56,120.0,,16.0,3.0,53.0,4.0,33.0,47.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,555.0,555.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,71702.0,71702.0,20,True,1.0,,,,,,,,,,,,,
47,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2025-09-26 22:51:45.000000,2025-09-26 22:49:30,374.0,19.0,3.0,1.0,446.0,1.0,11.0,18.0,2025-04-19 15:27:17,4.1.0,14.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1223.0,1223.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,11402.0,11402.0,20,True,2.0,,,,,,,,,,,,,
48,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2025-04-19 10:25:08.000000,2025-04-19 10:25:08,172.0,,25.0,3.0,29.0,4.0,53.0,151.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,132170.0,132170.0,19,True,2.0,,,,,,,,,,,,,
49,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2025-08-04 18:27:50.000000,2025-08-04 18:14:01,209.0,7.0,15.0,3.0,12.0,1.0,14.0,107.0,2025-08-04 18:25:05,1.0.8,8.0,Dark theme for Mkdocs.,144.0,144.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,3586.0,3586.0,19,True,1.0,,,,,,,,,,,,,
50,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31.000000,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,5.0,36.0,89.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,317.0,317.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,11883.0,11883.0,19,True,2.0,,,22.0,,,,,,,,,,
51,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2025-08-26 14:23:23.000000,2025-08-26 14:23:06,121.0,3.0,11.0,2.0,36.0,2.0,31.0,73.0,2025-08-26 14:23:24,1.4.3,11.0,Automatically link across pages in MkDocs.,,,9.0,https://pypi.org/project/mkdocs-autorefs,4147313.0,4147313.0,19,True,2.0,,,,,,,,,,,,,
52,Shadcn,shadcn,"['shadcn/search', 'shadcn/excalidraw']",,asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",theming,https://github.com/asiffer/mkdocs-shadcn,https://github.com/asiffer/mkdocs-shadcn,MIT,2025-02-02 15:16:24,2025-09-30 07:15:06.000000,2025-09-30 07:15:03,182.0,73.0,5.0,1.0,10.0,4.0,14.0,69.0,2025-09-24 08:47:08,0.9.5,24.0,Documentation that also shines.,12.0,12.0,,https://pypi.org/project/mkdocs-shadcn,2230.0,2241.0,19,True,1.0,,,88.0,,,,,,,,,,
53,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24.000000,2023-11-14 05:07:17,58.0,,5.0,1.0,32.0,,6.0,65.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",2174.0,2174.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,84106.0,84106.0,19,True,2.0,,,60.0,,,,,,,,,,
54,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39.000000,2024-04-16 19:14:48,121.0,,12.0,3.0,10.0,5.0,28.0,45.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,336.0,336.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,32390.0,32390.0,19,True,1.0,,,,,,,,,,,,,
55,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2025-08-05 12:03:21.000000,2025-08-05 12:03:03,74.0,4.0,5.0,3.0,5.0,9.0,17.0,22.0,2025-08-05 12:03:19,1.1.2,6.0,A spell checker plugin for MkDocs.,77.0,77.0,4.0,https://pypi.org/project/mkdocs-spellcheck,34057.0,34057.0,19,True,1.0,,,,,,,,,,,,,
56,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,"Blogging engine with support for categories, tags and archive.",92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
57,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,Social media sharing helper.,92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
58,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
59,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
60,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,Automatic navigation based on files metadata with URL name and publication status control.,92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
61,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,8.0,2.0,78.0,8.0,23.0,117.0,2025-07-12 12:43:24,1.4.8,20.0,Advanced console and file logger from build and serve process.,92.0,92.0,3.0,https://pypi.org/project/mkdocs-publisher,3069.0,3072.0,18,True,2.0,,,103.0,,,,,,,,,,
62,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41.000000,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,,79.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,1063.0,1063.0,5.0,https://pypi.org/project/mkdocs-video,120832.0,120833.0,18,True,2.0,,,74.0,,,,,,,,,,
63,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2025-10-01 15:02:12.000000,2025-09-29 20:55:29,743.0,2.0,10.0,2.0,877.0,,19.0,49.0,2025-06-20 15:43:32,3.2.4,46.0,Build documentation files inside your code into a MkDocs site.,58.0,58.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,23302.0,23302.0,18,True,2.0,,,,,,,,,,,,,
64,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2025-02-15 16:34:28.000000,2025-02-15 16:22:44,55.0,,14.0,3.0,8.0,5.0,8.0,35.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,515.0,515.0,2.0,https://pypi.org/project/markdown-callouts,80370.0,80370.0,18,True,1.0,,"['callouts', 'github-callouts']",,,,,,,,,,,
65,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2025-09-11 12:14:09.000000,2025-09-11 12:13:54,59.0,7.0,1.0,3.0,1.0,4.0,6.0,29.0,2025-09-11 12:14:10,2.0.0,4.0,MkDocs plugin to integrate your coverage HTML report into your site.,263.0,263.0,2.0,https://pypi.org/project/mkdocs-coverage,59469.0,59469.0,18,True,2.0,,,,,,,,,,,,,
66,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2025-09-27 21:12:55.000000,2025-09-27 21:12:55,879.0,115.0,,1.0,734.0,,2.0,11.0,2025-07-29 19:29:51,0.3.4,12.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",72.0,72.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,18721.0,18721.0,18,True,2.0,,,,,,,,,,,,,
67,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2025-09-08 04:15:39.000000,2025-08-18 00:37:41,131.0,1.0,18.0,2.0,129.0,29.0,39.0,277.0,2024-12-17 05:18:16,4.7.0,66.0,monospace theme for MkDocs.,134.0,134.0,3.0,https://pypi.org/project/mkdocs-terminal,3034.0,3034.0,17,True,2.0,,,,,,,,,,,,,
68,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-10-29 08:28:27.000000,2024-10-29 08:23:09,131.0,,14.0,6.0,11.0,37.0,31.0,121.0,2024-10-29 08:28:27,6.2.0,31.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages and/or entire..",38.0,38.0,4.0,https://pypi.org/project/mkdocs-exporter,22709.0,22709.0,17,True,2.0,,,,,,,,,,,,,
69,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2025-08-05 01:32:11.000000,2025-03-23 02:50:45,228.0,,13.0,2.0,21.0,8.0,18.0,116.0,2025-03-23 02:38:37,0.2.0,15.0,Blog Template for Mkdocs.,95.0,95.0,3.0,https://pypi.org/project/mkdocs-simple-blog,1206.0,1206.0,17,True,2.0,,,,,,,,,,,,,
70,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32.000000,2019-02-20 23:33:03,3.0,,10.0,5.0,4.0,9.0,3.0,98.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2739.0,2739.0,,https://pypi.org/project/mkdocs-exclude,275462.0,275462.0,17,True,2.0,,,,,,,,,,,,,
71,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45.000000,2023-12-29 21:15:45,37.0,,34.0,6.0,19.0,1.0,15.0,92.0,,,,MkDocs Bootstrap Theme.,511.0,511.0,6.0,https://pypi.org/project/mkdocs-bootstrap,15187.0,15187.0,17,True,2.0,,,,,,,,,,,,,
72,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28.000000,2023-08-04 14:41:05,27.0,,16.0,3.0,21.0,9.0,9.0,87.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,621.0,621.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,47796.0,47796.0,17,True,2.0,,,,,,,,,,,,,
73,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2025-01-15 12:46:48.000000,2025-01-15 12:45:59,118.0,,3.0,2.0,13.0,,13.0,48.0,2025-01-15 12:46:48,1.16.0,26.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1367.0,1367.0,2.0,https://pypi.org/project/mkdocs-callouts,25336.0,25336.0,17,True,2.0,,,,,,,,,,,,,
74,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2024-11-18 13:15:30.000000,2024-11-18 13:14:53,24.0,,5.0,1.0,5.0,4.0,5.0,39.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,579.0,579.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,236769.0,236769.0,17,True,2.0,,,,,,,,,,,,,
75,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44.000000,2023-11-22 10:27:30,54.0,,10.0,21.0,12.0,3.0,3.0,29.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,126.0,126.0,5.0,https://pypi.org/project/markdown-blockdiag,3267.0,3267.0,17,True,2.0,,markdown_blockdiag,,,,,,,,,,,
76,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2025-10-01 08:18:04.544460,2025-09-22 08:13:51,479.0,14.0,6.0,1.0,275.0,,27.0,26.0,,,52.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,107.0,107.0,6.0,,,785.0,17,True,2.0,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2025-10-01 08:18:04.544460,41625.0,,,,,,
77,document-dates,,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,https://github.com/jaywhj/mkdocs-document-dates,https://github.com/jaywhj/mkdocs-document-dates,MIT,2025-02-15 03:19:30,2025-09-26 02:34:52.000000,2025-09-16 14:37:50,330.0,176.0,4.0,2.0,3.0,3.0,10.0,20.0,2025-09-26 03:17:07,3.4.1,14.0,"A new generation MkDocs plugin for displaying exact creation time, last update time, authors, email of documents.",7.0,7.0,3.0,https://pypi.org/project/mkdocs-document-dates,1749.0,1749.0,17,True,2.0,,,,,,,,,,,,,
78,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2025-07-25 12:40:23.000000,2025-07-25 12:38:49,82.0,11.0,10.0,3.0,13.0,3.0,5.0,129.0,2025-07-25 12:40:23,0.2.5,5.0,Run pytest against markdown files/docstrings.,,,6.0,https://pypi.org/project/mktestdocs,30132.0,30132.0,16,True,2.0,,,,,,,,,,,,,
79,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,MIT,2017-05-15 03:51:22,2022-12-09 08:16:24.000000,2022-03-11 19:50:40,79.0,,50.0,4.0,34.0,15.0,16.0,119.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,348.0,348.0,8.0,https://pypi.org/project/mkdocs-windmill,5286.0,5286.0,16,True,2.0,,,,,,,,,,,,,
80,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15.000000,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,12.0,27.0,104.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",65.0,65.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,506.0,506.0,16,True,2.0,,,44.0,,,,,,,,,,
81,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2025-09-02 09:51:07.000000,2025-09-02 09:50:24,74.0,3.0,6.0,3.0,6.0,3.0,17.0,89.0,2025-09-02 09:51:44,0.0.13,13.0,Mkdocs plugin to add plots from data using vegalite.,,,5.0,https://pypi.org/project/mkdocs-charts-plugin,14912.0,14912.0,16,True,2.0,,,,,,,,,,,,,
82,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/christo-ph/mkdocs_build_plantuml,https://github.com/christo-ph/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2025-05-31 21:06:40.000000,2025-05-31 21:06:40,55.0,,16.0,3.0,17.0,4.0,21.0,69.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,135.0,135.0,12.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,50450.0,50450.0,16,True,2.0,,,,,,,,christo-ph/mkdocs_build_plantuml,,,,,
83,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-09-30 08:32:38.000000,2024-09-30 08:22:57,296.0,,16.0,4.0,33.0,31.0,44.0,48.0,2024-09-30 08:31:02,0.10.4,19.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,10.0,https://pypi.org/project/mkdocs-gallery,19278.0,19278.0,16,True,2.0,,,,,,,,,,,,,
84,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,,6.0,2.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,127.0,127.0,5.0,https://pypi.org/project/mkdocs-versioning,3973.0,3973.0,16,True,2.0,,,,,,,,,,,,,
85,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59.000000,2023-01-02 11:03:59,60.0,,7.0,3.0,6.0,,14.0,33.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,100.0,100.0,6.0,https://pypi.org/project/mkdocs-localsearch,4988.0,4988.0,16,True,1.0,,,,,,,,,,,,,
86,mkdocs-api-autonav,,api-autonav,,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,https://github.com/tlambert03/mkdocs-api-autonav,https://github.com/tlambert03/mkdocs-api-autonav,BSD-3-Clause,2025-01-30 14:12:54,2025-09-27 19:18:46.000000,2025-09-27 19:18:46,37.0,9.0,1.0,1.0,17.0,2.0,12.0,27.0,2025-09-09 12:42:04,0.4.0,10.0,MkDocs plugin for autogenerating API docs with navigation.,83.0,83.0,2.0,https://pypi.org/project/mkdocs-api-autonav,59067.0,59071.0,16,True,2.0,,,43.0,,,,,,,,,,
87,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2025-09-09 14:41:21.000000,2025-08-15 02:37:21,102.0,1.0,4.0,3.0,34.0,3.0,7.0,27.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,95.0,95.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1801.0,1801.0,16,True,2.0,,full_yaml_metadata,,,,,,,,,,,
88,mkdocs-site-urls,,site-urls,,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],links-refs,https://github.com/OctoPrint/mkdocs-site-urls,https://github.com/OctoPrint/mkdocs-site-urls,MIT,2023-07-28 11:55:04,2025-09-04 08:47:38.000000,2025-09-04 08:47:38,26.0,4.0,3.0,2.0,1.0,1.0,3.0,18.0,2025-09-04 08:39:24,0.3.1,4.0,A MkDocs plugin that adds support for site-relative `site:` URLs.,58.0,58.0,2.0,https://pypi.org/project/mkdocs-site-urls,15824.0,15824.0,16,True,2.0,,,,,,,,,,,,,
