,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,bitbucket_id
43,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,58.0,7.0,37.0,3.0,30.0,142.0,,,,MkDocs Bootswatch Themes.,1120.0,1120.0,10.0,https://pypi.org/project/mkdocs-bootswatch,18087.0,18087.0,19,True,1.0,,,,,,,,,,,
44,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2024-08-05 20:46:30.000000,2024-07-17 09:38:40,297.0,11.0,3.0,1.0,349.0,1.0,10.0,17.0,2023-12-06 16:30:51,3.0.0,12.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1105.0,1105.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,6894.0,6894.0,19,True,2.0,,,,,,,,,,,
45,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2024-02-01 19:00:55.000000,2024-02-01 18:59:52,41.0,,9.0,1.0,24.0,17.0,21.0,115.0,2024-02-01 18:42:55,1.0.5,18.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,232.0,232.0,10.0,https://pypi.org/project/neoteroi-mkdocs,40698.0,40736.0,18,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,1072.0,,,,,,,,
46,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2024-02-24 11:51:04.000000,2024-02-11 18:36:37,73.0,,15.0,13.0,48.0,15.0,15.0,109.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,520.0,520.0,13.0,https://pypi.org/project/mkdocs-click,39901.0,39901.0,18,True,2.0,mkdocs-click,,,,,,,,,,
47,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2024-07-15 09:46:44.000000,2024-07-15 09:46:44,60.0,10.0,7.0,3.0,9.0,2.0,2.0,105.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,59.0,59.0,4.0,https://pypi.org/project/mktestdocs,15815.0,15815.0,18,True,1.0,,,,,,,,,,,
48,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24.000000,2023-11-14 05:07:17,58.0,,5.0,2.0,32.0,,6.0,56.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1686.0,1686.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,44040.0,44040.0,18,True,2.0,,,43.0,,,,,,,,
49,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2024-07-24 08:38:30.000000,2024-07-24 08:38:29,57.0,10.0,7.0,4.0,33.0,5.0,12.0,46.0,2024-02-29 15:51:36,1.0.1,3.0,Automatically link across pages in MkDocs.,,,8.0,https://pypi.org/project/mkdocs-autorefs,1214386.0,1214386.0,18,True,2.0,,,,,,,,,,,
50,mkdocstrings-crystal,,,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,https://github.com/mkdocstrings/crystal,https://github.com/mkdocstrings/crystal,MIT,2020-10-13 20:07:35,2024-02-11 18:52:45.000000,2024-02-03 21:50:40,156.0,,3.0,5.0,4.0,3.0,1.0,28.0,2022-05-02 23:04:11,0.3.5,3.0,Crystal language doc generator for https://github.com/mkdocstrings/mkdocstrings.,657.0,657.0,3.0,https://pypi.org/project/mkdocstrings-crystal,10550.0,10550.0,18,True,2.0,,,,,,,,,,,
51,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2024-02-11 18:55:19.000000,2024-02-03 21:52:56,50.0,,12.0,4.0,7.0,3.0,8.0,27.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,263.0,263.0,,https://pypi.org/project/markdown-callouts,41072.0,41072.0,18,True,1.0,"['callouts', 'github-callouts']",,,,,,,,,,
52,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-06-11 18:47:29.000000,2024-06-11 18:47:04,52.0,5.0,1.0,3.0,,5.0,5.0,20.0,2024-06-11 18:47:46,1.1.0,2.0,MkDocs plugin to integrate your coverage HTML report into your site.,208.0,208.0,,https://pypi.org/project/mkdocs-coverage,19990.0,19990.0,18,True,1.0,,,,,,,,,,,
53,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15.000000,2021-08-11 13:02:40,109.0,,30.0,10.0,23.0,12.0,27.0,102.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",57.0,57.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,1655.0,1655.0,17,True,2.0,,,36.0,,,,,,,,
54,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2024-04-07 22:27:35.000000,2024-04-03 12:11:56,492.0,,17.0,2.0,34.0,22.0,67.0,95.0,2024-02-11 23:26:21,2.1.0,25.0,A plugin for MkDocs to generate API documentation.,187.0,187.0,5.0,https://pypi.org/project/mkapi,3170.0,3170.0,17,True,2.0,,,,,,,,,,,
55,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2024-08-07 23:01:15.000000,2023-04-15 19:03:27,91.0,,2.0,2.0,87.0,27.0,31.0,91.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,76.0,76.0,,https://pypi.org/project/mkdocs-terminal,10011.0,10011.0,17,True,2.0,,1.0,,,,,,,,,
56,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32.000000,2019-02-20 23:33:03,3.0,,10.0,7.0,4.0,9.0,3.0,85.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2025.0,2025.0,,https://pypi.org/project/mkdocs-exclude,172132.0,172132.0,17,True,2.0,,,,,,,,,,,
57,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31.000000,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,5.0,36.0,84.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,190.0,190.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,6960.0,6960.0,17,True,2.0,,,14.0,,,,,,,,
58,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45.000000,2023-12-29 21:15:45,37.0,,37.0,7.0,19.0,1.0,15.0,81.0,,,,MkDocs Bootstrap Theme.,466.0,466.0,6.0,https://pypi.org/project/mkdocs-bootstrap,23953.0,23953.0,17,True,2.0,,,,,,,,,,,
59,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28.000000,2023-08-04 14:41:05,27.0,,16.0,4.0,21.0,8.0,9.0,79.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,416.0,416.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,27024.0,27024.0,17,True,2.0,,,,,,,,,,,
60,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2024-05-27 14:46:47.000000,2024-05-01 13:29:48,80.0,,7.0,1.0,4.0,5.0,17.0,74.0,2024-05-01 07:44:32,0.6.10,24.0,A MkDocs plugin supports adding Swagger UI to the page.,170.0,170.0,3.0,https://pypi.org/project/mkdocs-swagger-ui-tag,41699.0,41700.0,17,True,2.0,,,35.0,,,,,,,,
61,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44.000000,2024-01-17 03:02:46,202.0,,9.0,3.0,12.0,1.0,13.0,67.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,92.0,92.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,1597.0,1597.0,17,True,2.0,,,,,,,,,,,
62,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2024-07-20 06:36:51.000000,2024-03-25 13:35:19,54.0,,16.0,3.0,17.0,2.0,21.0,58.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,111.0,111.0,11.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,45396.0,45396.0,17,True,2.0,,,,,,,,,,,
63,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,79.0,79.0,5.0,https://pypi.org/project/mkdocs-versioning,3443.0,3443.0,17,True,2.0,,,,,,,,,,,
64,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44.000000,2023-11-22 10:27:30,54.0,,9.0,24.0,12.0,3.0,3.0,27.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,106.0,106.0,5.0,https://pypi.org/project/markdown-blockdiag,3486.0,3486.0,17,True,2.0,markdown_blockdiag,,,,,,,,,,
65,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-12-04 02:34:50.000000,2023-12-04 02:34:50,136.0,,2.0,3.0,30.0,,17.0,27.0,2023-11-20 18:24:40,0.6.6,18.0,A mkdocs plugin that excludes selected chapters from the docs search index.,393.0,393.0,6.0,https://pypi.org/project/mkdocs-exclude-search,18987.0,18987.0,17,True,1.0,,,10.0,,,,,,,,
66,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2024-03-05 11:47:07.000000,2024-03-05 11:44:08,95.0,,1.0,2.0,7.0,,7.0,25.0,2024-03-05 11:47:07,1.13.2,22.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1151.0,1151.0,2.0,https://pypi.org/project/mkdocs-callouts,12422.0,12422.0,17,True,1.0,,,,,,,,,,,
67,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2024-08-06 09:28:29.926275,2024-08-06 09:26:17,407.0,20.0,6.0,3.0,206.0,1.0,26.0,18.0,,,50.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,59.0,59.0,4.0,,,465.0,17,True,2.0,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2024-08-06 09:28:29.926275,18167.0,,,,
68,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2024-08-08 02:43:50.000000,2024-08-08 02:43:49,337.0,67.0,,1.0,287.0,,,6.0,2024-05-18 08:47:32,0.2.2,4.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",17.0,17.0,3.0,https://pypi.org/project/mkdocs-minify-html-plugin,5894.0,5894.0,17,True,2.0,,,,,,,,,,,
69,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12.000000,2022-09-26 12:32:12,27.0,,15.0,8.0,17.0,7.0,11.0,213.0,,,,Auto documentation for MkDocs.,816.0,816.0,7.0,https://pypi.org/project/mkautodoc,17444.0,17444.0,16,True,3.0,mkautodoc,,,,,,,,,,
70,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2024-03-25 13:35:22.000000,2023-09-25 17:41:37,60.0,,6.0,4.0,4.0,4.0,16.0,78.0,2023-08-28 07:57:05,0.0.10,10.0,Mkdocs plugin to add vegalite charts to your pages.,67.0,67.0,3.0,https://pypi.org/project/mkdocs-charts-plugin,7745.0,7745.0,16,True,2.0,,,,,,,,,,,
71,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-08-01 17:42:07.000000,2024-08-01 17:42:06,124.0,21.0,2.0,6.0,4.0,5.0,24.0,67.0,2024-07-23 19:46:48,6.1.1,30.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages or entire..",6.0,6.0,2.0,https://pypi.org/project/mkdocs-exporter,2310.0,2310.0,16,True,2.0,,,,,,,,,,,
72,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41.000000,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,,66.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,720.0,720.0,5.0,https://pypi.org/project/mkdocs-video,52087.0,52088.0,16,True,2.0,,,52.0,,,,,,,,
73,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,"Blogging engine with support for categories, tags and archive.",57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
74,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,Social media sharing helper.,57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
75,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
76,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
77,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,Automatic navigation based on files metadata with URL name and publication status control.,57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
78,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-08-02 21:09:32.000000,2024-08-02 20:57:56,47.0,6.0,1.0,3.0,63.0,8.0,11.0,48.0,2024-08-02 21:01:25,1.4.1,13.0,Advanced console and file logger from build and serve process.,57.0,57.0,2.0,https://pypi.org/project/mkdocs-publisher,1482.0,1483.0,16,True,2.0,,,32.0,,,,,,,,
79,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2024-01-05 18:52:40.000000,2023-11-06 17:12:40,42.0,,7.0,5.0,10.0,8.0,,39.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,210.0,210.0,6.0,https://pypi.org/project/mkdocs-git-committers-plugin,32325.0,32325.0,16,True,3.0,,,,,,,,['mkdocs_plugin'],,,
80,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-03-15 17:15:53.000000,2024-03-15 16:42:30,262.0,,14.0,4.0,30.0,26.0,39.0,35.0,2024-03-15 16:48:59,0.10.1,16.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,9.0,https://pypi.org/project/mkdocs-gallery,6685.0,6685.0,16,True,2.0,,,,,,,,,,,
81,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59.000000,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,32.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,82.0,82.0,6.0,https://pypi.org/project/mkdocs-localsearch,4864.0,4864.0,16,True,2.0,,,,,,,,,,,
82,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2024-05-06 13:17:58.000000,2024-05-06 13:17:26,59.0,,3.0,2.0,5.0,8.0,10.0,16.0,2024-05-06 13:17:44,1.1.0,4.0,A spell checker plugin for MkDocs.,45.0,45.0,4.0,https://pypi.org/project/mkdocs-spellcheck,12828.0,12828.0,16,True,2.0,,,,,,,,,,,
83,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00.000000,2023-03-01 19:54:31,50.0,,6.0,3.0,22.0,5.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,127.0,127.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,15560.0,15560.0,16,True,2.0,,,,,,,,,,,
84,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05.000000,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,120.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,85312.0,85312.0,15,True,2.0,mdx_math,,,,,,,,,,
85,Torillic,torillic,,,TEParsons/torillic,mkdocs-torillic,['theme'],theming,https://github.com/TEParsons/torillic,https://github.com/TEParsons/torillic,CC0-1.0,2020-12-12 15:08:51,2024-06-02 18:41:31.000000,2024-06-02 18:41:02,141.0,15.0,91.0,3.0,2.0,,10.0,95.0,2024-04-01 13:27:25,2.2.0,7.0,A D&D inspired theme for styling TTRPG notes and resources.,,,4.0,https://pypi.org/project/mkdocs-torillic,100.0,282.0,15,True,2.0,,,7132.0,,,,,,,,
86,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52.000000,2022-07-19 13:42:01,54.0,,10.0,4.0,6.0,7.0,8.0,81.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx-truly-sane-lists,588473.0,588473.0,15,True,2.0,mdx_truly_sane_lists,,,,,,,,,,
87,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2024-05-26 19:23:40.000000,2024-05-26 19:23:25,88.0,6.0,12.0,3.0,15.0,3.0,12.0,71.0,2024-05-26 19:20:40,0.1.2,6.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,8.0,https://pypi.org/project/mkdocs-render-swagger-plugin,53077.0,53077.0,15,True,3.0,,,4.0,,,,,,,,
88,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2024-04-08 00:22:17.000000,2024-01-28 18:49:04,165.0,,5.0,2.0,14.0,9.0,10.0,69.0,2023-08-20 23:11:16,0.0.9,9.0,Blog Template for Mkdocs.,66.0,66.0,3.0,https://pypi.org/project/mkdocs-simple-blog,541.0,541.0,15,True,2.0,,,,,,,,,,,
89,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-10-05 16:20:06.000000,2023-10-05 16:19:24,182.0,,5.0,5.0,34.0,2.0,24.0,44.0,2023-10-05 16:20:06,2.4.3,20.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,1670.0,1675.0,15,True,2.0,,,232.0,,,,,,,,
