,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,open_issue_count,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
43,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51,2024-08-22 08:33:30,76.0,,17.0,2.0,17.0,30.0,88.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1446.0,1446.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,100689.0,100689.0,20,True,2.0,6.0,,,,,,,,,,,,,
44,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,10.0,4.0,9.0,9.0,60.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2830.0,2830.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,82184.0,82184.0,20,True,2.0,5.0,,,,,,,,,,,,,
45,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-10-26 18:43:46,2024-07-28 20:33:58,154.0,,27.0,3.0,41.0,34.0,55.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,64.0,64.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,38903.0,38903.0,20,True,2.0,7.0,,,,,,,,,,,,,
46,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2025-05-29 15:34:30,2025-05-22 19:21:28,736.0,17.0,10.0,2.0,846.0,19.0,46.0,2025-04-15 18:09:35,3.2.3,45.0,Build documentation files inside your code into a MkDocs site.,58.0,58.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,23365.0,23365.0,20,True,2.0,,,,,,,,,,,,,,
47,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,https://github.com/PLAYG0N/mkdocs-panzoom,https://github.com/PLAYG0N/mkdocs-panzoom,MIT,2024-08-21 18:53:29,2025-05-16 17:20:22,2025-05-16 17:17:48,89.0,18.0,1.0,4.0,6.0,18.0,37.0,2025-05-16 17:19:45,0.2.2,20.0,MkDocs Plugin to enable pan & zoom on images and mermaid/d2 diagrams.,22.0,22.0,4.0,https://pypi.org/project/mkdocs-panzoom-plugin,469236.0,469239.0,20,True,2.0,2.0,,,34.0,,,,,,,,,,
48,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2025-04-19 10:25:08,2025-04-19 10:25:08,172.0,5.0,23.0,3.0,27.0,52.0,144.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,96778.0,96778.0,19,True,2.0,3.0,,,,,,,,,,,,,
49,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2025-06-04 20:24:31,2025-03-23 02:50:45,228.0,18.0,8.0,2.0,21.0,18.0,105.0,2025-03-23 02:38:37,0.2.0,15.0,Blog Template for Mkdocs.,92.0,92.0,3.0,https://pypi.org/project/mkdocs-simple-blog,1180.0,1180.0,19,True,1.0,8.0,,,,,,,,,,,,,
50,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,36.0,88.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,313.0,313.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,9710.0,9710.0,19,True,2.0,5.0,,,22.0,,,,,,,,,,
51,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24,2023-11-14 05:07:17,58.0,,5.0,1.0,32.0,6.0,64.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",2127.0,2127.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,83845.0,83845.0,19,True,2.0,,,,60.0,,,,,,,,,,
52,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39,2024-04-16 19:14:48,121.0,,11.0,3.0,10.0,28.0,45.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,322.0,322.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,25623.0,25623.0,19,True,1.0,5.0,,,,,,,,,,,,,
53,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00,2024-09-23 14:53:56,120.0,,16.0,3.0,53.0,33.0,45.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,500.0,500.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,43061.0,43061.0,19,True,1.0,3.0,,,,,,,,,,,,,
54,mkdocstrings-crystal,,,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,https://github.com/mkdocstrings/crystal,https://github.com/mkdocstrings/crystal,MIT,2020-10-13 20:07:35,2025-02-15 16:34:01,2025-02-15 16:23:38,160.0,,3.0,4.0,5.0,1.0,30.0,2022-05-02 23:04:11,0.3.5,3.0,Crystal language doc generator for https://github.com/mkdocstrings/mkdocstrings.,955.0,955.0,3.0,https://pypi.org/project/mkdocstrings-crystal,13038.0,13038.0,19,True,2.0,4.0,,,,,,,,,,,,,
55,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,76.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,1014.0,1014.0,5.0,https://pypi.org/project/mkdocs-video,89253.0,89254.0,18,True,2.0,,,,72.0,,,,,,,,,,
56,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2025-05-20 13:09:43,2025-05-20 13:07:56,118.0,9.0,11.0,2.0,36.0,30.0,67.0,2025-05-20 13:08:13,1.4.2,10.0,Automatically link across pages in MkDocs.,,,9.0,https://pypi.org/project/mkdocs-autorefs,2935782.0,2935782.0,18,True,2.0,1.0,,,,,,,,,,,,,
57,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2025-02-15 16:34:28,2025-02-15 16:22:44,55.0,,14.0,3.0,8.0,8.0,33.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,451.0,451.0,2.0,https://pypi.org/project/markdown-callouts,86715.0,86715.0,18,True,1.0,4.0,"['callouts', 'github-callouts']",,,,,,,,,,,,
58,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2025-06-02 19:13:38,2025-06-02 19:13:37,726.0,101.0,,1.0,596.0,2.0,11.0,2025-03-23 17:26:11,0.3.1,9.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",70.0,70.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,15212.0,15212.0,18,True,2.0,,,,,,,,,,,,,,
59,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2025-03-01 15:50:08,2025-03-01 15:48:45,130.0,,17.0,2.0,125.0,39.0,262.0,2024-12-17 05:18:16,4.7.0,66.0,monospace theme for MkDocs.,130.0,130.0,3.0,https://pypi.org/project/mkdocs-terminal,6912.0,6912.0,17,True,2.0,28.0,,,,,,,,,,,,,
60,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2024-10-24 12:47:35,2024-10-24 12:47:33,71.0,,9.0,3.0,12.0,5.0,120.0,2024-09-30 15:17:22,0.2.3,4.0,Run pytest against markdown files/docstrings.,72.0,72.0,5.0,https://pypi.org/project/mktestdocs,25971.0,25971.0,17,True,1.0,3.0,,,,,,,,,,,,,
61,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,27.0,103.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",64.0,64.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,1837.0,1837.0,17,True,2.0,12.0,,,42.0,,,,,,,,,,
62,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,"Blogging engine with support for categories, tags and archive.",87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,2.0,6.0,,,82.0,,,,,,,,,,
63,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,Social media sharing helper.,87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,2.0,6.0,,,82.0,,,,,,,,,,
64,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,2.0,6.0,,,82.0,,,,,,,,,,
65,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,1.0,6.0,,,82.0,,,,,,,,,,
66,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,Automatic navigation based on files metadata with URL name and publication status control.,87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,2.0,6.0,,,82.0,,,,,,,,,,
67,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-06-03 20:09:33,2025-04-09 16:06:43,59.0,1.0,7.0,2.0,77.0,22.0,96.0,2025-04-09 16:14:03,1.4.7,19.0,Advanced console and file logger from build and serve process.,87.0,87.0,3.0,https://pypi.org/project/mkdocs-publisher,3166.0,3168.0,17,True,2.0,6.0,,,82.0,,,,,,,,,,
68,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44,2024-01-17 03:02:46,202.0,,13.0,3.0,12.0,13.0,93.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,140.0,140.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,3153.0,3153.0,17,True,2.0,1.0,,,,,,,,,,,,,
69,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,10.0,5.0,4.0,3.0,93.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2611.0,2611.0,,https://pypi.org/project/mkdocs-exclude,187484.0,187484.0,17,True,2.0,9.0,,,,,,,,,,,,,
70,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45,2023-12-29 21:15:45,37.0,,34.0,6.0,19.0,15.0,91.0,,,,MkDocs Bootstrap Theme.,505.0,505.0,6.0,https://pypi.org/project/mkdocs-bootstrap,19587.0,19587.0,17,True,2.0,1.0,,,,,,,,,,,,,
71,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2024-10-22 13:38:52,2024-10-22 13:38:11,71.0,,6.0,3.0,5.0,17.0,88.0,2024-10-22 13:44:12,0.0.12,12.0,Mkdocs plugin to add plots from data using vegalite.,95.0,95.0,4.0,https://pypi.org/project/mkdocs-charts-plugin,12961.0,12961.0,17,True,2.0,3.0,,,,,,,,,,,,,
72,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28,2023-08-04 14:41:05,27.0,,16.0,3.0,21.0,9.0,84.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,605.0,605.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,41623.0,41623.0,17,True,2.0,9.0,,,,,,,,,,,,,
73,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2025-01-15 12:46:48,2025-01-15 12:45:59,118.0,,2.0,2.0,13.0,13.0,43.0,2025-01-15 12:46:48,1.16.0,26.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1347.0,1347.0,2.0,https://pypi.org/project/mkdocs-callouts,20704.0,20704.0,17,True,2.0,,,,,,,,,,,,,,
74,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2024-11-18 13:15:30,2024-11-18 13:14:53,24.0,,4.0,1.0,4.0,5.0,33.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,529.0,529.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,73114.0,73114.0,17,True,2.0,3.0,,,,,,,,,,,,,
75,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44,2023-11-22 10:27:30,54.0,,10.0,22.0,12.0,3.0,29.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,119.0,119.0,5.0,https://pypi.org/project/markdown-blockdiag,2616.0,2616.0,17,True,2.0,3.0,markdown_blockdiag,,,,,,,,,,,,
76,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-06-11 18:47:29,2024-06-11 18:47:04,52.0,,1.0,3.0,,6.0,27.0,2024-06-11 18:47:46,1.1.0,2.0,MkDocs plugin to integrate your coverage HTML report into your site.,257.0,257.0,,https://pypi.org/project/mkdocs-coverage,41141.0,41141.0,17,True,1.0,4.0,,,,,,,,,,,,,
77,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2025-06-02 09:25:14,2025-05-19 09:11:43,458.0,17.0,5.0,1.0,264.0,27.0,23.0,,,52.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,107.0,107.0,4.0,,,802.0,17,True,2.0,,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2025-06-01 08:16:25.157188,39301.0,,,,,,
78,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2025-03-26 13:46:34,2025-03-26 13:46:13,70.0,8.0,4.0,3.0,5.0,15.0,19.0,2025-03-26 13:46:33,1.1.1,5.0,A spell checker plugin for MkDocs.,72.0,72.0,4.0,https://pypi.org/project/mkdocs-spellcheck,21143.0,21143.0,17,True,1.0,7.0,,,,,,,,,,,,,
79,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,18.0,8.0,20.0,11.0,226.0,,,,Auto documentation for MkDocs.,885.0,885.0,7.0,https://pypi.org/project/mkautodoc,7706.0,7706.0,16,True,2.0,7.0,mkautodoc,,,,,,,,,,,,
80,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,MIT,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,49.0,3.0,34.0,16.0,114.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,340.0,340.0,8.0,https://pypi.org/project/mkdocs-windmill,3820.0,3820.0,16,True,2.0,15.0,,,,,,,,,,,,,
81,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-10-29 08:28:27,2024-10-29 08:23:09,131.0,,10.0,6.0,10.0,30.0,106.0,2024-10-29 08:28:27,6.2.0,31.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages and/or entire..",34.0,34.0,4.0,https://pypi.org/project/mkdocs-exporter,7749.0,7749.0,16,True,2.0,34.0,,,,,,,,,,,,,
82,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/christo-ph/mkdocs_build_plantuml,https://github.com/christo-ph/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2025-05-31 21:06:40,2025-05-31 21:06:40,55.0,1.0,16.0,3.0,17.0,21.0,67.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,130.0,130.0,12.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,40773.0,40773.0,16,True,2.0,4.0,,,,,,,,christo-ph/mkdocs_build_plantuml,,,,,
83,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs_markmap,https://github.com/markmap/mkdocs_markmap,MIT,2021-01-22 15:52:32,2025-02-11 20:33:32,2025-02-11 20:32:59,185.0,,6.0,6.0,41.0,30.0,64.0,2025-02-11 20:33:33,2.5.2,23.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,2584.0,2591.0,16,True,2.0,1.0,,,411.0,,,,,,,,,,
84,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,https://github.com/MikhailKravets/mkdocs_puml,https://github.com/MikhailKravets/mkdocs_puml,MIT,2022-09-11 16:37:25,2025-04-17 07:27:36,2025-04-17 07:27:35,416.0,1.0,12.0,5.0,66.0,23.0,53.0,2024-10-25 11:13:12,2.3.0,20.0,Inline PlantUML diagrams in your MkDocs documentation.,,,7.0,https://pypi.org/project/mkdocs-puml,29412.0,29412.0,16,True,2.0,8.0,,,,,,,,,,,,,
85,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-09-30 08:32:38,2024-09-30 08:22:57,296.0,,16.0,4.0,33.0,44.0,49.0,2024-09-30 08:31:02,0.10.4,19.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,10.0,https://pypi.org/project/mkdocs-gallery,9262.0,9262.0,16,True,2.0,30.0,,1.0,,,,,,,,,,,
86,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,2.0,39.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,122.0,122.0,5.0,https://pypi.org/project/mkdocs-versioning,4976.0,4976.0,16,True,2.0,3.0,,,,,,,,,,,,,
87,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,3.0,6.0,14.0,33.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,98.0,98.0,6.0,https://pypi.org/project/mkdocs-localsearch,5204.0,5204.0,16,True,1.0,,,,,,,,,,,,,,
88,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-12-04 02:34:50,2023-12-04 02:34:50,136.0,,2.0,2.0,30.0,17.0,29.0,2023-11-20 18:24:40,0.6.6,18.0,A mkdocs plugin that excludes selected chapters from the docs search index.,532.0,532.0,6.0,https://pypi.org/project/mkdocs-exclude-search,32689.0,32689.0,16,True,1.0,,,,16.0,,,,,,,,,,
89,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2025-01-29 04:55:38,2024-07-03 23:00:01,101.0,,4.0,3.0,31.0,7.0,25.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,92.0,92.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1999.0,1999.0,16,True,2.0,3.0,full_yaml_metadata,,,,,,,,,,,,
