,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,new_addition,gitlab_id,gitlab_url,bitbucket_id
43,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2024-04-22 20:37:52,2024-04-19 22:54:44,282.0,19.0,3.0,1.0,325.0,1.0,10.0,15.0,2023-12-06 16:30:51,3.0.0,12.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1072.0,1072.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,6614.0,6614.0,20,True,2.0,,,,,,,,,,,,
44,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2024-02-01 19:00:55,2024-02-01 18:59:52,41.0,4.0,9.0,1.0,24.0,14.0,21.0,111.0,2024-02-01 18:42:55,1.0.5,18.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,164.0,164.0,10.0,https://pypi.org/project/neoteroi-mkdocs,48365.0,48406.0,19,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,999.0,,,,,,,,,
45,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2024-02-24 11:51:04,2024-02-11 18:36:37,73.0,3.0,15.0,13.0,48.0,14.0,15.0,102.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,406.0,406.0,13.0,https://pypi.org/project/mkdocs-click,48220.0,48220.0,19,True,2.0,mkdocs-click,,,,,,,,,,,
46,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2024-02-11 18:55:19,2024-02-03 21:52:56,50.0,1.0,12.0,4.0,7.0,3.0,8.0,22.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,202.0,202.0,,https://pypi.org/project/markdown-callouts,24975.0,24975.0,19,True,1.0,"['callouts', 'github-callouts']",-1.0,,,,,,,,,,
47,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28,2023-08-04 14:41:05,27.0,,16.0,4.0,21.0,8.0,9.0,75.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,386.0,386.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,54631.0,54631.0,18,True,2.0,,,,,,,,,,,,
48,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2024-03-25 15:29:41,2024-03-25 15:29:26,77.0,9.0,6.0,1.0,3.0,10.0,11.0,65.0,2024-03-25 15:30:24,0.6.9,23.0,A MkDocs plugin supports adding Swagger UI to the page.,129.0,129.0,3.0,https://pypi.org/project/mkdocs-swagger-ui-tag,30797.0,30798.0,18,True,1.0,,-1.0,27.0,,,,,,,,,
49,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44,2024-01-17 03:02:46,202.0,,7.0,3.0,12.0,,13.0,59.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,77.0,77.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,2095.0,2095.0,18,True,2.0,,,,,,,,,,,,
50,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24,2023-11-14 05:07:17,58.0,,4.0,2.0,32.0,,6.0,56.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1501.0,1501.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,42927.0,42927.0,18,True,2.0,,,32.0,,,,,,,,,
51,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2024-03-25 13:36:26,2024-03-25 13:35:19,54.0,13.0,14.0,3.0,15.0,1.0,21.0,54.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,100.0,100.0,11.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,35753.0,35753.0,18,True,2.0,,,,,,,,,,,,
52,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-01-21 15:25:48,2024-01-21 15:21:05,58.0,,24.0,3.0,28.0,7.0,16.0,38.0,2024-01-21 15:25:48,0.7.1,12.0,MkDocs plugin for Kroki-Diagrams.,33.0,33.0,13.0,https://pypi.org/project/mkdocs-kroki-plugin,24011.0,24011.0,18,True,2.0,,,,,,,,,,,,
53,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2024-02-29 15:53:27,2024-02-29 15:50:52,47.0,9.0,5.0,4.0,27.0,6.0,10.0,37.0,2024-02-29 15:51:36,1.0.1,3.0,Automatically link across pages in MkDocs.,,,6.0,https://pypi.org/project/mkdocs-autorefs,848627.0,848627.0,18,True,2.0,,,,,,,,,,,,
54,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-12-04 02:34:50,2023-12-04 02:34:50,136.0,,2.0,3.0,30.0,,17.0,27.0,2023-11-20 18:24:40,0.6.6,18.0,A mkdocs plugin that excludes selected chapters from the docs search index.,365.0,365.0,5.0,https://pypi.org/project/mkdocs-exclude-search,18896.0,18896.0,18,True,1.0,,,8.0,,,,,,,,,
55,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44,2023-11-22 10:27:30,54.0,,9.0,24.0,12.0,3.0,3.0,26.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,102.0,102.0,5.0,https://pypi.org/project/markdown-blockdiag,3127.0,3127.0,18,True,2.0,markdown_blockdiag,,,,,,,,,,,
56,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,10.0,7.0,4.0,9.0,3.0,84.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1870.0,1870.0,,https://pypi.org/project/mkdocs-exclude,119031.0,119031.0,17,True,2.0,,,,,,,,,,,,
57,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,4.0,36.0,82.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,168.0,168.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,3660.0,3660.0,17,True,2.0,,,11.0,,,,,,,,,
58,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2024-03-25 13:35:22,2023-09-25 17:41:37,60.0,,6.0,4.0,4.0,3.0,16.0,69.0,2023-08-28 07:57:05,0.0.10,10.0,Mkdocs plugin to add vegalite charts to your pages.,59.0,59.0,3.0,https://pypi.org/project/mkdocs-charts-plugin,5614.0,5614.0,17,True,2.0,,,,,,,,,,,,
59,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,69.0,69.0,5.0,https://pypi.org/project/mkdocs-versioning,4473.0,4473.0,17,True,2.0,,,,,,,,,,,,
60,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2024-03-05 11:47:07,2024-03-05 11:44:08,95.0,13.0,1.0,2.0,7.0,,7.0,19.0,2024-03-05 11:47:07,1.13.2,22.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1101.0,1101.0,2.0,https://pypi.org/project/mkdocs-callouts,6780.0,6780.0,17,True,1.0,,,,,,,,,,,,
61,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2024-04-20 04:26:00,2024-04-20 04:25:59,253.0,73.0,,1.0,217.0,,,3.0,2024-02-21 10:37:48,0.2.1,3.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",13.0,13.0,3.0,https://pypi.org/project/mkdocs-minify-html-plugin,1959.0,1959.0,17,True,2.0,,,,,,,,,,,,
62,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,15.0,8.0,17.0,7.0,11.0,210.0,,,,Auto documentation for MkDocs.,793.0,793.0,7.0,https://pypi.org/project/mkautodoc,9362.0,9362.0,16,True,2.0,mkautodoc,,,,,,,,,,,
63,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,30.0,10.0,23.0,12.0,27.0,101.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",55.0,55.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,833.0,833.0,16,True,2.0,,,34.0,,,,,,,,,
64,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45,2023-12-29 21:15:45,37.0,,37.0,7.0,19.0,1.0,15.0,77.0,,,,MkDocs Bootstrap Theme.,456.0,456.0,6.0,https://pypi.org/project/mkdocs-bootstrap,4470.0,4470.0,16,True,2.0,,,,,,,,,,,,
65,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41,2024-01-04 21:17:41,20.0,,12.0,1.0,7.0,,,65.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,635.0,635.0,5.0,https://pypi.org/project/mkdocs-video,58951.0,58952.0,16,True,2.0,,,42.0,,,,,,,,,
66,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,31.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,66.0,66.0,6.0,https://pypi.org/project/mkdocs-localsearch,4669.0,4669.0,16,True,2.0,,,,,,,,,,,,
67,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-03-15 17:15:53,2024-03-15 16:42:30,262.0,2.0,13.0,4.0,30.0,26.0,39.0,30.0,2024-03-15 16:48:59,0.10.1,16.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,9.0,https://pypi.org/project/mkdocs-gallery,2403.0,2403.0,16,True,2.0,,,,,,,,,,,,
68,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2024-04-22 08:55:41,2024-04-01 12:22:41,380.0,16.0,6.0,3.0,181.0,,26.0,16.0,,,49.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,41.0,41.0,4.0,,,280.0,16,True,2.0,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2024-04-01 08:14:20.870550,9817.0,,,,,
69,file-filter,,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2024-04-24 15:53:25,2024-03-13 21:03:26,90.0,16.0,3.0,3.0,207.0,3.0,8.0,7.0,2024-01-12 04:10:34,0.2.0,10.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",6.0,6.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,6184.0,6186.0,16,True,2.0,,,37.0,,,,,,,,,
70,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2024-02-26 12:22:24,2024-02-26 12:22:17,100.0,3.0,7.0,2.0,6.0,,11.0,7.0,2024-02-26 12:17:17,3.0.2,4.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,107.0,107.0,6.0,https://pypi.org/project/mkdocs-embed-external-markdown,3829.0,3829.0,16,True,2.0,,,,,,,,,,,,
71,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,119.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,174478.0,174478.0,15,True,2.0,mdx_math,,,,,,,,,,,
72,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2023-04-27 15:55:01,2023-04-27 06:02:12,50.0,,6.0,3.0,8.0,2.0,1.0,101.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,54.0,54.0,3.0,https://pypi.org/project/mktestdocs,3744.0,3744.0,15,True,1.0,,,,,,,,,,,,
73,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2023-10-07 05:23:19,2023-10-07 05:23:19,82.0,,11.0,3.0,14.0,3.0,12.0,62.0,2023-10-07 05:11:09,0.1.1,5.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,7.0,https://pypi.org/project/mkdocs-render-swagger-plugin,62866.0,62866.0,15,True,2.0,,,,,,,,,,,,
74,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2024-04-08 00:22:17,2024-01-28 18:49:04,165.0,2.0,4.0,2.0,14.0,9.0,10.0,58.0,2023-08-20 23:11:16,0.0.9,9.0,Blog Template for Mkdocs.,52.0,52.0,3.0,https://pypi.org/project/mkdocs-simple-blog,495.0,495.0,15,True,2.0,,,,,,,,,,,,
75,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-10-05 16:20:06,2023-10-05 16:19:24,182.0,,5.0,5.0,34.0,3.0,23.0,38.0,2023-10-05 16:20:06,2.4.3,20.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,2165.0,2169.0,15,True,2.0,,,172.0,,,,,,,,,
76,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2024-01-05 18:52:40,2023-11-06 17:12:40,42.0,,8.0,5.0,10.0,8.0,,34.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,177.0,177.0,6.0,https://pypi.org/project/mkdocs-git-committers-plugin,8843.0,8843.0,15,True,3.0,,,,,,,,['mkdocs_plugin'],,,,
77,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2024-02-11 18:54:41,2024-02-03 21:51:04,46.0,4.0,2.0,3.0,2.0,,6.0,34.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,273.0,273.0,2.0,https://pypi.org/project/mkdocs-same-dir,16920.0,16920.0,15,True,2.0,,,,,,,,,,,,
78,Publisher for MkDocs - blog,,pub-blog,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,Blogging engine.,27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
79,Publisher for MkDocs - social,,pub-social,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,Social media sharing helper.,27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
80,Publisher for MkDocs - minifier,,pub-minifier,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,"HTML, CSS and graphics files size optimization.",27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
81,Publisher for MkDocs - obsidian,,pub-obsidian,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,"Obsidian.md integration including with support for wiki links, callouts, etc.",27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
82,Publisher for MkDocs - meta,,pub-meta,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,Navigation and page building based on files metadata.,27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
83,Publisher for MkDocs - debugger,,pub-debugger,,mkusz/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkusz/mkdocs-publisher,https://github.com/mkusz/mkdocs-publisher,MIT,2023-02-02 15:47:55,2024-04-25 16:14:55,2024-04-21 16:11:59,41.0,4.0,1.0,3.0,51.0,4.0,9.0,28.0,2024-04-21 16:17:11,1.3.1,11.0,Advanced console and file logger from build and serve process.,27.0,27.0,2.0,https://pypi.org/project/mkdocs-publisher,2166.0,2166.0,15,True,2.0,,,9.0,,,,,,,,,
84,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2024-04-01 14:33:27,2024-01-28 13:49:54,100.0,1.0,4.0,4.0,27.0,3.0,7.0,19.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,80.0,80.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1526.0,1526.0,15,True,2.0,full_yaml_metadata,,,,,,,,,,,
85,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,5.0,3.0,22.0,5.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,117.0,117.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,5219.0,5219.0,15,True,3.0,,,,,,,,,,,,
86,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-01-18 19:27:06,2024-01-18 19:27:02,47.0,,1.0,3.0,,5.0,5.0,12.0,2023-08-02 17:26:54,1.0.0,1.0,MkDocs plugin to integrate your coverage HTML report into your site.,194.0,194.0,,https://pypi.org/project/mkdocs-coverage,13809.0,13809.0,15,True,2.0,,,,,,,,,,,,
87,mkdocs-alias-plugin,,alias,,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,https://github.com/EddyLuten/mkdocs-alias-plugin,https://github.com/EddyLuten/mkdocs-alias-plugin,MIT,2022-02-13 01:23:30,2024-04-22 03:39:27,2024-04-22 03:39:25,34.0,13.0,2.0,2.0,3.0,2.0,7.0,10.0,2024-04-08 14:48:04,0.8.1,11.0,An MkDocs plugin allowing links to your pages using a custom alias.,14.0,14.0,3.0,https://pypi.org/project/mkdocs-alias-plugin,2427.0,2427.0,15,True,2.0,,,,,,,,,,,,
88,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2024-03-23 20:31:49,2024-03-23 20:31:26,56.0,4.0,2.0,2.0,4.0,10.0,8.0,10.0,2024-03-23 20:32:08,1.0.3,3.0,A spell checker plugin for MkDocs.,36.0,36.0,3.0,https://pypi.org/project/mkdocs-spellcheck,8411.0,8411.0,15,True,1.0,,,,,,,,,,,,
89,mkdocs-pandoc,,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,107.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,50.0,50.0,4.0,https://pypi.org/project/mkdocs-pandoc,351.0,351.0,14,True,2.0,,,,,,,,,,,,
