,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,new_addition,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
44,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-10-27 14:04:10,2023-05-27 08:38:28,113.0,,5.0,3.0,8.0,2.0,27.0,35.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,156.0,156.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,7986.0,7986.0,18,True,2.0,,-1.0,,,,,,,
45,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2023-11-09 13:04:22,2023-11-09 12:22:07,154.0,7.0,12.0,4.0,28.0,4.0,36.0,34.0,2023-07-21 14:25:37,1.1.6,11.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,6.0,6.0,9.0,https://pypi.org/project/mkdoxy,1606.0,1606.0,18,True,2.0,,,,,,,,,
46,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-10-05 16:20:06,2023-10-05 16:19:24,182.0,18.0,5.0,4.0,34.0,1.0,23.0,34.0,2023-10-05 16:20:06,2.4.3,20.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,1512.0,1516.0,18,True,2.0,,,163.0,,,,,,
47,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-08-29 18:47:36,2023-02-04 19:22:15,133.0,,3.0,3.0,29.0,,16.0,25.0,2023-02-04 19:24:06,0.6.5,17.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,299.0,299.0,4.0,https://pypi.org/project/mkdocs-exclude-search,12537.0,12537.0,18,True,1.0,,,8.0,,,,,,
48,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-11-06 20:30:10,2023-10-31 16:28:12,246.0,6.0,3.0,1.0,284.0,1.0,10.0,13.0,2023-07-31 15:53:09,2.3.0,11.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,839.0,839.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,5870.0,5870.0,18,False,2.0,,,,,,,,,
49,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,12.0,26.0,96.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",49.0,49.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,829.0,829.0,17,True,2.0,,,34.0,,,,,,
50,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2023-07-28 10:46:04,2023-07-28 10:44:58,35.0,,6.0,1.0,19.0,10.0,18.0,93.0,2023-07-28 10:46:04,1.0.4,17.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,61.0,61.0,7.0,https://pypi.org/project/neoteroi-mkdocs,28947.0,28983.0,17,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,685.0,,,,,,
51,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,17.0,2.0,9.0,29.0,21.0,81.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,164.0,164.0,4.0,https://pypi.org/project/mkapi,2961.0,2961.0,17,True,2.0,,,,,,,,,
52,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,80.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1584.0,1584.0,,https://pypi.org/project/mkdocs-exclude,102918.0,102918.0,17,True,2.0,,,,,,,,,
53,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2023-08-14 23:37:15,2023-06-07 22:10:53,60.0,,3.0,4.0,17.0,6.0,19.0,59.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,59.0,59.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,9682.0,9682.0,17,True,2.0,,,,,,,,,
54,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-09-18 08:31:04,2023-03-17 17:33:24,19.0,,11.0,1.0,7.0,4.0,11.0,59.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,517.0,517.0,5.0,https://pypi.org/project/mkdocs-video,32826.0,32827.0,17,True,2.0,,,40.0,,,,,,
55,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2023-10-07 05:23:19,2023-10-07 05:23:19,82.0,42.0,9.0,3.0,14.0,3.0,12.0,58.0,2023-10-07 05:11:09,0.1.1,5.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,7.0,https://pypi.org/project/mkdocs-render-swagger-plugin,43412.0,43412.0,17,True,1.0,,,,,,,,,
56,markdown-exec,,markdown-exec,,pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2023-10-17 14:20:19,2023-10-17 14:18:09,153.0,8.0,4.0,2.0,1.0,10.0,14.0,56.0,2023-10-17 13:47:24,1.7.0,1.0,Utilities to execute code blocks in Markdown files.,111.0,111.0,2.0,https://pypi.org/project/markdown-exec,18227.0,18227.0,17,True,2.0,,,,,,,,,
57,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2023-10-25 13:12:08,2023-10-25 13:11:14,64.0,6.0,5.0,1.0,2.0,5.0,10.0,47.0,2023-10-25 13:12:38,0.6.6,20.0,A MkDocs plugin supports for add Swagger UI in page.,77.0,77.0,2.0,https://pypi.org/project/mkdocs-swagger-ui-tag,16341.0,16342.0,17,True,1.0,,,26.0,,,,,,
58,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,65.0,65.0,5.0,https://pypi.org/project/mkdocs-versioning,3783.0,3783.0,17,True,2.0,,,,,,,,,
59,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2023-10-25 10:46:32,2023-03-31 13:51:52,52.0,,23.0,2.0,28.0,8.0,11.0,33.0,2023-03-13 08:27:15,0.6.1,10.0,MkDocs plugin for Kroki-Diagrams.,26.0,26.0,11.0,https://pypi.org/project/mkdocs-kroki-plugin,13681.0,13681.0,17,True,2.0,,,,,,,,,
60,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2023-11-04 12:58:39,2023-11-04 12:53:06,41.0,8.0,13.0,3.0,6.0,5.0,6.0,19.0,2022-09-18 20:48:07,0.3.0,2.0,Markdown extension: a classier syntax for admonitions.,125.0,125.0,,https://pypi.org/project/markdown-callouts,10397.0,10397.0,17,False,1.0,callouts,,,,,,,,
61,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2023-10-23 14:46:00,2023-10-23 14:44:33,82.0,11.0,1.0,2.0,3.0,,3.0,15.0,2023-10-23 14:46:01,1.10.0,16.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,852.0,852.0,2.0,https://pypi.org/project/mkdocs-callouts,8128.0,8128.0,17,False,1.0,,,,,,,,,
62,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-07-28 13:51:34,2023-07-28 13:51:29,34.0,,37.0,7.0,18.0,3.0,13.0,73.0,,,,MkDocs Bootstrap Theme.,438.0,438.0,6.0,https://pypi.org/project/mkdocs-bootstrap,2750.0,2750.0,16,True,2.0,,,,,,,,,
63,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2023-11-11 14:22:48,2023-11-10 19:23:29,40.0,6.0,14.0,3.0,13.0,1.0,18.0,49.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,92.0,92.0,10.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,31580.0,31580.0,16,True,2.0,,,,,,,,,
64,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2023-08-21 00:27:10,2023-08-20 23:10:58,155.0,37.0,4.0,2.0,14.0,5.0,10.0,35.0,2023-08-20 23:11:16,0.0.9,9.0,Blog Template for Mkdocs.,32.0,32.0,3.0,https://pypi.org/project/mkdocs-simple-blog,286.0,286.0,16,True,2.0,,,,,,,,,
65,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,31.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,62.0,62.0,4.0,https://pypi.org/project/mkdocs-localsearch,2520.0,2520.0,16,True,2.0,,,,,,,,,
66,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-06-05 19:21:23,2021-12-14 08:52:37,51.0,,8.0,22.0,11.0,2.0,3.0,24.0,2021-12-14 08:54:16,0.8.0,1.0,blockdiag extension for Python Markdown.,99.0,99.0,5.0,https://pypi.org/project/markdown-blockdiag,3610.0,3610.0,16,True,2.0,markdown_blockdiag,,,,,,,,
67,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2023-09-05 09:00:10,2023-09-05 09:00:05,51.0,13.0,2.0,2.0,3.0,7.0,8.0,8.0,2023-09-05 09:00:30,1.0.2,2.0,A spell checker plugin for MkDocs.,31.0,31.0,3.0,https://pypi.org/project/mkdocs-spellcheck,8557.0,8557.0,16,False,1.0,,1.0,,,,,,,
68,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,14.0,8.0,17.0,7.0,11.0,200.0,,,,Auto documentation for MkDocs.,758.0,758.0,7.0,https://pypi.org/project/mkautodoc,7862.0,7862.0,15,False,2.0,mkautodoc,,,,,,,,
69,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2023-07-09 17:27:54,2023-07-09 17:26:21,155.0,,2.0,3.0,9.0,1.0,5.0,37.0,2023-07-09 17:27:39,1.0.5,5.0,Dark theme for Mkdocs.,20.0,20.0,3.0,https://pypi.org/project/mkdocs-dracula-theme,715.0,715.0,15,True,2.0,,,,,,,,,
70,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2023-10-20 11:07:06,2022-01-24 19:59:04,40.0,,12.0,2.0,24.0,9.0,14.0,30.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,80.0,80.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,2583.0,2586.0,15,True,2.0,,,128.0,,,,,,
71,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2023-11-06 17:13:37,2023-11-06 17:12:40,42.0,3.0,7.0,5.0,9.0,6.0,,27.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,149.0,149.0,6.0,https://pypi.org/project/mkdocs-git-committers-plugin,5704.0,5704.0,15,True,3.0,,,,,,['mkdocs_plugin'],,,
72,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2023-11-14 15:11:07,2023-11-08 15:00:47,144.0,8.0,9.0,3.0,23.0,25.0,34.0,23.0,2023-05-15 17:03:43,0.7.8,10.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,6.0,https://pypi.org/project/mkdocs-gallery,1309.0,1309.0,15,True,2.0,,,,,,,,,
73,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2023-08-02 17:26:47,2023-08-02 17:26:28,46.0,,1.0,3.0,,4.0,4.0,11.0,2023-08-02 17:26:54,1.0.0,1.0,MkDocs plugin to integrate your coverage HTML report into your site.,171.0,171.0,,https://pypi.org/project/mkdocs-coverage,19880.0,19880.0,15,False,2.0,,,,,,,,,
74,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2023-06-27 17:52:17,2023-06-27 17:52:12,94.0,,6.0,2.0,4.0,1.0,8.0,6.0,2023-06-21 00:01:59,3.0.1,3.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,100.0,100.0,4.0,https://pypi.org/project/mkdocs-embed-external-markdown,6559.0,6559.0,15,False,2.0,,,,,,,,,
75,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,115.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,40277.0,40277.0,14,True,2.0,mdx_math,,,,,,,,
76,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,45.0,4.0,34.0,14.0,16.0,98.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,272.0,272.0,8.0,https://pypi.org/project/mkdocs-windmill,2743.0,2743.0,14,True,2.0,,,,,,,,,
77,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2023-04-27 15:55:01,2023-04-27 06:02:12,50.0,,5.0,3.0,8.0,2.0,1.0,98.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,41.0,41.0,3.0,https://pypi.org/project/mktestdocs,2518.0,2518.0,14,True,2.0,,,,,,,,,
78,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,9.0,4.0,6.0,7.0,7.0,66.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx-truly-sane-lists,194037.0,194037.0,14,True,2.0,mdx_truly_sane_lists,,,,,,,,
79,Termynal,,termynal,,mkdocs-plugins/termynal,termynal,['plugin'],code-exec-templating,https://github.com/mkdocs-plugins/termynal,https://github.com/mkdocs-plugins/termynal,MIT,2020-11-12 19:59:40,2023-11-04 15:41:38,2023-11-04 15:41:00,71.0,7.0,7.0,1.0,7.0,6.0,6.0,55.0,,,,Python markdown terminal. Built for mkdocs.,98.0,98.0,5.0,https://pypi.org/project/termynal,2754.0,2754.0,14,True,3.0,,,,,,,,,
80,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2023-11-04 12:58:44,2023-11-04 12:51:59,39.0,8.0,2.0,2.0,2.0,,5.0,28.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,218.0,218.0,2.0,https://pypi.org/project/mkdocs-same-dir,13483.0,13483.0,14,True,2.0,,,,,,,,,
81,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2023-10-07 06:38:59,2023-10-07 06:38:59,23.0,1.0,4.0,3.0,5.0,5.0,5.0,25.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,87.0,87.0,6.0,https://pypi.org/project/lightgallery,2503.0,2503.0,14,True,2.0,lightgallery,,,,,,,,
82,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2023-09-09 15:26:31,2023-09-09 15:26:30,95.0,2.0,4.0,4.0,21.0,3.0,7.0,20.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,72.0,72.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,673.0,673.0,14,True,2.0,full_yaml_metadata,,,,,,,,
83,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,5.0,2.0,22.0,4.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,100.0,100.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,3141.0,3141.0,14,False,3.0,,,,,,,,,
84,mkdocs-pandoc,,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,49.0,49.0,4.0,https://pypi.org/project/mkdocs-pandoc,140.0,140.0,13,True,3.0,,,,,,,,,
85,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2023-07-26 01:57:59,2023-04-15 19:03:27,91.0,,1.0,2.0,82.0,25.0,29.0,46.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,35.0,35.0,,https://pypi.org/project/mkdocs-terminal,541.0,541.0,13,True,2.0,,,,,,,,,
86,Markdown Inline Graphviz,,,,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2023-05-01 13:17:29,2023-05-01 13:02:24,36.0,,7.0,2.0,4.0,,7.0,3.0,2023-05-01 13:17:29,1.1.2,2.0,Render inline graphs with Markdown and Graphviz.,,,8.0,https://pypi.org/project/markdown-inline-graphviz-extension,141229.0,141229.0,13,False,2.0,markdown_inline_graphviz,,,,,,,,
87,markdownmermaid,,markdownmermaid,,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,15.0,3.0,6.0,2.0,4.0,26.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,74.0,74.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,6435.0,6435.0,12,True,3.0,,,,,,,,,
88,newsletter,,mkdocs-newsletter,,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2023-10-23 10:53:58,2023-10-23 10:52:09,281.0,5.0,2.0,4.0,95.0,2.0,7.0,21.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,29.0,29.0,3.0,https://pypi.org/project/mkdocs-newsletter,525.0,525.0,12,True,2.0,,,,,,,,,
89,pheasant,,pheasant,,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,6.0,5.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,39.0,39.0,4.0,https://pypi.org/project/pheasant,341.0,341.0,12,False,3.0,,,,,,,,,
90,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21.0,,4.0,3.0,,1.0,1.0,14.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,86.0,86.0,,https://pypi.org/project/mkdocs-blog-plugin,2551.0,2551.0,12,False,2.0,,3.0,,,,['mkdocs_plugin'],,,
91,mktheapidocs,,mktheapidocs,,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,,3.0,2.0,64.0,10.0,6.0,12.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,36.0,36.0,6.0,https://pypi.org/project/mktheapidocs,680.0,680.0,12,False,3.0,,,,,,,,,
