,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,pypi,gitlab_id,gitlab_url,bitbucket_id
44,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,https://github.com/pawamoy/mkdocs-llmstxt,https://github.com/pawamoy/mkdocs-llmstxt,ISC,2025-01-14 18:14:38,2025-08-07 12:28:39.000000,2025-08-07 12:28:36,25.0,10.0,5.0,3.0,4.0,7.0,11.0,61.0,2025-08-05 13:42:47,0.3.1,4.0,MkDocs plugin to generate an /llms.txt file (https://llmstxt.org/).,47.0,47.0,3.0,https://pypi.org/project/mkdocs-llmstxt,16,True,1.0,,,,,,,,,,,,,,
45,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,https://github.com/MikhailKravets/mkdocs_puml,https://github.com/MikhailKravets/mkdocs_puml,MIT,2022-09-11 16:37:25,2025-08-04 19:35:55.000000,2025-08-04 19:35:54,420.0,4.0,14.0,4.0,69.0,9.0,24.0,56.0,2024-10-25 11:13:12,2.3.0,20.0,Inline PlantUML diagrams in your MkDocs documentation.,73.0,73.0,9.0,https://pypi.org/project/mkdocs-puml,16,True,1.0,,,,,,,,,,,,,,
46,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-10-26 18:43:46.000000,2024-07-28 20:33:58,154.0,,27.0,3.0,41.0,8.0,34.0,56.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,66.0,66.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,16,True,1.0,,,,,,,,,,,,,,
47,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2025-08-05 06:05:23.000000,2025-07-17 11:31:40,356.0,7.0,3.0,1.0,429.0,1.0,11.0,18.0,2025-04-19 15:27:17,4.1.0,14.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1220.0,1220.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,16,True,2.0,,,,,,,,,,,,,,
48,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2025-08-03 14:13:44.000000,2025-08-03 14:13:17,298.0,9.0,27.0,4.0,31.0,11.0,101.0,169.0,2025-08-03 14:14:31,2.8,50.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",,,15.0,https://pypi.org/project/mkdocs-print-site-plugin,15,True,2.0,,,,,,,,,,,,,,
49,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2025-04-10 10:11:08.000000,2025-04-10 10:08:07,75.0,,25.0,5.0,8.0,2.0,22.0,124.0,,,,Math extension for Python-Markdown.,3820.0,3820.0,8.0,https://pypi.org/project/python-markdown-math,15,True,1.0,,mdx_math,,,,,,,,,,,,
50,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2025-08-05 01:32:11.000000,2025-03-23 02:50:45,228.0,,10.0,2.0,21.0,8.0,18.0,110.0,2025-03-23 02:38:37,0.2.0,15.0,Blog Template for Mkdocs.,94.0,94.0,3.0,https://pypi.org/project/mkdocs-simple-blog,15,True,2.0,,,,,,,,,,,,,,
51,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51.000000,2024-08-22 08:33:30,76.0,,17.0,2.0,17.0,6.0,30.0,89.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1488.0,1488.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,15,True,2.0,,,,,,,,,,,,,,
52,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,10.0,4.0,9.0,5.0,9.0,60.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2885.0,2885.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,15,True,2.0,,,,,,,,,,,,,,
53,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2025-08-04 21:35:08.000000,2025-06-20 03:21:30,741.0,9.0,10.0,2.0,861.0,,19.0,49.0,2025-06-20 15:43:32,3.2.4,46.0,Build documentation files inside your code into a MkDocs site.,58.0,58.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,15,True,2.0,,,,,,,,,,,,,,
54,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39.000000,2024-04-16 19:14:48,121.0,,12.0,3.0,10.0,5.0,28.0,45.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,332.0,332.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,15,True,2.0,,,,,,,,,,,,,,
55,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00.000000,2024-09-23 14:53:56,120.0,,16.0,3.0,53.0,3.0,33.0,45.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,538.0,538.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,15,True,1.0,,,,,,,,,,,,,,
56,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2025-03-01 15:50:08.000000,2025-03-01 15:48:45,130.0,,18.0,2.0,125.0,29.0,39.0,271.0,2024-12-17 05:18:16,4.7.0,66.0,monospace theme for MkDocs.,133.0,133.0,3.0,https://pypi.org/project/mkdocs-terminal,14,True,2.0,,,,,,,,,,,,,,
57,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2025-02-15 16:34:14.000000,2025-02-15 16:22:51,89.0,,12.0,2.0,11.0,9.0,20.0,125.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,3165.0,3165.0,5.0,https://pypi.org/project/mkdocs-gen-files,14,True,2.0,,,,,,,,,,,,,,
58,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31.000000,2023-07-21 03:54:08,147.0,,16.0,3.0,18.0,5.0,36.0,88.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,316.0,316.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,14,True,2.0,,,22.0,0.0,,,,,,,,,,
59,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,2.0,9.0,4.0,51.0,5.0,30.0,84.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,97.0,97.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,14,True,2.0,,,,,,,,,,,,,,
60,Shadcn,shadcn,"['shadcn/search', 'shadcn/excalidraw']",,asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",theming,https://github.com/asiffer/mkdocs-shadcn,https://github.com/asiffer/mkdocs-shadcn,MIT,2025-02-02 15:16:24,2025-08-04 14:01:48.000000,2025-07-29 19:32:59,141.0,62.0,3.0,1.0,5.0,,8.0,37.0,2025-07-29 07:47:30,0.9.0,19.0,Documentation that also shines.,6.0,6.0,,https://pypi.org/project/mkdocs-shadcn,14,True,2.0,,,41.0,6.0,,,,,,,,,,
61,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-11-22 10:28:44.000000,2023-11-22 10:27:30,54.0,,10.0,21.0,12.0,3.0,3.0,29.0,2023-11-22 10:28:44,0.9.0,2.0,blockdiag extension for Python Markdown.,124.0,124.0,5.0,https://pypi.org/project/markdown-blockdiag,14,True,2.0,,markdown_blockdiag,,,,,,,,,,,,
62,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2025-08-05 12:03:21.000000,2025-08-05 12:03:03,74.0,4.0,4.0,3.0,5.0,8.0,16.0,19.0,2025-08-05 12:03:19,1.1.2,6.0,A spell checker plugin for MkDocs.,73.0,73.0,4.0,https://pypi.org/project/mkdocs-spellcheck,14,True,1.0,,,,,,,,,,,,,,
63,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2025-08-07 11:56:30.000000,2025-08-07 11:56:28,803.0,99.0,,1.0,664.0,,2.0,11.0,2025-07-29 19:29:51,0.3.4,12.0,"MkDocs plugin for minification using minify-html, an extremely fast and smart HTML + JS + CSS minifier.",72.0,72.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,14,True,2.0,,,,,,,,,,,,,,
64,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12.000000,2022-09-26 12:32:12,27.0,,18.0,8.0,20.0,7.0,11.0,228.0,,,,Auto documentation for MkDocs.,897.0,897.0,7.0,https://pypi.org/project/mkautodoc,13,True,2.0,,mkautodoc,,,,,,,,,,,,
65,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2025-04-19 10:25:08.000000,2025-04-19 10:25:08,172.0,,25.0,3.0,29.0,4.0,53.0,147.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,13,True,2.0,,,,,,,,,,,,,,
66,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2025-07-25 12:40:23.000000,2025-07-25 12:38:49,82.0,11.0,10.0,3.0,13.0,3.0,5.0,127.0,2025-07-25 12:40:23,0.2.5,5.0,Run pytest against markdown files/docstrings.,,,6.0,https://pypi.org/project/mktestdocs,13,True,2.0,,,,,,,,,,,,,,
67,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-10-29 08:28:27.000000,2024-10-29 08:23:09,131.0,,13.0,6.0,11.0,34.0,31.0,118.0,2024-10-29 08:28:27,6.2.0,31.0,"The fastest and most configurable plugin for MkDocs, allowing seamless export of individual pages and/or entire..",38.0,38.0,4.0,https://pypi.org/project/mkdocs-exporter,13,True,2.0,,,,,,,,,,,,,,
68,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,MIT,2017-05-15 03:51:22,2022-12-09 08:16:24.000000,2022-03-11 19:50:40,79.0,,50.0,3.0,34.0,15.0,16.0,117.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,344.0,344.0,8.0,https://pypi.org/project/mkdocs-windmill,13,True,2.0,,,,,,,,,,,,,,
69,Torillic,torillic,,,TEParsons/torillic,mkdocs-torillic,['theme'],theming,https://github.com/TEParsons/torillic,https://github.com/TEParsons/torillic,CC0-1.0,2020-12-12 15:08:51,2025-04-21 17:19:06.000000,2025-04-21 17:14:27,147.0,,87.0,4.0,2.0,1.0,11.0,111.0,2025-04-21 17:19:06,2.2.2,8.0,A D&D inspired theme for styling TTRPG notes and resources.,,,4.0,https://pypi.org/project/mkdocs-torillic,13,True,2.0,,,7926.0,155.0,,,,,,,,,,
70,mkpdfs,,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15.000000,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,12.0,27.0,103.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",64.0,64.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,13,True,2.0,,,43.0,0.0,,,,,,,,,,
71,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2025-05-04 13:49:04.000000,2025-05-04 13:47:52,113.0,,10.0,1.0,9.0,6.0,19.0,95.0,2025-05-04 09:50:09,0.7.1,27.0,A MkDocs plugin supports adding Swagger UI to the page.,312.0,312.0,6.0,https://pypi.org/project/mkdocs-swagger-ui-tag,13,True,2.0,,,47.0,1.0,,,,,,,,,,
72,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-12-29 21:15:45.000000,2023-12-29 21:15:45,37.0,,34.0,6.0,19.0,1.0,15.0,91.0,,,,MkDocs Bootstrap Theme.,509.0,509.0,6.0,https://pypi.org/project/mkdocs-bootstrap,13,True,2.0,,,,,,,,,,,,,,
73,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2024-04-02 11:27:28.000000,2023-08-04 14:41:05,27.0,,16.0,3.0,21.0,9.0,9.0,85.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,610.0,610.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,13,True,2.0,,,,,,,,,,,,,,
74,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24.000000,2023-11-14 05:07:17,58.0,,5.0,1.0,32.0,,6.0,65.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",2153.0,2153.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,13,True,2.0,,,60.0,0.0,,,,,,,,,,
75,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,https://github.com/PLAYG0N/mkdocs-panzoom,https://github.com/PLAYG0N/mkdocs-panzoom,MIT,2024-08-21 18:53:29,2025-08-07 13:16:23.000000,2025-07-31 11:18:03,104.0,18.0,2.0,6.0,9.0,4.0,19.0,45.0,2025-07-31 11:21:39,0.3.0,21.0,MkDocs Plugin to enable pan & zoom on images and mermaid/d2 diagrams.,24.0,24.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,13,True,2.0,,,35.0,2.0,,,,,,,,,,
76,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2025-01-15 12:46:48.000000,2025-01-15 12:45:59,118.0,,3.0,2.0,13.0,,13.0,44.0,2025-01-15 12:46:48,1.16.0,26.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,1359.0,1359.0,2.0,https://pypi.org/project/mkdocs-callouts,13,True,1.0,,,,,,,,,,,,,,
77,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,,6.0,2.0,39.0,3.0,22.0,41.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,126.0,126.0,5.0,https://pypi.org/project/mkdocs-versioning,13,True,2.0,,,,,,,,,,,,,,
78,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2025-02-15 16:34:28.000000,2025-02-15 16:22:44,55.0,,14.0,3.0,8.0,5.0,8.0,34.0,2024-01-22 23:24:13,0.4.0,3.0,Markdown extension: a classier syntax for admonitions.,482.0,482.0,2.0,https://pypi.org/project/markdown-callouts,13,True,1.0,,"['callouts', 'github-callouts']",,,,,,,,,,,,
79,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59.000000,2023-01-02 11:03:59,60.0,,7.0,3.0,6.0,,14.0,33.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,100.0,100.0,6.0,https://pypi.org/project/mkdocs-localsearch,13,True,1.0,,,,,,,,,,,,,,
80,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2024-06-11 18:47:29.000000,2024-06-11 18:47:04,52.0,,1.0,3.0,,4.0,6.0,28.0,2024-06-11 18:47:46,1.1.0,2.0,MkDocs plugin to integrate your coverage HTML report into your site.,259.0,259.0,,https://pypi.org/project/mkdocs-coverage,13,True,2.0,,,,,,,,,,,,,,
81,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2025-01-29 04:55:38.000000,2024-07-03 23:00:01,101.0,,4.0,3.0,31.0,3.0,7.0,25.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,92.0,92.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,13,True,1.0,,full_yaml_metadata,,,,,,,,,,,,
82,Zettelkasten,zettelkasten-solarized-light,['zettelkasten'],,buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,https://github.com/buvis/mkdocs-zettelkasten,https://github.com/buvis/mkdocs-zettelkasten,MIT,2021-11-24 19:48:08,2025-08-06 06:11:20.000000,2025-05-23 20:42:13,205.0,47.0,3.0,1.0,50.0,19.0,14.0,20.0,2025-05-21 14:03:30,0.4.2,11.0,This is a Zettelkasten theme and plugin for MkDocs. It renders the MkDocs pages as cards (zettels).,6.0,6.0,4.0,https://pypi.org/project/mkdocs-zettelkasten,13,True,2.0,,,30.0,0.0,,,,,,,,,,
83,MkDocs asciinema-player,,asciinema-player,,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,https://github.com/pa-decarvalho/mkdocs-asciinema-player,https://github.com/pa-decarvalho/mkdocs-asciinema-player,MIT,2023-10-29 12:48:03,2025-06-24 13:38:57.000000,2025-06-24 13:38:30,176.0,4.0,1.0,1.0,31.0,4.0,27.0,16.0,2025-04-28 14:10:52,0.17.0,25.0,Mkdocs Plugin to include asciinema player in your documentation.,15.0,15.0,4.0,https://pypi.org/project/mkdocs-asciinema-player,13,True,2.0,,,,,,,,,,,,,,
84,mkdocs-pandoc,,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49.000000,2016-03-14 20:16:57,25.0,,22.0,8.0,9.0,13.0,10.0,110.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,76.0,76.0,4.0,https://pypi.org/project/mkdocs-pandoc,12,True,3.0,,,,,,,,,,,,,,
85,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32.000000,2019-02-20 23:33:03,3.0,,10.0,5.0,4.0,9.0,3.0,98.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,2677.0,2677.0,,https://pypi.org/project/mkdocs-exclude,12,True,2.0,,,,,,,,,,,,,,
86,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2024-01-04 21:17:41.000000,2024-01-04 21:17:41,20.0,,13.0,1.0,7.0,,,78.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,1042.0,1042.0,5.0,https://pypi.org/project/mkdocs-video,12,True,2.0,,,74.0,1.0,,,,,,,,,,
87,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs_markmap,https://github.com/markmap/mkdocs_markmap,MIT,2021-01-22 15:52:32,2025-02-11 20:33:32.000000,2025-02-11 20:32:59,185.0,,6.0,6.0,41.0,4.0,30.0,69.0,2025-02-11 20:33:33,2.5.2,23.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,12,True,2.0,,,426.0,7.0,,,,,,,,,,
88,mkdocs-gallery,,gallery,,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2024-09-30 08:32:38.000000,2024-09-30 08:22:57,296.0,,16.0,4.0,33.0,30.0,44.0,49.0,2024-09-30 08:31:02,0.10.4,19.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,10.0,https://pypi.org/project/mkdocs-gallery,12,True,2.0,,,,,,,,,,,,,,
89,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2024-11-18 13:15:30.000000,2024-11-18 13:14:53,24.0,,4.0,1.0,4.0,3.0,5.0,35.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,547.0,547.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,12,True,2.0,,,,,,,,,,,,,,
90,mkdocs-api-autonav,,api-autonav,,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,https://github.com/tlambert03/mkdocs-api-autonav,https://github.com/tlambert03/mkdocs-api-autonav,BSD-3-Clause,2025-01-30 14:12:54,2025-08-01 18:55:28.000000,2025-06-13 14:57:13,28.0,5.0,1.0,1.0,12.0,2.0,9.0,25.0,2025-06-13 14:58:39,0.3.0,8.0,MkDocs plugin for autogenerating API docs with navigation.,46.0,46.0,2.0,https://pypi.org/project/mkdocs-api-autonav,12,True,2.0,,,42.0,6.0,,,,,,,,,,
