,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,extra_dependencies,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
44,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,4.0,14.0,3.0,18.0,4.0,34.0,78.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,134.0,134.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,6307.0,6307.0,18,True,2.0,,,11.0,,,,,,
45,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-10-10 15:31:51,2023-08-04 14:41:05,27.0,2.0,15.0,4.0,20.0,7.0,9.0,68.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,325.0,325.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,44865.0,44865.0,18,True,2.0,,,,,zachhannum/mkdocs-autolinks-plugin,,,,
46,mkdocs-markmap,,markmap,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-10-05 16:20:06,2023-10-05 16:19:24,182.0,24.0,5.0,4.0,34.0,1.0,23.0,32.0,2023-10-05 16:20:06,2.4.3,20.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,1549.0,1553.0,18,True,2.0,,,160.0,,,,,,
47,mkpdfs,,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-10-03 19:42:15,2021-08-11 13:02:40,109.0,,29.0,10.0,23.0,12.0,26.0,96.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",49.0,49.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,876.0,876.0,17,True,2.0,,,34.0,,,,,,
48,MkApi,,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,17.0,2.0,9.0,28.0,21.0,81.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,159.0,159.0,4.0,https://pypi.org/project/mkapi,2837.0,2837.0,17,True,2.0,,,,,,,,,
49,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,78.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1516.0,1516.0,,https://pypi.org/project/mkdocs-exclude,98152.0,98152.0,17,True,2.0,,,,,,,,,
50,charts,,charts,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2023-09-25 17:42:01,2023-09-25 17:41:37,60.0,5.0,5.0,3.0,3.0,4.0,15.0,62.0,2023-08-28 07:57:05,0.0.10,10.0,Mkdocs plugin to add vegalite charts to your pages.,41.0,41.0,3.0,https://pypi.org/project/mkdocs-charts-plugin,3906.0,3906.0,17,True,2.0,,,,,,,,,
51,drawio-exporter,,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2023-08-14 23:37:15,2023-06-07 22:10:53,60.0,,3.0,4.0,17.0,6.0,19.0,57.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,57.0,57.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,7559.0,7559.0,17,True,2.0,,,,,,,,,
52,mkdocs-render-swagger-plugin,,render_swagger,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2023-10-07 05:23:19,2023-10-07 05:23:19,82.0,42.0,10.0,3.0,14.0,3.0,12.0,57.0,2023-10-07 05:11:09,0.1.1,5.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,7.0,https://pypi.org/project/mkdocs-render-swagger-plugin,29158.0,29158.0,17,True,1.0,,,,2.0,,,,,
53,MkDocs Video,,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-09-18 08:31:04,2023-03-17 17:33:24,19.0,,11.0,1.0,7.0,4.0,11.0,56.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,494.0,494.0,5.0,https://pypi.org/project/mkdocs-video,36421.0,36422.0,17,True,2.0,,,31.0,,,,,,
54,MkDocs Swagger UI Tag,,swagger-ui-tag,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2023-09-14 14:25:01,2023-09-14 14:24:28,60.0,6.0,5.0,2.0,2.0,6.0,9.0,43.0,2023-09-14 14:26:13,0.6.5,19.0,A MkDocs plugin supports for add Swagger UI in page.,73.0,73.0,2.0,https://pypi.org/project/mkdocs-swagger-ui-tag,14258.0,14259.0,17,True,1.0,,,26.0,,,,,,
55,mkdocs-versioning,,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,63.0,63.0,5.0,https://pypi.org/project/mkdocs-versioning,3443.0,3443.0,17,True,2.0,,,,,,,,,
56,Simple Blog,simple-blog,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2023-08-21 00:27:10,2023-08-20 23:10:58,155.0,37.0,4.0,2.0,14.0,5.0,10.0,32.0,2023-08-20 23:11:16,0.0.9,9.0,Blog Template for Mkdocs.,30.0,30.0,3.0,https://pypi.org/project/mkdocs-simple-blog,249.0,249.0,17,True,2.0,,,,,,,,,
57,kroki,,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2023-09-12 21:00:39,2023-03-31 13:51:52,52.0,,21.0,2.0,26.0,8.0,11.0,30.0,2023-03-13 08:27:15,0.6.1,10.0,MkDocs plugin for Kroki-Diagrams.,26.0,26.0,11.0,https://pypi.org/project/mkdocs-kroki-plugin,13525.0,13525.0,17,True,2.0,,,,,,,,,
58,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2023-07-28 10:46:04,2023-07-28 10:44:58,35.0,2.0,6.0,1.0,19.0,9.0,17.0,86.0,2023-07-28 10:46:04,1.0.4,17.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,49.0,49.0,7.0,https://pypi.org/project/neoteroi-mkdocs,17595.0,17623.0,16,True,2.0,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",507.0,-1.0,,,,,
59,build-plantuml,,build_plantuml,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2023-10-04 15:49:11,2023-10-04 15:47:55,37.0,3.0,13.0,3.0,11.0,1.0,17.0,47.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,90.0,90.0,9.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,25473.0,25473.0,16,True,2.0,,,,,,,,,
60,localsearch,,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,31.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,62.0,62.0,4.0,https://pypi.org/project/mkdocs-localsearch,2668.0,2668.0,16,True,3.0,,,,,,,,,
61,Markdown blockdiag,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-06-05 19:21:23,2021-12-14 08:52:37,51.0,,8.0,22.0,11.0,2.0,3.0,24.0,2021-12-14 08:54:16,0.8.0,1.0,blockdiag extension for Python Markdown.,98.0,98.0,5.0,https://pypi.org/project/markdown-blockdiag,3466.0,3466.0,16,True,2.0,,markdown_blockdiag,,,,,,,
62,markdown-callouts,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2023-09-13 20:20:48,2023-09-10 12:14:08,34.0,2.0,13.0,3.0,6.0,5.0,6.0,19.0,2022-09-18 20:48:07,0.3.0,2.0,Markdown extension: a classier syntax for admonitions.,117.0,117.0,,https://pypi.org/project/markdown-callouts,9491.0,9491.0,16,False,1.0,,callouts,,,,,,,
63,mkdocs-coverage,,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2023-08-02 17:26:47,2023-08-02 17:26:28,46.0,3.0,1.0,3.0,,4.0,3.0,10.0,2023-08-02 17:26:54,1.0.0,1.0,MkDocs plugin to integrate your coverage HTML report into your site.,166.0,166.0,,https://pypi.org/project/mkdocs-coverage,18891.0,18891.0,16,False,2.0,,,,,,,,,
64,mkdocs-embed-external-markdown,,external-markdown,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2023-06-27 17:52:17,2023-06-27 17:52:12,94.0,,6.0,2.0,4.0,1.0,8.0,6.0,2023-06-21 00:01:59,3.0.1,3.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,96.0,96.0,4.0,https://pypi.org/project/mkdocs-embed-external-markdown,8857.0,8857.0,16,False,2.0,,,,,,,,,
65,MkAutoDoc,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,14.0,8.0,17.0,7.0,11.0,198.0,,,,Auto documentation for MkDocs.,754.0,754.0,7.0,https://pypi.org/project/mkautodoc,6840.0,6840.0,15,False,3.0,,mkautodoc,,,,,,,
66,Bootstrap,bootstrap,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-07-28 13:51:34,2023-07-28 13:51:29,34.0,1.0,38.0,7.0,18.0,3.0,13.0,73.0,,,,MkDocs Bootstrap Theme.,436.0,436.0,6.0,https://pypi.org/project/mkdocs-bootstrap,2936.0,2936.0,15,True,2.0,,,,,,,,,
67,Mdx Truly Sane Lists,,,radude/mdx_truly_sane_lists,mdx_truly_sane_lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,9.0,4.0,6.0,7.0,7.0,64.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx_truly_sane_lists,171436.0,171436.0,15,True,1.0,,mdx_truly_sane_lists,,,,,,,
68,Termynal,,termynal,mkdocs-plugins/termynal,termynal,['plugin'],code-exec-templating,https://github.com/mkdocs-plugins/termynal,https://github.com/mkdocs-plugins/termynal,MIT,2020-11-12 19:59:40,2023-10-01 09:08:34,2023-10-01 09:08:33,70.0,38.0,7.0,1.0,7.0,4.0,6.0,48.0,,,,Python markdown terminal. Built for mkdocs.,89.0,89.0,5.0,https://pypi.org/project/termynal,1895.0,1895.0,15,True,2.0,,,,,,,,,
69,Dracula,dracula,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2023-07-09 17:27:54,2023-07-09 17:26:21,155.0,,2.0,3.0,9.0,1.0,5.0,28.0,2023-07-09 17:27:39,1.0.5,5.0,Dark theme for Mkdocs.,14.0,14.0,3.0,https://pypi.org/project/mkdocs-dracula-theme,575.0,575.0,15,True,2.0,,,,,,,,,
70,mkdocs-spellcheck,,spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2023-09-05 09:00:10,2023-09-05 09:00:05,51.0,13.0,2.0,2.0,3.0,7.0,8.0,8.0,2023-09-05 09:00:30,1.0.2,2.0,A spell checker plugin for MkDocs.,30.0,30.0,3.0,https://pypi.org/project/mkdocs-spellcheck,6404.0,6404.0,15,False,1.0,,,,,,,,,
71,Math extension,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,113.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,35978.0,35978.0,14,True,2.0,,mdx_math,,,,,,,
72,Windmill,windmill,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,45.0,4.0,34.0,14.0,16.0,96.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,268.0,268.0,8.0,https://pypi.org/project/mkdocs-windmill,2434.0,2434.0,14,True,2.0,,,,,,,,,
73,mktestdocs,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2023-04-27 15:55:01,2023-04-27 06:02:12,50.0,,5.0,3.0,8.0,2.0,1.0,95.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,32.0,32.0,3.0,https://pypi.org/project/mktestdocs,6130.0,6130.0,14,True,2.0,,,,-1.0,,,,,
74,ezlinks,,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2023-03-27 14:12:44,2022-01-24 19:59:04,40.0,,11.0,2.0,24.0,8.0,14.0,30.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,76.0,76.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,2705.0,2708.0,14,True,2.0,,,115.0,,,,,,
75,git-committers,,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2021-08-12 15:47:32,2021-08-12 15:47:19,39.0,,6.0,5.0,7.0,6.0,,26.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,143.0,143.0,5.0,https://pypi.org/project/mkdocs-git-committers-plugin,4702.0,4702.0,14,True,3.0,,,,,,['mkdocs_plugin'],,,
76,Lightgallery,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2023-10-07 06:38:59,2023-10-07 06:38:59,23.0,1.0,4.0,3.0,5.0,5.0,5.0,24.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,84.0,84.0,6.0,https://pypi.org/project/lightgallery,2689.0,2689.0,14,True,3.0,,lightgallery,,,,,,,
77,mkdocs-gallery,,gallery,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2023-07-27 06:14:53,2023-05-15 16:50:17,136.0,,6.0,3.0,19.0,26.0,31.0,21.0,2023-05-15 17:03:43,0.7.8,10.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,5.0,https://pypi.org/project/mkdocs-gallery,1038.0,1038.0,14,True,2.0,,,,-1.0,,,,,
78,YAML metadata,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2023-09-09 15:26:31,2023-09-09 15:26:30,95.0,2.0,4.0,4.0,21.0,3.0,7.0,19.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,71.0,71.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,586.0,586.0,14,False,2.0,,full_yaml_metadata,,,,,,,
79,mkdocs-callouts,,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,https://github.com/sondregronas/mkdocs-callouts,https://github.com/sondregronas/mkdocs-callouts,MIT,2022-05-07 05:18:28,2023-09-12 06:29:17,2023-09-12 06:26:42,78.0,7.0,1.0,2.0,2.0,,2.0,14.0,2023-09-12 06:29:18,1.9.1,14.0,A simple MkDocs plugin that converts Obsidian callout blocks to mkdocs supported Admonitions.,756.0,756.0,2.0,https://pypi.org/project/mkdocs-callouts,7528.0,7528.0,14,False,2.0,,,,,,,,,
80,codeinclude,,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,5.0,2.0,22.0,4.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,99.0,99.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,3701.0,3701.0,14,False,3.0,,,,,,,,,
81,Markdown Inline Graphviz,,,cesaremorel/markdown-inline-graphviz,markdown_inline_graphviz_extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2023-05-01 13:17:29,2023-05-01 13:02:24,36.0,,7.0,2.0,4.0,,7.0,3.0,2023-05-01 13:17:29,1.1.2,2.0,Render inline graphs with Markdown and Graphviz.,,,8.0,https://pypi.org/project/markdown_inline_graphviz_extension,126289.0,126289.0,14,False,2.0,,markdown_inline_graphviz,,,,,,,
82,mkdocs-pandoc,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,49.0,49.0,4.0,https://pypi.org/project/mkdocs-pandoc,135.0,135.0,13,True,3.0,,,,,,,,,
83,markdown-exec,,markdown-exec,pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2023-06-15 13:52:37,2023-06-14 15:28:00,145.0,,4.0,2.0,1.0,10.0,14.0,53.0,,,,Utilities to execute code blocks in Markdown files.,90.0,90.0,2.0,https://pypi.org/project/markdown-exec,11064.0,11064.0,13,True,3.0,,,,,,,,,
84,Terminal for MkDocs,terminal,,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2023-07-26 01:57:59,2023-04-15 19:03:27,91.0,,1.0,2.0,82.0,25.0,29.0,41.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,33.0,33.0,,https://pypi.org/project/mkdocs-terminal,521.0,521.0,13,True,2.0,,,,,,,,,
85,same-dir,,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2023-09-13 20:22:14,2023-09-10 11:25:09,32.0,2.0,2.0,2.0,2.0,,4.0,25.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,202.0,202.0,2.0,https://pypi.org/project/mkdocs-same-dir,10361.0,10361.0,13,True,2.0,,,,,,,,,
86,file-filter,,file-filter,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2023-10-11 15:59:08,2023-09-05 01:38:13,54.0,20.0,2.0,1.0,115.0,4.0,6.0,7.0,2023-07-22 18:06:06,0.1.0,9.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",2.0,2.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,4011.0,4014.0,13,False,2.0,,,30.0,,,,,,
87,markdownmermaid,,markdownmermaid,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,15.0,3.0,6.0,2.0,4.0,26.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,73.0,73.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,6548.0,6548.0,12,True,3.0,,,,,,,,,
88,newsletter,,mkdocs-newsletter,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2023-10-10 08:35:59,2023-10-10 08:34:24,279.0,5.0,2.0,3.0,94.0,2.0,7.0,21.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,28.0,28.0,3.0,https://pypi.org/project/mkdocs-newsletter,687.0,687.0,12,True,2.0,,,,1.0,,,,,
89,mktheapidocs,,mktheapidocs,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,,3.0,2.0,64.0,10.0,6.0,12.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,36.0,36.0,6.0,https://pypi.org/project/mktheapidocs,518.0,518.0,12,False,3.0,,,,,,,,,
90,user-defined-values,,user-defined-values,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2022-12-26 21:35:05,2022-07-10 05:32:27,36.0,,3.0,3.0,13.0,,1.0,4.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,994.0,994.0,12,False,3.0,,,10.0,,,,,,
91,MarkdownSuperscript,,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,https://github.com/jambonrose/markdown_superscript_extension,https://github.com/jambonrose/markdown_superscript_extension,BSD-2-Clause,2014-07-23 02:24:51,2022-12-27 15:35:12,2018-12-02 17:21:33,82.0,,3.0,2.0,56.0,1.0,3.0,2.0,2018-10-09 23:38:17,2.1.1,5.0,An extension to the Python Markdown package enabling superscript text.,42.0,42.0,2.0,https://pypi.org/project/MarkdownSuperscript,9122.0,9122.0,12,False,2.0,,superscript,,,,,,,
92,Markdown Checklist,,,FND/markdown-checklist,markdown-checklist,['markdown'],markdown,https://github.com/FND/markdown-checklist,https://github.com/FND/markdown-checklist,MIT,2013-09-01 12:35:20,2022-07-29 13:10:44,2022-07-29 13:08:47,26.0,,32.0,8.0,10.0,1.0,7.0,75.0,,,,Python Markdown extension for lists of tasks with checkboxes.,,,2.0,https://pypi.org/project/markdown-checklist,4530.0,4530.0,11,True,2.0,,markdown_checklist.extension,,,,,,,
