,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,extra_dependencies,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url
44,git-committers-2,,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2023-08-06 20:55:08,2023-08-06 20:55:08,51.0,3.0,10.0,3.0,14.0,7.0,10.0,20.0,2023-03-27 20:29:54,1.1.2,8.0,An MkDocs plugin to create a list of contributors on the page.,240.0,240.0,6.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,7424.0,7424.0,18,True,3.0,,,,,,,,
45,mkdocs-embed-external-markdown,,external-markdown,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2023-06-27 17:52:17,2023-06-27 17:52:12,94.0,12.0,5.0,2.0,4.0,,6.0,6.0,2023-06-21 00:01:59,3.0.1,3.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,93.0,93.0,4.0,https://pypi.org/project/mkdocs-embed-external-markdown,9916.0,9916.0,18,False,2.0,,,,,,,,
46,MkApi,,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,17.0,2.0,9.0,28.0,21.0,81.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,156.0,156.0,4.0,https://pypi.org/project/mkapi,3675.0,3675.0,17,True,2.0,,,,,,,,
47,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,75.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1399.0,1399.0,,https://pypi.org/project/mkdocs-exclude,116121.0,116121.0,17,True,2.0,,,,,,,,
48,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2023-07-28 10:46:04,2023-07-28 10:44:58,35.0,3.0,6.0,1.0,19.0,6.0,17.0,71.0,2023-07-28 10:46:04,1.0.4,17.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,28.0,28.0,7.0,https://pypi.org/project/neoteroi-mkdocs,13022.0,13033.0,17,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,181.0,,,,,
49,drawio-exporter,,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2023-06-07 22:10:55,2023-06-07 22:10:53,60.0,1.0,3.0,4.0,16.0,6.0,19.0,57.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,54.0,54.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,8505.0,8505.0,17,True,2.0,,,,,,,,
50,mkdocs-versioning,,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,60.0,60.0,5.0,https://pypi.org/project/mkdocs-versioning,3066.0,3066.0,17,True,2.0,,,,,,,,
51,MkDocs Swagger UI Tag,,swagger-ui-tag,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2023-08-09 14:21:18,2023-08-09 14:20:44,58.0,8.0,5.0,2.0,2.0,2.0,9.0,38.0,2023-08-09 14:21:47,0.6.4,18.0,A MkDocs plugin supports for add Swagger UI in page.,64.0,64.0,2.0,https://pypi.org/project/mkdocs-swagger-ui-tag,10642.0,10643.0,17,True,1.0,,,26.0,,,,,
52,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-05-27 08:38:48,2023-05-27 08:38:28,113.0,1.0,4.0,3.0,7.0,1.0,27.0,34.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,135.0,135.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,6908.0,6908.0,17,True,2.0,,,,,,,,
53,kroki,,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2023-06-20 09:21:29,2023-03-31 13:51:52,52.0,,19.0,2.0,23.0,8.0,11.0,30.0,2023-03-13 08:27:15,0.6.1,10.0,MkDocs plugin for Kroki-Diagrams.,23.0,23.0,11.0,https://pypi.org/project/mkdocs-kroki-plugin,9181.0,9181.0,17,True,2.0,,,,,,,,
54,Markdown blockdiag,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,https://github.com/gisce/markdown-blockdiag,https://github.com/gisce/markdown-blockdiag,MIT,2017-01-18 15:27:36,2023-06-05 19:21:23,2021-12-14 08:52:37,51.0,,8.0,21.0,11.0,2.0,3.0,24.0,2021-12-14 08:54:16,0.8.0,1.0,blockdiag extension for Python Markdown.,92.0,92.0,5.0,https://pypi.org/project/markdown-blockdiag,2579.0,2579.0,17,True,2.0,markdown_blockdiag,,,,,,,
55,MkAutoDoc,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-09-26 12:32:12,2022-09-26 12:32:12,27.0,,15.0,8.0,17.0,7.0,11.0,197.0,,,,Auto documentation for MkDocs.,729.0,729.0,7.0,https://pypi.org/project/mkautodoc,9966.0,9966.0,16,False,3.0,mkautodoc,,,,,,,
56,mkpdfs,,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-01-14 14:58:39,2021-08-11 13:02:40,109.0,,28.0,10.0,21.0,12.0,26.0,96.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",48.0,48.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,691.0,691.0,16,True,2.0,,,33.0,,,,,
57,Bootstrap,bootstrap,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,https://github.com/mkdocs/mkdocs-bootstrap,https://github.com/mkdocs/mkdocs-bootstrap,BSD-2-Clause,2015-05-19 00:19:27,2023-07-28 13:51:34,2023-07-28 13:51:29,34.0,1.0,36.0,7.0,18.0,3.0,13.0,73.0,,,,MkDocs Bootstrap Theme.,434.0,434.0,6.0,https://pypi.org/project/mkdocs-bootstrap,2771.0,2771.0,16,True,1.0,,,,,,,,
58,charts,,charts,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2023-08-03 16:48:44,2023-06-06 11:26:19,55.0,6.0,4.0,3.0,3.0,3.0,12.0,53.0,2023-06-06 10:58:10,0.0.9,9.0,Mkdocs plugin to add charts to your pages.,34.0,34.0,2.0,https://pypi.org/project/mkdocs-charts-plugin,4372.0,4372.0,16,True,2.0,,,,,,,,
59,mkdocs-markmap,,markmap,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,https://github.com/markmap/mkdocs-markmap,https://github.com/markmap/mkdocs-markmap,MIT,2021-01-22 15:52:32,2023-08-01 21:03:01,2023-08-01 21:02:10,164.0,6.0,5.0,4.0,28.0,5.0,18.0,31.0,2023-08-01 21:03:01,2.4.0,17.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,3.0,https://pypi.org/project/mkdocs-markmap,1157.0,1161.0,16,True,2.0,,,149.0,,,,,
60,localsearch,,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2023-01-02 11:03:59,2023-01-02 11:03:59,60.0,,7.0,4.0,6.0,,14.0,29.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,58.0,58.0,4.0,https://pypi.org/project/mkdocs-localsearch,2718.0,2718.0,16,True,1.0,,,,,,,,
61,exclude-search,,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-02-04 19:24:06,2023-02-04 19:22:15,133.0,,2.0,2.0,28.0,,16.0,23.0,2023-02-04 19:24:06,0.6.5,17.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,266.0,266.0,4.0,https://pypi.org/project/mkdocs-exclude-search,8650.0,8650.0,16,True,1.0,,,8.0,,,,,
62,markdown-callouts,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,https://github.com/oprypin/markdown-callouts,https://github.com/oprypin/markdown-callouts,MIT,2021-05-03 01:07:19,2023-08-01 20:46:13,2023-08-01 20:45:43,33.0,1.0,13.0,3.0,6.0,5.0,6.0,19.0,2022-09-18 20:48:07,0.3.0,2.0,Markdown extension: a classier syntax for admonitions.,107.0,107.0,,https://pypi.org/project/markdown-callouts,11520.0,11520.0,16,False,1.0,callouts,,,,,,,
63,codeinclude,,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,5.0,2.0,22.0,5.0,6.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,94.0,94.0,4.0,https://pypi.org/project/mkdocs-codeinclude-plugin,3191.0,3191.0,16,False,3.0,,,,,,,,
64,mkdocs-coverage,,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,https://github.com/pawamoy/mkdocs-coverage,https://github.com/pawamoy/mkdocs-coverage,ISC,2021-02-03 18:32:20,2023-08-02 17:26:47,2023-08-02 17:26:28,46.0,3.0,,3.0,,4.0,3.0,6.0,2023-08-02 17:26:54,1.0.0,1.0,MkDocs plugin to integrate your coverage HTML report into your site.,161.0,161.0,,https://pypi.org/project/mkdocs-coverage,20933.0,20933.0,16,False,2.0,,,,,,,,
65,mktestdocs,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2023-04-27 15:55:01,2023-04-27 06:02:12,50.0,,5.0,3.0,8.0,2.0,1.0,92.0,2023-04-27 15:55:01,0.2.1,3.0,Run pytest against markdown files/docstrings.,31.0,31.0,3.0,https://pypi.org/project/mktestdocs,6873.0,6873.0,15,True,1.0,,,,,,,,
66,Mdx Truly Sane Lists,,,radude/mdx_truly_sane_lists,mdx_truly_sane_lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,9.0,4.0,6.0,6.0,7.0,62.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx_truly_sane_lists,171214.0,171214.0,15,True,2.0,mdx_truly_sane_lists,,,,,,,
67,build-plantuml,,build_plantuml,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/quantorconsulting/mkdocs_build_plantuml,https://github.com/quantorconsulting/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2023-05-15 20:51:10,2022-12-04 19:26:55,34.0,,12.0,3.0,10.0,4.0,14.0,43.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,83.0,83.0,7.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,18154.0,18154.0,15,True,2.0,,,,,,,,
68,Termynal,,termynal,daxartio/termynal,termynal,['plugin'],code-exec-templating,https://github.com/daxartio/termynal,https://github.com/daxartio/termynal,MIT,2020-11-12 19:59:40,2023-08-03 19:59:21,2023-08-03 19:58:38,62.0,40.0,5.0,1.0,6.0,3.0,5.0,37.0,,,,Python markdown terminal. Built for mkdocs.,74.0,74.0,3.0,https://pypi.org/project/termynal,1204.0,1204.0,15,True,2.0,,,,,,,,
69,Terminal for MkDocs,terminal,,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2023-07-26 01:57:59,2023-04-15 19:03:27,91.0,,1.0,2.0,82.0,25.0,29.0,29.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,26.0,26.0,,https://pypi.org/project/mkdocs-terminal,1018.0,1018.0,15,True,2.0,,,,,,,,
70,mkdocs-gallery,,gallery,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,https://github.com/smarie/mkdocs-gallery,https://github.com/smarie/mkdocs-gallery,BSD-3-Clause,2021-11-10 15:51:30,2023-07-27 06:14:53,2023-05-15 16:50:17,136.0,6.0,6.0,3.0,19.0,21.0,30.0,19.0,2023-05-15 17:03:43,0.7.8,10.0,Same features as sphinx-gallery (https://sphinx-gallery.github.io/) but on mkdocs (https://www.mkdocs.org/) (no sphinx..,,,5.0,https://pypi.org/project/mkdocs-gallery,1776.0,1776.0,15,False,2.0,,,,-1.0,,,,
71,YAML metadata,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,https://github.com/sivakov512/python-markdown-full-yaml-metadata,https://github.com/sivakov512/python-markdown-full-yaml-metadata,MIT,2017-10-17 05:14:19,2023-03-20 21:02:46,2023-03-20 21:02:45,93.0,,4.0,4.0,19.0,3.0,7.0,18.0,2023-01-08 23:24:53,2.2.1,8.0,YAML metadata extension for Python-Markdown.,70.0,70.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1603.0,1603.0,15,False,2.0,full_yaml_metadata,,,,,,,
72,Math extension,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,114.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,38830.0,38830.0,14,True,2.0,mdx_math,,,,,,,
73,mkdocs-pandoc,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,48.0,48.0,4.0,https://pypi.org/project/mkdocs-pandoc,164.0,164.0,14,True,3.0,,,,,,,,
74,Windmill,windmill,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,45.0,4.0,34.0,14.0,16.0,96.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,259.0,259.0,8.0,https://pypi.org/project/mkdocs-windmill,2296.0,2296.0,14,True,2.0,,,,,,,,
75,markdown-exec,,markdown-exec,pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2023-06-15 13:52:37,2023-06-14 15:28:00,145.0,4.0,4.0,2.0,1.0,8.0,14.0,49.0,,,,Utilities to execute code blocks in Markdown files.,72.0,72.0,2.0,https://pypi.org/project/markdown-exec,13110.0,13110.0,14,True,3.0,,,,,,,,
76,ezlinks,,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2023-03-27 14:12:44,2022-01-24 19:59:04,40.0,,10.0,2.0,24.0,8.0,14.0,29.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,73.0,73.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,2876.0,2879.0,14,True,2.0,,,110.0,,,,,
77,git-committers,,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2021-08-12 15:47:32,2021-08-12 15:47:19,39.0,,6.0,5.0,7.0,6.0,,26.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,138.0,138.0,5.0,https://pypi.org/project/mkdocs-git-committers-plugin,4896.0,4896.0,14,True,3.0,,,,,,['mkdocs_plugin'],,
78,Lightgallery,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2022-06-28 06:24:56,2021-02-15 09:45:32,21.0,,4.0,3.0,5.0,5.0,5.0,24.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,80.0,80.0,5.0,https://pypi.org/project/lightgallery,2566.0,2566.0,14,True,3.0,lightgallery,,,,,,,
79,Markdown Inline Graphviz,,,cesaremorel/markdown-inline-graphviz,markdown_inline_graphviz_extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2023-05-01 13:17:29,2023-05-01 13:02:24,36.0,,7.0,2.0,4.0,,7.0,3.0,2023-05-01 13:17:29,1.1.2,2.0,Render inline graphs with Markdown and Graphviz.,,,8.0,https://pypi.org/project/markdown_inline_graphviz_extension,128656.0,128656.0,14,False,2.0,markdown_inline_graphviz,,,,,,,
80,mkdocs-render-swagger-plugin,,render_swagger,bharel/mkdocs-render-swagger-plugin,,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2023-03-22 10:22:09,2023-03-22 10:22:09,39.0,,9.0,3.0,9.0,7.0,6.0,54.0,2022-08-04 10:49:18,0.0.4,3.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,122.0,122.0,6.0,,,,13,True,2.0,,,,,,,,
81,Bootstrap4,bootstrap4,,byrnereese/mkdocs-bootstrap4,mkdocs-bootstrap4,['theme'],theming,https://github.com/byrnereese/mkdocs-bootstrap4,https://github.com/byrnereese/mkdocs-bootstrap4,MIT,2018-12-17 16:32:18,2020-11-05 01:03:43,2020-11-05 01:03:25,19.0,,10.0,5.0,3.0,,3.0,42.0,,,,Bootstrap 4.0+ theme for MkDocs.,91.0,91.0,4.0,https://pypi.org/project/mkdocs-bootstrap4,1268.0,1268.0,13,True,2.0,,,,,,,,
82,Simple Blog,simple-blog,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,https://github.com/FernandoCelmer/mkdocs-simple-blog,https://github.com/FernandoCelmer/mkdocs-simple-blog,MIT,2023-01-13 15:02:34,2023-04-07 05:29:57,2023-03-25 06:37:54,116.0,,4.0,2.0,11.0,5.0,8.0,23.0,2023-03-25 06:39:55,0.0.8,8.0,Blog Template for Mkdocs.,26.0,26.0,2.0,https://pypi.org/project/mkdocs-simple-blog,331.0,331.0,13,True,2.0,,,,,,,,
83,Dracula,dracula,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2023-07-09 17:27:54,2023-07-09 17:26:21,155.0,8.0,2.0,3.0,9.0,1.0,5.0,17.0,2023-07-09 17:27:39,1.0.5,5.0,Dark theme for Mkdocs.,9.0,9.0,3.0,https://pypi.org/project/mkdocs-dracula-theme,641.0,641.0,13,False,2.0,,,,,,,,
84,file-filter,,file-filter,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2023-08-10 15:24:58,2023-08-02 17:41:51,52.0,30.0,1.0,1.0,90.0,2.0,6.0,6.0,2023-07-22 18:06:06,0.1.0,9.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",2.0,2.0,3.0,https://pypi.org/project/mkdocs-file-filter-plugin,1824.0,1828.0,13,False,2.0,,,29.0,,,,,
85,markdownmermaid,,markdownmermaid,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,15.0,3.0,6.0,3.0,3.0,26.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,68.0,68.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,7462.0,7462.0,12,True,3.0,,,,,,,,
86,same-dir,,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],other,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2023-08-01 20:48:55,2023-08-01 20:45:52,31.0,1.0,2.0,2.0,2.0,,4.0,24.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,190.0,190.0,2.0,https://pypi.org/project/mkdocs-same-dir,9193.0,9193.0,12,True,2.0,,,,,,,,
87,pheasant,,pheasant,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,6.0,5.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,35.0,35.0,4.0,https://pypi.org/project/pheasant,328.0,328.0,12,False,3.0,,,,,,,,
88,mktheapidocs,,mktheapidocs,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,,3.0,2.0,64.0,10.0,6.0,12.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,36.0,36.0,6.0,https://pypi.org/project/mktheapidocs,549.0,549.0,12,False,3.0,,,,,,,,
89,Lantana,lantana,,WSOFT-Project/lantana,lantana,['theme'],theming,https://github.com/WSOFT-Project/lantana,https://github.com/WSOFT-Project/lantana,MIT,2022-10-27 17:47:25,2023-06-30 13:53:02,2023-06-30 13:52:26,91.0,15.0,,1.0,28.0,2.0,16.0,8.0,2023-06-30 13:53:02,2.7.5,22.0,Lantana MKDocsHTML.,1.0,1.0,3.0,https://pypi.org/project/lantana,298.0,314.0,12,False,2.0,,,160.0,,,,,
90,Github-Links,,,Python-Markdown/github-links,mdx-gh-links,['markdown'],git-info,https://github.com/Python-Markdown/github-links,https://github.com/Python-Markdown/github-links,,2017-11-07 21:22:03,2023-07-31 18:42:17,2023-07-31 18:42:17,22.0,8.0,8.0,5.0,10.0,,3.0,7.0,,,,Python-Markdown GitHub Links Extension.,91.0,91.0,3.0,https://pypi.org/project/mdx-gh-links,3232.0,3232.0,12,False,3.0,mdx_gh_links,,,,,,,
91,user-defined-values,,user-defined-values,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2022-12-26 21:35:05,2022-07-10 05:32:27,36.0,,3.0,3.0,13.0,,1.0,3.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,548.0,548.0,12,False,3.0,,,10.0,,,,,
92,MkDocs Backend for Foliant,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2022-12-12 07:42:43,2022-12-12 07:41:42,88.0,,3.0,3.0,12.0,,1.0,3.0,2022-12-12 07:42:43,1.0.15,2.0,MkDocs backend for Foliant.,27.0,27.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,408.0,408.0,12,False,3.0,,,,,,,,
